force,acceleration
0.007988,0.004439
0.007341,0.000937
0.014897,0.001627
0.000648,0.003945
0.005613,0.002762
0.001511,-0.002022
0.014681,-0.00069
0,0.002614
-0.000432,0.002762
-0.001295,0.000148
0.020511,0.001726
0.024829,0.000542
0.026556,-0.002367
0.007988,0.005819
0.004102,0.002318
0.018568,-0.000493
0.002591,-0.00074
0.001943,0.000888
-0.000432,0.000197
0.015977,0.00074
0.009716,-0.002466
0.024829,0.003797
0.024397,0.000345
0.032817,-0.000789
0.010147,0.002515
0.008204,0.002318
-0.001295,0.000444
0.004966,0.000148
0.025045,0.002515
0.00475,0.002565
0.007125,-0.001578
0.003239,0.004093
0.027635,-0.001134
0.000432,-0.000789
0.024613,0.004241
0.023749,0.00074
0.010579,0
0.015329,-0.000493
0.003239,0.002614
0.011875,-0.000345
0.026556,0.001923
0.00367,0.002219
0.009284,0.001233
0.007557,0.002269
0.020727,0.001677
0.018136,4.9e-05
0.018352,0.001775
0.022238,0.001085
0.021806,0.001627
0.078588,-0.000542
0.251525,0.000888
0.486857,-0.001036
0.808982,0.000148
1.244671,0.000592
1.701086,0.001578
2.132889,0.003107
2.488478,0.000789
2.795274,-0.002466
3.034708,0.002318
3.189725,0.008828
3.248882,0.027569
3.282347,0.034226
3.196202,0.019283
3.073355,-0.004488
2.885736,-0.047443
2.625144,-0.098241
2.366278,-0.108647
2.092515,-0.065839
1.835161,0.015288
1.560534,0.100115
1.336213,0.171083
1.130675,0.191845
0.960329,0.173351
0.805528,0.140802
0.698441,0.08675
0.593944,0.021749
0.523129,-0.011688
0.46462,-0.006115
0.41194,-0.054644
0.374805,-0.106033
0.341988,-0.103222
0.322125,-0.069143
0.317591,-0.016225
0.270092,0.066628
0.281751,0.019037
0.247855,0.151356
0.258218,0.126352
0.246559,-0.043399
0.231014,-0.137152
0.222162,-0.165806
0.196902,-0.188541
0.175528,-0.307594
0.182652,-0.26735
0.133859,-0.311144
0.137961,-0.291861
0.127814,-0.209945
0.103849,-0.103074
0.082258,0.11777
0.066929,0.334472
0.067145,0.408645
0.036703,0.212904
0.032601,-0.01376
0.02267,-0.073138
0.023317,0.009814
0.017704,0.270556
0.039942,0.650351
0.039078,1.035718
0.06218,1.156792
0.058725,0.961594
0.068873,0.572725
0.078372,0.158309
0.071247,-0.108795
0.088951,-0.240324
0.094133,-0.241064
0.080531,-0.149038
0.095428,-0.008532
0.097156,0.095775
0.103417,0.152884
0.100826,0.073779
0.112916,-0.233075
0.115723,-0.677574
0.11853,-1.180958
0.128893,-1.891772
0.13537,-2.46134
0.140336,-2.773323
0.166892,-3.176642
0.149835,-3.378745
0.147676,-3.39216
0.170778,-3.516538
0.169051,-3.840703
0.179414,-4.113084
0.172505,-4.232235
0.162574,-4.138088
0.169914,-3.787982
0.14487,-3.195087
0.148756,-2.281578
0.147461,-1.034633
0.12695,0.309172
0.144222,1.683898
0.124791,3.244602
0.113996,4.902016
0.123496,6.49088
0.101474,7.855842
0.071895,9.014311
0.078372,10.086376
0.069952,11.104043
0.079236,11.947078
0.069304,12.476107
0.060668,12.687235
0.066066,12.381121
0.066498,11.444581
0.055918,10.032916
0.057862,8.50994
0.06585,7.266891
0.055487,6.580736
0.068873,6.544883
0.076429,6.989382
0.077724,7.513874
0.072759,7.690825
0.080747,6.898046
0.07902,4.884805
0.084849,1.986067
0.099315,-1.240435
0.095644,-4.306458
0.107303,-6.605198
0.127166,-7.86319
0.116155,-8.00843
0.122632,-7.248496
0.130404,-6.083616
0.146597,-4.82153
0.159335,-3.617146
0.141415,-2.804837
0.153074,-2.432489
0.13062,-2.662359
0.151131,-3.348859
0.147676,-4.63802
0.131052,-6.305101
0.117882,-8.322879
0.104712,-10.544634
0.088088,-12.791147
0.072111,-14.927781
0.065418,-16.639494
0.059805,-17.76068
0.053759,-18.144715
0.047498,-17.909175
0.037783,-17.074919
0.042317,-15.852682
0.032169,-14.406198
0.019863,-12.935894
0.019215,-11.580254
0.021374,-10.44161
0.029147,-9.517251
0.006045,-8.855706
0.042101,-8.533662
0.018136,-8.457614
0.029147,-8.452091
0.013386,-8.441093
0.011011,-8.368448
0.010363,-8.212999
0.011011,-7.958718
0.020079,-7.624592
0.011659,-7.278481
0.018568,-6.995842
-0.007341,-6.764543
0.000864,-6.534674
0.00108,-6.247202
0.000432,-5.893003
-0.004966,-5.4777
0.001295,-5.055789
-0.002591,-4.733054
-0.025045,-4.466493
-0.000648,-4.105933
0.016193,-3.534885
-0.002807,-2.727902
0.001511,-1.736767
0.006261,-0.803531
0.008852,-0.207676
0.029363,-0.128078
0.002375,-0.617801
0.004534,-1.288026
-0.006045,-1.649721
0.001511,-0.949067
0.007557,1.074531
-0.007988,4.310502
0.012738,8.142574
0.020295,11.617982
0.011227,13.663378
0.01317,13.632455
0.006045,11.468796
0.022454,7.742806
0.010579,3.36109
0.025692,-0.637775
0.008204,-3.416621
0.007557,-4.479957
0.006261,-3.832072
0.027635,-1.857743
0.011875,0.868877
0.033896,3.768995
0.013386,6.298147
0.016193,7.972626
0.024829,8.648621
0.023749,8.278296
0.00367,7.067402
0.00475,5.204925
0.012522,2.921473
-0.006693,0.451157
0.004102,-2.006484
0.020727,-4.105637
0.021158,-5.571305
0.009716,-6.155816
0.019647,-5.600402
0.001295,-3.855251
0.001943,-0.975945
-0.007557,2.703637
-0.005829,6.83773
0.001511,10.900756
-0.003886,14.522884
0.020942,17.329102
0.016624,19.168745
-0.005398,19.998858
0,19.933611
0.002807,19.048509
-0.000432,17.590929
-0.007988,15.729191
0.00475,13.707763
0.012522,11.731067
0.012738,9.998393
-0.003023,8.712438
-0.006693,8.07274
-0.003239,7.975585
0.014897,8.312966
0.014034,8.820739
0.006693,9.317663
0.011443,9.633295
0.01317,9.775083
0.011659,9.766256
0.020727,9.727295
0.001511,9.750129
0.018568,9.878552
0.023965,9.999626
0.010795,10.050177
0.014897,9.922346
0.00842,9.623925
0.007772,9.121478
0.016624,8.492531
0.013818,7.744532
-0.000864,6.931286
-0.000648,5.961949
0.006909,4.969187
0.010147,3.984414
0.010363,3.183842
0.007772,2.572897
0,2.19828
0.011011,1.937045
0.012738,1.692282
0.014465,1.32531
0.022238,0.698336
0.019647,-0.132122
0.019215,-1.126018
-0.015977,-2.078587
0.020942,-2.837682
0.003454,-3.109866
-0.005182,-2.936268
0.024829,-2.144919
0.014897,-0.987683
0.021158,0.478627
0.01792,1.986264
0.011227,3.477183
0.006693,4.785035
0.003886,5.85493
0.007341,6.702945
0.003023,7.313299
-0.011227,7.738712
0.017056,8.079004
0.008204,8.326084
0.009068,8.708148
0.011875,9.102392
0.002591,9.775379
0.013602,10.553807
-0.009068,11.476933
0.005182,12.383193
-0.000432,13.213158
0.010363,13.721128
0.001943,13.926289
0.009068,13.733951
-0.000864,13.203935
0.011875,12.40435
0.016624,11.423227
0.00367,10.388939
0.02526,9.251726
0.005829,8.081371
0.006909,6.813121
0.022238,5.515675
0.003886,4.191252
0.00842,2.954664
0.015977,1.800041
0.014034,0.7949
0.002591,-0.111704
0.018352,-0.944086
0.012306,-1.816119
0.002807,-2.717791
-0.007341,-3.692701
