 l1, l2, l3, l4
0.611806666666667,NaN,NaN,NaN
0.755982666666667,0.745586666666667,0.726398666666667,0.662826666666667
0,0,0,0
0.825692666666667,0.836816,0.824981333333333,0.827628666666667
0,0,0,0
0.860433333333333,0.873819333333333,0.877677333333333,0.871122
0,0,0,0
0.873492666666667,0.895158666666667,0.899235333333333,0.903468
0,0,0,0
0.884971333333333,0.904253333333333,0.913728,0.909912666666667
0,0,0,0
0.895247333333333,0.912963333333333,0.920216666666667,0.925795333333333
0,0,0,0
0.901880666666667,0.918744,0.925530666666667,0.925691333333333
0,0,0,0
0.907788,0.921829333333333,0.931413333333333,0.929665333333333
0,0,0,0
0.911408666666667,0.93152,0.931731333333333,0.92966
0,0,0,0
0.915310666666667,0.930822666666667,0.934339333333333,0.928286666666667
0,0,0,0
0,0,0,0
0,0,0,0
0.922426666666667,0.935365333333333,0,0.926876666666667
0,0,0,0
0,0,0,0
0,0,0,0
0.926021333333333,0.932016666666667,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.927217333333333,0.932486666666667,0,0.898593333333333
0,0,0,0
0,0,0,0
0,0,0,0
0.918354,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.926580666666667,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.929003333333333,0.87874,0,0.47914
