fAx,H_1
40.5,-8.85623992043399e-08-4.69978605060333e-06i
40.7297451851468,-9.51892411265899e-08-4.75803183219338e-06i
40.9607936505429,-1.02212984768219e-07-4.81918441397877e-06i
41.1931527893331,-1.09670284818855e-07-4.88343318931987e-06i
41.4268300366013,-1.17602116458642e-07-4.95098536982358e-06i
41.6618328696088,-1.26054328541347e-07-5.02206750431599e-06i
41.898168808033,-1.35078318167307e-07-5.0969274556534e-06i
42.1358454142087,-1.4473189982542e-07-5.17583731651491e-06i
42.3748702933692,-1.5508038017657e-07-5.25909713490195e-06i
42.6152510938907,-1.66197567558495e-07-5.34703709740211e-06i
42.8569955075362,-1.78167287152267e-07-5.44002258400991e-06i
43.100111269702,-1.91084895601614e-07-5.53845772840618e-06i
43.3446061596651,-2.05059586683633e-07-5.64279329582589e-06i
43.5904880008321,-2.20216438288843e-07-5.75353035475699e-06i
43.8377646609899,-2.36699531890709e-07-5.87122941494269e-06i
44.0864440525568,-2.54675375867526e-07-5.99651842762669e-06i
44.3365341328362,-2.7433747164315e-07-6.13010488719803e-06i
44.5880429042712,-2.95911473013924e-07-6.27278699695479e-06i
44.8409784147002,-3.19661796722499e-07-6.42546858254927e-06i
45.0953487576149,-3.45900324896026e-07-6.58917980526584e-06i
45.3511620724193,-3.74996158986237e-07-6.76509479222747e-06i
45.6084265446896,-4.07389708162238e-07-6.95456371542596e-06i
45.8671504064368,-4.4360869942078e-07-7.15914018462682e-06i
46.1273419363697,-4.84291184270445e-07-7.38062867730697e-06i
46.3890094601599,-5.30212555875958e-07-7.62112720508512e-06i
46.652161350708,-5.82324296887771e-07-7.88309821903349e-06i
46.9168060284121,-6.41802709897106e-07-8.16944349665768e-06i
47.1829519614366,-7.10116036612427e-07-8.48360775168178e-06i
47.4506076659836,-7.89115824252208e-07-8.82971109176187e-06i
47.719781706565,-8.81162246007738e-07-9.21271691009852e-06i
47.990482696277,-9.89301240942827e-07-9.63865776608725e-06i
48.2627192970755,-1.11751564352983e-06-1.01149284043875e-05i
48.5365002200531,-1.27109248755522e-06-1.06506874923416e-05i
48.8118342257182,-1.45716352536177e-06-1.12573875877693e-05i
49.0887301242747,-1.68552900195958e-06-1.19495157656338e-05i
49.3671967759049,-1.96993502272399e-06-1.27456075341705e-05i
49.647243091052,-2.33011334527585e-06-1.36696549354157e-05i
49.9288780307058,-2.79514707981977e-06-1.47530755179754e-05i
50.2121106066894,-3.40919881935744e-06-1.60373804397309e-05i
50.4969498819473,-4.24165343388131e-06-1.75776307032611e-05i
50.7834049708356,-5.4058375671623e-06-1.94461944643358e-05i
51.0714850394135,-7.09501733833162e-06-2.17339878431935e-05i
51.361199305737,-9.65433149553448e-06-2.45380145091094e-05i
51.6525570401533,-1.37264722403069e-05-2.78924178074696e-05i
51.9455675655975,-2.05231885719647e-05-3.14827002432148e-05i
52.2402402578917,-3.20755963445746e-05-3.35939149714112e-05i
52.5365845460438,-4.95345712914148e-05-2.83215346010318e-05i
52.8346099125502,-6.34911881572383e-05-6.79746754039859e-06i
53.1343258936988,-5.59937534071395e-05+1.94239221281906e-05i
53.435742079874,-3.77136568181711e-05+2.98021355929558e-05i
53.738868115864,-2.39667286534277e-05+2.93108110235799e-05i
54.0437137011692,-1.5749575591149e-05+2.59108909857451e-05i
54.3502885903122,-1.08893290812538e-05+2.23970206611679e-05i
54.6586025931508,-7.88938736169849e-06+1.93898213814307e-05i
54.968665575191,-5.9431135950171e-06+1.69248637891413e-05i
55.2804874579032,-4.62174405124379e-06+1.49138900479065e-05i
55.5940782190394,-3.68899943668473e-06+1.32609205167595e-05i
55.9094478929529,-3.00857809192245e-06+1.18868129651515e-05i
56.2266065709189,-2.49825628353745e-06+1.07307360024948e-05i
56.5455644014574,-2.10639191650877e-06+9.74677835618153e-06i
56.8663315906585,-1.79936727914266e-06+8.90025759594657e-06i
57.1889184025082,-1.55460983519341e-06+8.16478765089493e-06i
57.5133351592175,-1.3565327464356e-06+7.52005032403622e-06i
57.8395922415524,-1.19411494784722e-06+6.95023247373722e-06i
58.167700089166,-1.05939225691664e-06+6.44287100237377e-06i
58.4976692009325,-9.46500228274515e-07+5.98803455018175e-06i
58.8295101352837,-8.51046094551019e-07+5.57772034450687e-06i
59.1632335105461,-7.6968936104952e-07+5.20541437587567e-06i
59.4988500052809,-6.99855211227147e-07+4.86576506557086e-06i
59.8363703586262,-6.39533483812066e-07+4.55433100547121e-06i
