fAx,H_1
40.5,-3.74099441167541e-08-4.60407836427951e-06i
40.7297451851468,-4.06378635668861e-08-4.64744208065997e-06i
40.9607936505429,-4.40108526828112e-08-4.69268986359563e-06i
41.1931527893331,-4.75400422153388e-08-4.73992013392485e-06i
41.4268300366013,-5.12376439314452e-08-4.78923903893589e-06i
41.6618328696088,-5.5117046472777e-08-4.84076078498021e-06i
41.898168808033,-5.9192938081284e-08-4.89460818756873e-06i
42.1358454142087,-6.34814816626723e-08-4.95091374513427e-06i
42.3748702933692,-6.80005356364344e-08-5.0098211142217e-06i
42.6152510938907,-7.27697937086086e-08-5.07148527756218e-06i
42.8569955075362,-7.78110813485919e-08-5.13607449413806e-06i
43.100111269702,-8.31485739453912e-08-5.20377091704107e-06i
43.3446061596651,-8.8809252218366e-08-5.27477384146173e-06i
43.5904880008321,-9.48231295207478e-08-5.34929960312935e-06i
43.8377646609899,-1.0122377784312e-07-5.42758473826136e-06i
44.0864440525568,-1.08048795289088e-07-5.50988774329947e-06i
44.3365341328362,-1.15340493089367e-07-5.59649276584895e-06i
44.5880429042712,-1.23146532304207e-07-5.68771176962598e-06i
44.8409784147002,-1.31520759590358e-07-5.78388803557806e-06i
45.0953487576149,-1.40524349065429e-07-5.88540187329221e-06i
45.3511620724193,-1.50226767072234e-07-5.99267276228018e-06i
45.6084265446896,-1.60707495885772e-07-6.10616817324714e-06i
45.8671504064368,-1.72057470103129e-07-6.22640684898584e-06i
46.1273419363697,-1.84381560017387e-07-6.35397062705697e-06i
46.3890094601599,-1.97800700625359e-07-6.48950899453326e-06i
46.652161350708,-2.1245546189938e-07-6.63375440420573e-06i
46.9168060284121,-2.28509646920687e-07-6.7875323815735e-06i
47.1829519614366,-2.46155205842462e-07-6.95177817164208e-06i
47.4506076659836,-2.65618338828003e-07-7.12755634811535e-06i
47.719781706565,-2.87166962338656e-07-7.31608263928902e-06i
47.990482696277,-3.1112049735905e-07-7.51875340921953e-06i
48.2627192970755,-3.37862049420213e-07-7.73717892168089e-06i
48.5365002200531,-3.6785464949523e-07-7.97322878430458e-06i
48.8118342257182,-4.01661659705133e-07-8.22908253376206e-06i
49.0887301242747,-4.3997449349886e-07-8.50729993990819e-06i
49.3671967759049,-4.83649071736421e-07-8.81090655859377e-06i
49.647243091052,-5.33754966809152e-07-9.14350348909523e-06i
49.9288780307058,-5.91643372030167e-07-9.50941488203731e-06i
50.2121106066894,-6.590402601058e-07-9.9138739784846e-06i
50.4969498819473,-7.38178225118381e-07-1.03632741048902e-05i
50.7834049708356,-8.31986723227406e-07-1.08655125499726e-05i
51.0714850394135,-9.44368552365503e-07-1.14304502255218e-05i
51.361199305737,-1.0806145244923e-06-1.20705576283129e-05i
51.6525570401533,-1.24803895700058e-06-1.28018288518848e-05i
51.9455675655975,-1.4569780660527e-06-1.36450898173483e-05i
52.2402402578917,-1.72241105583281e-06-1.46279243556818e-05i
52.5365845460438,-2.06669108965019e-06-1.57875840280737e-05i
52.8346099125502,-2.524306011203e-06-1.71753849147001e-05i
53.1343258936988,-3.15062959153344e-06-1.88636483531534e-05i
53.435742079874,-4.03882093251331e-06-2.09565526557007e-05i
53.738868115864,-5.35464805007012e-06-2.36069986020126e-05i
54.0437137011692,-7.41357260555966e-06-2.70400799250474e-05i
54.3502885903122,-1.08655780962296e-05-3.15695611443211e-05i
54.6586025931508,-1.71716188214857e-05-3.75011127200385e-05i
54.968665575191,-2.9813309154047e-05-4.42418461966822e-05i
55.2804874579032,-5.55546587457468e-05-4.48510195654999e-05i
55.5940782190394,-8.58558215401603e-05-1.34050379400696e-05i
55.9094478929529,-6.89662997940758e-05+3.22053061401262e-05i
56.2266065709189,-3.76812121399994e-05+3.98944760136236e-05i
56.5455644014574,-2.09687196326487e-05+3.38694179349492e-05i
56.8663315906585,-1.28527757075592e-05+2.73995244921197e-05i
57.1889184025082,-8.57472803293967e-06+2.23193517705705e-05i
57.5133351592175,-6.10727510921741e-06+1.84576488947813e-05i
57.8395922415524,-4.57536629746742e-06+1.54761080108558e-05i
58.167700089166,-3.56822067907851e-06+1.31151802928583e-05i
58.4976692009325,-2.87630617248896e-06+1.11963973765875e-05i
58.8295101352837,-2.38489943343298e-06+9.59801131318221e-06i
59.1632335105461,-2.02744170077866e-06+8.23540027561481e-06i
59.4988500052809,-1.76349916466488e-06+7.04809259827746e-06i
59.8363703586262,-1.56764834585027e-06+5.99143715950145e-06i
60.1758053706399,-1.42357551866247e-06+5.03124367236702e-06i
60.5171659026456,-1.32081373910143e-06+4.14019109710511e-06i
60.8604628775805,-1.25291334804738e-06+3.29531631271267e-06i
61.2057072803442,-1.21645224472248e-06+2.47611336797889e-06i
61.5529101581506,-1.21060584793731e-06+1.66294359680091e-06i
61.9020826208816,-1.2371736398021e-06+8.35505965060449e-07i
62.2532358414423,-1.30110084956386e-06-2.88886460730675e-08i
62.6063810561183,-1.41170561367098e-06-9.57554519948939e-07i
62.9615295649357,-1.58511261143571e-06-1.98563292190871e-06i
63.3186927320226,-1.84901085412617e-06-3.16105730696676e-06i
63.6778819859726,-2.25231243102934e-06-4.55268185496983e-06i
64.0391088202101,-2.88602876361205e-06-6.26390664278167e-06i
64.4023847933591,-3.93231464333672e-06-8.45509612062863e-06i
64.767721529612,-5.79190525800865e-06-1.13732772821606e-05i
65.1351307191023,-9.45284812900613e-06-1.53305697022331e-05i
65.5046241182781,-1.76033427911593e-05-2.00809421725312e-05i
65.8762135502786,-3.60732262425071e-05-1.94604815922217e-05i
66.2499109053126,-5.10530003005149e-05+8.2867282398516e-06i
66.6257281410385,-3.05772278301742e-05+2.8916303957715e-05i
67.0036772829472,-1.49671712573897e-05+2.68424521933829e-05i
67.3837704247469,-8.24524149606082e-06+2.21844401560608e-05i
67.7660197287498,-5.12143755214386e-06+1.85630175715827e-05i
68.150437426262,-3.47488934419593e-06+1.59329105392395e-05i
68.5370358179738,-2.51342387368252e-06+1.39851935104416e-05i
68.9258272743544,-1.90635220847607e-06+1.24969224181063e-05i
69.3168242360467,-1.4992627376143e-06+1.13255408742884e-05i
69.7100392142664,-1.21304817405729e-06+1.03797677010673e-05i
70.1054847912015,-1.00402231725167e-06+9.59957879652917e-06i
70.5031736204153,-8.46544545434106e-07+8.94427223153519e-06i
70.9031184272513,-7.24790720426865e-07+8.38541849664002e-06i
71.3053320092402,-6.28576334598938e-07+7.9026159584629e-06i
71.7098272365097,-5.51111370496287e-07+7.48087613666133e-06i
