fAx,H_1
40.5,-1.87453032767547e-08-3.74023639199546e-06i
40.7297451851468,-2.10140993475813e-08-3.7698966492284e-06i
40.9607936505429,-2.33742417143507e-08-3.80085408288817e-06i
41.1931527893331,-2.5832466972733e-08-3.83317234641092e-06i
41.4268300366013,-2.83961302227857e-08-3.86691985762272e-06i
41.6618328696088,-3.1073251183897e-08-3.90216994972507e-06i
41.898168808033,-3.38725761555515e-08-3.9390011611778e-06i
42.1358454142087,-3.68036723933905e-08-3.9774978685391e-06i
42.3748702933692,-3.98770492498516e-08-4.01775118432483e-06i
42.6152510938907,-4.31042177016475e-08-4.05985892991704e-06i
42.8569955075362,-4.64978509302775e-08-4.1039268176056e-06i
43.100111269702,-5.00718842589722e-08-4.15006868531491e-06i
43.3446061596651,-5.38417645899801e-08-4.19840849891765e-06i
43.5904880008321,-5.7824535884794e-08-4.2490800302967e-06i
43.8377646609899,-6.20391126841369e-08-4.30222872098313e-06i
44.0864440525568,-6.65064961689282e-08-4.35801252485639e-06i
44.3365341328362,-7.12501162897826e-08-4.41660400699598e-06i
44.5880429042712,-7.62961165271061e-08-4.47819131988225e-06i
44.8409784147002,-8.1673740900168e-08-4.54298000681591e-06i
45.0953487576149,-8.74158807907718e-08-4.61119616659343e-06i
45.3511620724193,-9.35594632025004e-08-4.6830870627563e-06i
45.6084265446896,-1.00146271324782e-07-4.75892608661398e-06i
45.8671504064368,-1.07223508581006e-07-4.83901374715256e-06i
46.1273419363697,-1.14844936981223e-07-4.92368413886362e-06i
46.3890094601599,-1.2307168132101e-07-5.01330622539629e-06i
46.652161350708,-1.31973785216065e-07-5.10829186182267e-06i
46.9168060284121,-1.41631599690261e-07-5.20909985280871e-06i
47.1829519614366,-1.52137738478314e-07-5.31624367047583e-06i
47.4506076659836,-1.63599441936451e-07-5.43030030144519e-06i
47.719781706565,-1.76141345793059e-07-5.55191944206586e-06i
47.990482696277,-1.89909085447757e-07-5.68183632046223e-06i
48.2627192970755,-2.05073577808175e-07-5.82088518979414e-06i
48.5365002200531,-2.2183666572783e-07-5.97001826484816e-06i
48.8118342257182,-2.40437808375788e-07-6.13032488705672e-06i
49.0887301242747,-2.61163042690189e-07-6.30305905845315e-06i
49.3671967759049,-2.84356205771199e-07-6.48967100764907e-06i
49.647243091052,-3.10433429791117e-07-6.69184628888414e-06i
49.9288780307058,-3.39902489024931e-07-6.91155785558403e-06i
50.2121106066894,-3.73387744087218e-07-7.15112713603257e-06i
50.4969498819473,-4.11663743844715e-07-7.41330420276008e-06i
50.7834049708356,-4.55701162219656e-07-7.70137415608848e-06i
51.0714850394135,-5.06728903573594e-07-8.01928957552742e-06i
51.361199305737,-5.66321148033946e-07-8.37184916355077e-06i
51.6525570401533,-6.36520591212055e-07-8.76493640499803e-06i
51.9455675655975,-7.20015170593435e-07-9.20583804776471e-06i
52.2402402578917,-8.20398052172575e-07-9.70368386026396e-06i
52.5365845460438,-9.42560220125921e-07-1.0270070059332e-05i
52.8346099125502,-1.09328876078899e-06-1.09199163800775e-05i
53.1343258936988,-1.28222246601351e-06-1.16727460486072e-05i
53.435742079874,-1.52340430644871e-06-1.25545404638702e-05i
53.738868115864,-1.83791613797902e-06-1.36005635701955e-05i
54.0437137011692,-2.25852514829897e-06-1.48597064682565e-05i
54.3502885903122,-2.83828482933571e-06-1.64013168030582e-05i
54.6586025931508,-3.66737951605604e-06-1.83260661209349e-05i
54.968665575191,-4.90831908986443e-06-2.07829114990934e-05i
55.2804874579032,-6.87524589126e-06-2.39927257381318e-05i
55.5940782190394,-1.02281950916398e-05-2.82630364226219e-05i
55.9094478929529,-1.64847586373507e-05-3.38692292234788e-05i
56.2266065709189,-2.9319402231216e-05-3.99801556750268e-05i
56.5455644014574,-5.52751673912129e-05-3.8158016452181e-05i
56.8663315906585,-7.93118860060869e-05-2.76263204866073e-06i
57.1889184025082,-5.6636352428008e-05+3.41327741180406e-05i
57.5133351592175,-3.00891702552652e-05+3.67643536562703e-05i
57.8395922415524,-1.68521710436433e-05+3.07090656398838e-05i
58.167700089166,-1.04207145590718e-05+2.5044467742243e-05i
58.4976692009325,-6.98884183596281e-06+2.07173852044979e-05i
58.8295101352837,-4.98321869919667e-06+1.74634535409867e-05i
59.1632335105461,-3.72198750482134e-06+1.49721522294441e-05i
59.4988500052809,-2.88180698705542e-06+1.30190830529936e-05i
59.8363703586262,-2.29594025490279e-06+1.14527770469558e-05i
60.1758053706399,-1.87210855448027e-06+1.01709102740894e-05i
60.5171659026456,-1.55614866092379e-06+9.10303644154855e-06i
60.8604628775805,-1.31467542486586e-06+8.19952021831154e-06i
61.2057072803442,-1.12624622433285e-06+7.4245652151899e-06i
61.5529101581506,-9.76600471587709e-07+6.75178834906452e-06i
61.9020826208816,-8.55967533963599e-07+6.16135578468109e-06i
62.2532358414423,-7.57478397810283e-07+5.6380827112933e-06i
62.6063810561183,-6.76194201275374e-07+5.17014419076705e-06i
62.9615295649357,-6.08494640142095e-07+4.74819142467304e-06i
63.3186927320226,-5.51680938843041e-07+4.36472837399662e-06i
63.6778819859726,-5.03711007309842e-07+4.01365829176654e-06i
