f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18
0.000100430169024786,5.50163473607075e-05,9.0284417937806e-05,2.24519115497041e-05,8.50989243931626e-06,5.80531172060722e-05,4.47625202051803e-05,2.83650163773724e-05,1.09520321334873e-05,1.56591478341722e-05,8.14011699903969e-06,8.38927440567689e-06,3.77576028151364e-06,4.39508816346809e-06,7.33082867909301e-06,3.16164000289248e-06,1.77680796408081e-06,6.93709256682173e-06
1.06181301770355e-05,1.02179210346139e-05,7.56005861971362e-06,2.73993004742283e-06,2.00753151423362e-06,5.18251562636551e-06,6.28670082287793e-06,3.77473922876033e-06,3.89704458615337e-06,4.99443460410898e-06,4.34793496347922e-06,1.56909566899889e-06,1.05904256517057e-06,1.66100382446729e-06,2.83170297671681e-06,2.82053181939079e-06,2.80831192883413e-06,1.25730203406199e-06
6.04322302358209e-05,2.74810002421613e-05,2.75608727536424e-05,6.24564683421821e-05,2.9525981642201e-05,3.46118660910952e-05,4.68459767527335e-05,5.04149858105922e-05,4.73081366798885e-06,1.60257990539692e-05,1.75762704926799e-05,2.72153314232292e-05,2.43023092265701e-06,3.97486838281508e-05,1.60687873896517e-06,1.76495374984118e-05,8.58778564864033e-06,8.77676378309431e-06
8.56880711919061e-06,4.94292025108263e-06,8.77119335148473e-06,2.29694781496652e-06,4.27932483734046e-06,4.37081944527879e-06,5.21231203546227e-06,6.31350446733486e-06,1.738399061402e-06,3.44241899370937e-06,1.44761878933819e-06,2.00936080985803e-06,1.94232443328823e-06,4.32259414468171e-06,2.72365409291884e-06,2.5775797702896e-06,2.27986770995071e-07,3.13685303636497e-07
4.48671929651947e-05,2.37584871256511e-05,3.31788975012403e-05,4.83832940912504e-06,9.21643825441109e-06,1.20656922970434e-05,1.20009925102173e-05,7.40708286583811e-06,3.6404694317614e-06,1.70916218736014e-06,3.20823303360596e-06,6.88776008920611e-07,6.67679182945337e-07,1.05941115466207e-06,1.05474035661377e-06,1.16596932477762e-07,2.43970909337583e-07,9.96835333220769e-07
1.30050450400226e-05,7.28708359918713e-06,1.36196082995098e-05,4.2376252413907e-06,3.83168804628155e-06,9.15525971357472e-06,1.20536539669429e-05,9.96809602444168e-06,4.9376327463976e-06,3.21521193560061e-06,3.83909404173522e-06,2.11979887053513e-06,4.69051801297269e-06,2.74217049895884e-06,2.97817344324317e-06,6.76007887754959e-07,1.65941217857189e-06,3.21846540938179e-06
1.14656800679795e-05,6.67358923976953e-06,1.19761357613649e-05,3.01823005741819e-06,6.65010971146663e-06,4.9571689261972e-06,1.0773726290242e-05,1.09812005039654e-05,5.46557877798737e-06,1.67630967471956e-06,1.98018299130753e-06,2.53558258541957e-06,3.68864762747533e-06,3.58371231249308e-06,3.32074286220152e-06,2.19270967582726e-06,5.23642080202982e-07,9.51060926651121e-07
9.80807671503791e-06,5.88970569415059e-06,8.58940912599957e-06,1.080506799994e-06,1.78764552981388e-06,4.78459171747733e-06,4.15153079538791e-06,1.86934331690566e-06,1.6333220107385e-06,2.43633328745788e-06,2.30905174476017e-06,3.75982365737152e-07,3.81495984653118e-07,2.37214370699568e-07,1.88524365958033e-07,2.92006354555102e-07,4.5463603906648e-07,3.89779414457375e-07
7.81041203680616e-06,4.78128348689629e-06,8.50845243189529e-06,2.05515799170125e-06,3.58663900694355e-06,4.92607181078709e-06,1.13342994968043e-05,1.12893472687172e-05,4.20413825939292e-06,2.40117328003591e-06,2.27068043060492e-06,3.7816447071375e-06,1.7503571466209e-06,1.8118390302495e-06,2.89740026872791e-06,1.02917168399627e-06,1.32655571518511e-06,2.66754621439529e-06
1.07724381104802e-05,1.00763157794464e-05,8.23531000218767e-06,3.03522809875432e-06,3.76854541234112e-06,7.20957418543213e-06,5.09737539031411e-06,1.38540449225904e-06,7.49177661131481e-06,4.98753432254041e-06,3.68054380648864e-06,2.68224832645467e-06,2.10046741262293e-06,2.55957350128446e-06,3.55716172155813e-06,4.28697222953683e-06,1.13941602714948e-06,1.43753577700573e-06
