force,acceleration
-0.006045,-0.005277
0.004966,-0.005228
0.001511,-0.00508
-0.001295,-0.007052
0.0095,-0.008137
-0.013818,-0.005967
-0.013602,-0.000986
0.017488,-0.007447
-0.009931,-0.008335
-0.001943,-0.00508
-0.02267,-0.008088
-0.003023,-0.006066
-0.014465,-0.004587
0,-0.006066
-0.005398,-0.007496
-0.015761,-0.007102
-0.009931,-0.003156
0.000216,-0.003206
-0.012306,-0.0072
-0.015329,-0.005622
-0.0095,-0.004093
-0.010579,-0.004143
-0.001295,-0.006559
-0.006045,-0.005819
-0.001511,-0.004241
-0.005182,-0.00725
0.004318,-0.00725
0,-0.002959
-0.002159,-0.003058
0.002375,-0.003354
-0.003454,-0.005622
-0.015545,-0.006855
0.001295,-0.009321
0.008636,-0.003452
-0.006045,-0.005425
-0.006909,-0.004488
-0.008852,-0.00434
0.007125,-0.006806
0.007125,-0.006461
0,-0.004291
-0.013602,-0.00286
-0.01684,-0.005869
0.002591,-0.005967
0.006045,-0.009321
-0.001727,-0.000888
0.005398,-0.004734
0.018783,-0.00434
0.053975,-0.004685
0.090894,-0.004143
0.139904,-0.005573
0.24915,-0.007447
0.416689,-0.004833
0.614239,-0.007447
0.880877,-0.008039
1.183139,-0.010554
1.573704,-0.009617
2.012848,-0.008088
2.457604,-0.002811
2.919849,-0.00434
3.332004,-0.004932
3.631459,0.001184
3.787988,0.011096
3.815191,0.025399
3.672265,0.028604
3.431967,0.011343
3.107251,-0.011836
2.714527,-0.014499
2.339506,-0.008926
1.986723,0.002515
1.681439,-0.007398
1.415881,-0.013217
1.196957,-0.015535
0.995089,0.024955
0.873752,0.078711
0.759109,0.148101
0.693043,0.193029
0.608194,0.171921
0.566525,0.084432
0.509527,-0.050403
0.478005,-0.240374
0.45879,-0.366479
0.443029,-0.419248
0.436336,-0.333584
0.423166,-0.181489
0.430507,-0.098389
0.41561,0.007644
0.400497,0.00503
0.417985,0.101594
0.39294,0.246686
0.390349,0.25438
0.364225,0.182623
0.333999,0.097156
0.303341,0.116636
0.275274,-0.041575
0.237275,-0.070524
0.211799,0.032204
0.207481,0.238894
0.148756,0.268337
0.145086,-0.037136
0.116587,-0.313561
0.085713,-0.499636
0.06585,-0.480353
0.066282,-0.385121
0.053759,-0.174979
0.030874,-0.037087
0.044476,0.021897
0.042748,0.035854
0.056998,0.039602
0.045987,0.017113
0.056134,0.014056
0.06477,0.081423
0.074918,0.311144
0.081827,0.715203
0.09219,1.178689
0.092622,1.558336
0.090679,1.7886
0.073191,1.861195
0.099746,1.758664
0.083338,1.489932
0.070384,1.078673
0.054191,0.634766
0.059373,0.108647
0.058725,-0.496726
0.029147,-1.096625
0.057862,-1.716004
0.050953,-2.212089
0.025045,-2.574721
0.034976,-3.0785
0.033249,-3.748479
0.0516,-4.439566
0.035624,-5.116597
0.037351,-5.672307
0.03476,-5.965352
0.048578,-6.356539
0.055271,-6.677892
0.048794,-6.757441
0.054191,-6.746246
0.055271,-6.421885
0.050521,-5.455359
0.042748,-3.927403
0.044044,-2.15927
0.033896,-0.041723
0.038215,2.251247
0.053112,4.607837
0.030658,6.796994
0.031737,8.752484
0.025476,10.419121
0.022022,11.649545
0.017056,12.419885
0.000864,12.902901
0.005613,13.369149
0.002807,13.773602
0.004966,14.075672
0.013386,14.318413
0.014034,14.398604
0.026772,14.205476
0.005829,13.785882
0.010147,13.281265
0.016193,12.690688
0.022238,11.833894
0.028283,10.535511
0.028499,8.692218
0.031306,6.512136
0.030874,4.172955
0.029363,1.991541
0.036271,0.136166
0.015977,-1.144315
0.017056,-1.736717
0.012306,-1.691888
0.011227,-1.271752
0.01792,-0.865819
-0.006909,-0.749972
-0.006693,-1.225294
0.010795,-2.391063
-0.010147,-4.151995
-0.004534,-6.219831
0.01209,-8.348968
-0.001943,-10.205626
0.002375,-11.67228
0.002591,-12.732312
-0.000864,-13.26864
