err [%],used f1,used f2,used f3,used f4,used f5,used f6,used f7,used f8,used f9,used f10,Mech params
3.97183632728191,f11,f02,f12,f21,f22,f30,f31,f32,f24,f33,positive MP
3.9844646278942,f11,f02,f20,f12,f21,f22,f30,f31,f32,f24,positive MP
3.98699597521961,f11,f02,f20,f12,f21,f30,f31,f32,f24,f33,positive MP
3.99761267905796,f11,f02,f20,f12,f21,f22,f31,f32,f24,f33,positive MP
3.99865586293193,f11,f02,f20,f12,f22,f30,f31,f32,f24,f33,positive MP
3.99978326835729,f11,f02,f20,f12,f21,f22,f30,f32,f24,f33,positive MP
4.00227794327751,f11,f02,f20,f21,f22,f30,f31,f32,f24,f33,positive MP
4.01725229955525,f11,f02,f20,f12,f21,f22,f30,f31,f24,f33,positive MP
4.02974524370902,f11,f02,f20,f12,f21,f23,f30,f31,f32,f33,positive MP
4.03147937833383,f11,f02,f12,f21,f22,f23,f30,f31,f32,f33,positive MP
4.03702560767195,f11,f02,f20,f12,f21,f22,f23,f31,f32,f33,positive MP
4.04312960585442,f11,f02,f20,f12,f21,f22,f23,f30,f32,f33,positive MP
4.04677135053409,f11,f02,f20,f12,f21,f22,f23,f30,f31,f33,positive MP
4.04701374192046,f11,f02,f20,f12,f21,f22,f23,f30,f31,f32,positive MP
4.06423504142729,f11,f02,f20,f21,f22,f23,f30,f31,f32,f33,positive MP
4.06536706599866,f11,f02,f20,f12,f22,f23,f30,f31,f32,f33,positive MP
4.11757538873428,f11,f02,f20,f12,f21,f22,f23,f31,f24,f33,positive MP
4.1215602682636,f11,f02,f20,f12,f21,f22,f23,f32,f24,f33,positive MP
4.1265858561219,f11,f02,f20,f12,f21,f22,f23,f30,f24,f33,positive MP
4.15568402739189,f11,f02,f20,f12,f21,f23,f31,f32,f24,f33,positive MP
4.16394103912806,f11,f02,f20,f12,f21,f23,f30,f31,f24,f33,positive MP
4.1691825301461,f11,f02,f20,f12,f22,f23,f31,f32,f24,f33,positive MP
