err [%],used f1,used f2,used f3,used f4,used f5,used f6,used f7,used f8,used f9,used f10,used f11,Mech params
3.99113727235678,f11,f02,f20,f12,f21,f22,f30,f31,f32,f24,f33,positive MP
4.03001349524114,f11,f02,f20,f12,f21,f22,f23,f30,f31,f32,f33,positive MP
4.12133629277856,f11,f02,f20,f12,f21,f22,f23,f31,f32,f24,f33,positive MP
4.12526565053839,f11,f02,f20,f12,f21,f22,f23,f30,f31,f24,f33,positive MP
4.14710743882867,f11,f02,f20,f12,f21,f22,f23,f30,f32,f24,f33,positive MP
4.1827640564927,f11,f02,f20,f12,f21,f23,f30,f31,f32,f24,f33,positive MP
4.19708194563144,f11,f02,f20,f12,f22,f23,f30,f31,f32,f24,f33,positive MP
4.20441920753416,f11,f02,f20,f12,f21,f22,f23,f30,f31,f32,f24,positive MP
4.27193295605504,f11,f02,f20,f21,f22,f23,f30,f31,f32,f24,f33,positive MP
4.28326538198806,f11,f02,f12,f21,f22,f23,f30,f31,f32,f24,f33,positive MP
5.15979339306638,f02,f20,f12,f21,f22,f23,f30,f31,f32,f24,f33,positive MP
5.19629679418605,f11,f20,f12,f21,f22,f23,f30,f31,f32,f24,f33,positive MP
