err [%],used f1,used f2,used f3,used f4,Mech params
3.98312974452618,f11,f02,f21,f24,positive MP
4.07447489247124,f11,f02,f20,f24,positive MP
4.09124336032329,f12,f21,f30,f32,positive MP
4.10125492189181,f12,f30,f31,f33,positive MP
4.10437500083909,f12,f21,f22,f31,positive MP
4.1141615954986,f12,f21,f22,f30,positive MP
4.12335709983812,f12,f21,f31,f33,positive MP
4.12616044774066,f12,f21,f30,f33,positive MP
4.13578245937996,f21,f30,f31,f33,positive MP
4.14228271965406,f11,f02,f20,f23,positive MP
4.14253833054615,f12,f21,f31,f32,positive MP
4.156185805331,f21,f30,f32,f33,positive MP
4.15692045566855,f12,f21,f22,f32,positive MP
4.16775599727458,f12,f22,f30,f33,positive MP
4.16976916023303,f12,f21,f30,f31,positive MP
4.18208334188616,f20,f21,f22,f31,positive MP
4.18353509486435,f12,f22,f31,f33,positive MP
4.1863863561184,f20,f21,f31,f33,positive MP
4.18816602020639,f21,f22,f31,f32,positive MP
4.19211466186452,f22,f30,f31,f33,positive MP
4.1997328840481,f21,f22,f30,f31,positive MP
4.2017100597491,f20,f22,f31,f33,positive MP
4.20405909106792,f20,f12,f31,f32,positive MP
4.2056913943701,f20,f21,f30,f31,positive MP
4.20620666620675,f20,f21,f22,f33,positive MP
4.20774694458721,f20,f22,f30,f31,positive MP
4.21072751690591,f21,f22,f31,f33,positive MP
4.22388495626563,f20,f12,f22,f30,positive MP
4.22715104440628,f20,f30,f31,f33,positive MP
4.22927262447915,f20,f12,f30,f32,positive MP
4.23756680523296,f12,f22,f30,f31,positive MP
4.24355648215904,f20,f12,f22,f31,positive MP
4.24486074007211,f21,f22,f30,f32,positive MP
4.25253259474772,f21,f22,f30,f33,positive MP
4.25617003093423,f20,f21,f30,f33,positive MP
4.26159254167677,f12,f30,f32,f33,positive MP
4.263717933028,f20,f21,f22,f30,positive MP
4.28613833151085,f21,f31,f32,f33,positive MP
4.29338081503651,f20,f22,f30,f33,positive MP
4.30017351292026,f11,f12,f30,f33,positive MP
4.31989845701272,f22,f30,f31,f32,positive MP
4.32263273544615,f11,f12,f22,f30,positive MP
4.32891948457827,f12,f22,f30,f32,positive MP
4.33169299455949,f11,f20,f12,f32,positive MP
4.33696561206028,f11,f20,f31,f32,positive MP
4.34723701178053,f02,f12,f21,f32,positive MP
4.34735445513968,f12,f30,f31,f32,positive MP
4.35395712104112,f11,f21,f30,f33,positive MP
4.3569336103549,f20,f21,f22,f32,positive MP
4.35963334525193,f11,f12,f21,f30,positive MP
4.36646891953388,f11,f12,f21,f31,positive MP
4.36783939038958,f20,f12,f30,f33,positive MP
4.36906010728092,f11,f12,f31,f33,positive MP
4.37203193706833,f12,f22,f31,f32,positive MP
4.37326117232303,f12,f31,f32,f33,positive MP
4.37397068314883,f02,f12,f21,f31,positive MP
4.37817804261887,f11,f21,f22,f31,positive MP
4.3801732362603,f20,f12,f31,f33,positive MP
4.38247098326847,f02,f21,f22,f31,positive MP
4.38320770556717,f02,f21,f22,f32,positive MP
4.3850995313572,f02,f20,f12,f31,positive MP
4.38515705959663,f11,f21,f31,f33,positive MP
4.38527614415335,f02,f20,f21,f31,positive MP
4.39900333307574,f02,f20,f31,f33,positive MP
4.40112719259256,f11,f21,f30,f31,positive MP
4.40540604956678,f02,f12,f32,f33,positive MP
4.4082760312637,f02,f12,f31,f33,positive MP
4.40887507830655,f11,f22,f30,f31,positive MP
4.41114800111274,f02,f20,f12,f30,positive MP
4.41485675639867,f02,f12,f22,f32,positive MP
4.41742101029185,f02,f20,f30,f33,positive MP
4.41769634416135,f02,f12,f22,f30,positive MP
4.41925274917703,f11,f12,f30,f31,positive MP
4.41980364128965,f02,f22,f30,f32,positive MP
4.4209569553202,f11,f12,f22,f31,positive MP
4.42297822449065,f20,f12,f21,f30,positive MP
4.42304278520844,f20,f12,f21,f31,positive MP
4.43575817669593,f02,f12,f21,f30,positive MP
4.43814868415027,f22,f31,f32,f33,positive MP
4.43831240362153,f22,f30,f32,f33,positive MP
4.43896329026745,f02,f12,f30,f33,positive MP
4.44885615083131,f11,f12,f21,f33,positive MP
4.45609107519978,f02,f21,f22,f30,positive MP
4.46094915239642,f20,f22,f31,f32,positive MP
4.46261283393406,f02,f12,f30,f32,positive MP
4.4633167472052,f02,f12,f22,f33,positive MP
4.46537200381832,f02,f20,f12,f33,positive MP
4.4659547074639,f20,f12,f21,f33,positive MP
4.47531295358031,f11,f20,f12,f22,positive MP
4.48252407559654,f11,f20,f12,f33,positive MP
4.48672209061184,f20,f22,f30,f32,positive MP
4.48995929363334,f11,f20,f30,f32,positive MP
4.49077041909474,f02,f20,f21,f33,positive MP
4.49194700700183,f02,f20,f22,f30,positive MP
4.49718123175293,f02,f20,f12,f22,positive MP
4.50013736397588,f11,f20,f21,f31,positive MP
4.50432125770577,f20,f31,f32,f33,positive MP
4.50817460311998,f02,f20,f12,f21,positive MP
4.51047691272592,f11,f21,f22,f30,positive MP
4.51126493452483,f02,f22,f32,f33,positive MP
4.51412360013523,f02,f20,f22,f33,positive MP
4.51846992735577,f11,f20,f12,f21,positive MP
4.52248386020973,f02,f20,f22,f31,positive MP
4.52254494013848,f11,f12,f30,f32,positive MP
4.52285094780126,f02,f22,f30,f33,positive MP
4.52955569902629,f11,f20,f31,f33,positive MP
4.53589473165365,f02,f12,f21,f33,positive MP
4.53960068971001,f02,f20,f21,f22,positive MP
4.54328140313628,f02,f30,f31,f32,positive MP
4.55113181179795,f11,f20,f21,f30,positive MP
4.55356449498872,f02,f12,f21,f22,positive MP
4.55933038953013,f11,f21,f31,f32,positive MP
4.56485942864044,f11,f12,f21,f22,positive MP
4.56763815659821,f02,f22,f30,f31,positive MP
4.57143790523296,f20,f30,f32,f33,positive MP
4.59650344112022,f02,f12,f31,f32,positive MP
4.60271862078056,f02,f20,f12,f32,positive MP
4.60739941385726,f11,f30,f31,f33,positive MP
4.62126311006519,f11,f21,f30,f32,positive MP
4.62653447002945,f11,f02,f12,f33,positive MP
4.62688878211074,f11,f02,f12,f30,positive MP
4.62955355400306,f11,f20,f30,f31,positive MP
4.63069528809004,f02,f21,f32,f33,positive MP
4.63761575528811,f11,f20,f22,f31,positive MP
4.64627015457043,f11,f20,f12,f30,positive MP
4.66456583582629,f11,f22,f31,f33,positive MP
4.66729189104201,f11,f20,f12,f31,positive MP
4.67531633416792,f02,f22,f31,f32,positive MP
4.675657109354,f11,f20,f30,f33,positive MP
4.68059360784648,f02,f20,f21,f30,positive MP
4.68736120095412,f02,f22,f31,f33,positive MP
4.6953019831841,f11,f12,f21,f32,positive MP
4.70371421311418,f02,f12,f30,f31,positive MP
4.71288015107493,f02,f20,f32,f33,positive MP
4.72008706240251,f02,f20,f22,f32,positive MP
4.73401592490865,f11,f12,f31,f32,positive MP
4.73488341396928,f02,f12,f22,f31,positive MP
4.75226111313989,f21,f30,f31,f32,positive MP
4.78847964777161,f11,f22,f30,f32,positive MP
4.81583665629111,f02,f30,f32,f33,positive MP
4.82557261299452,f11,f02,f21,f23,positive MP
4.83880802855837,f11,f02,f12,f31,positive MP
4.85268983923409,f11,f02,f30,f24,positive MP
4.85441675956909,f12,f22,f32,f33,positive MP
4.85535232537737,f11,f22,f30,f33,positive MP
4.8591931338543,f11,f02,f21,f22,positive MP
4.85981767686691,f11,f20,f22,f30,positive MP
4.8657045683581,f30,f31,f32,f33,positive MP
4.86912142593347,f11,f02,f12,f32,positive MP
4.87484014791216,f20,f21,f31,f32,positive MP
4.88851151641286,f02,f30,f31,f33,positive MP
4.89613945089466,f11,f02,f22,f30,positive MP
4.90368723520742,f02,f21,f22,f33,positive MP
4.91362280340863,f20,f12,f21,f22,positive MP
4.9269896886617,f02,f20,f21,f32,positive MP
4.93420447685108,f11,f02,f21,f32,positive MP
4.94800186324029,f11,f02,f30,f31,positive MP
4.95327148246644,f11,f02,f12,f21,positive MP
4.9535258814402,f11,f02,f30,f33,positive MP
4.96091733444957,f11,f02,f24,f33,positive MP
4.9874598757364,f11,f12,f22,f33,positive MP
