err [%],used f1,used f2,used f3,used f4,used f5,Mech params
3.97281533216252,f11,f02,f21,f31,f24,positive MP
3.97641084224081,f11,f02,f12,f21,f24,positive MP
3.97735384124656,f11,f02,f21,f24,f33,positive MP
3.98445704021043,f11,f02,f21,f30,f24,positive MP
3.99888859570667,f11,f02,f21,f22,f24,positive MP
4.01508421200329,f11,f02,f20,f32,f24,positive MP
4.02909696466824,f11,f02,f20,f31,f24,positive MP
4.03278354662906,f11,f02,f20,f30,f24,positive MP
4.05076275420374,f11,f02,f20,f22,f24,positive MP
4.06561373473245,f11,f02,f20,f21,f24,positive MP
4.06831851946598,f11,f02,f21,f32,f24,positive MP
4.08195311431686,f11,f02,f20,f12,f23,positive MP
4.08421585497524,f11,f02,f20,f12,f24,positive MP
4.0911999131811,f12,f21,f30,f32,f33,positive MP
4.09221913729551,f11,f02,f20,f21,f23,positive MP
4.09288131370778,f12,f21,f22,f30,f31,positive MP
4.0936631804142,f12,f21,f30,f31,f32,positive MP
4.0945545639419,f11,f02,f20,f23,f33,positive MP
4.10037110851069,f11,f02,f20,f24,f33,positive MP
4.10344275851532,f12,f21,f22,f31,f33,positive MP
4.1071262332385,f12,f21,f22,f30,f32,positive MP
4.11274871296814,f12,f21,f22,f30,f33,positive MP
4.11866767254936,f12,f21,f22,f31,f32,positive MP
4.12125620075102,f12,f21,f30,f31,f33,positive MP
4.1269505667636,f11,f02,f20,f22,f23,positive MP
4.12854378276659,f11,f02,f21,f23,f33,positive MP
4.13266489834713,f21,f30,f31,f32,f33,positive MP
4.14996651127013,f20,f12,f30,f31,f32,positive MP
4.15037686398927,f20,f12,f21,f31,f32,positive MP
4.1510387581533,f20,f12,f21,f30,f32,positive MP
4.15104990281306,f11,f02,f20,f23,f31,positive MP
4.16015345786916,f11,f02,f20,f23,f30,positive MP
4.16039624475738,f12,f22,f30,f31,f33,positive MP
4.16136753332499,f12,f21,f22,f32,f33,positive MP
4.16216322019736,f12,f21,f31,f32,f33,positive MP
4.16292615236254,f21,f22,f31,f32,f33,positive MP
4.16537389003232,f11,f02,f20,f23,f32,positive MP
4.1667121164168,f11,f02,f30,f24,f33,positive MP
4.1705801663279,f20,f12,f31,f32,f33,positive MP
4.18213932412906,f21,f22,f30,f31,f32,positive MP
4.18638737061739,f21,f22,f30,f32,f33,positive MP
4.18809013714183,f20,f12,f30,f32,f33,positive MP
4.18929469150738,f20,f21,f22,f31,f33,positive MP
4.19301603866285,f21,f22,f30,f31,f33,positive MP
4.20359406683344,f20,f12,f22,f30,f33,positive MP
4.2074049359629,f20,f21,f22,f30,f31,positive MP
4.20868925187713,f20,f21,f30,f31,f33,positive MP
4.21002400722706,f20,f12,f22,f31,f33,positive MP
4.21860230112655,f20,f12,f21,f22,f30,positive MP
4.21920432179673,f20,f22,f30,f31,f33,positive MP
4.22052049849415,f20,f12,f22,f31,f32,positive MP
4.22502384334122,f20,f12,f22,f30,f31,positive MP
4.22595020954179,f20,f12,f21,f22,f31,positive MP
4.23295456175544,f11,f02,f31,f24,f33,positive MP
4.24537731456455,f11,f20,f12,f31,f32,positive MP
4.24631947736777,f20,f12,f22,f30,f32,positive MP
4.24900207742063,f12,f22,f30,f32,f33,positive MP
4.25519402280966,f11,f12,f22,f30,f31,positive MP
4.25618116394283,f20,f21,f22,f32,f33,positive MP
4.2604075208864,f12,f30,f31,f32,f33,positive MP
4.26384233568259,f20,f21,f22,f30,f33,positive MP
4.2766109117125,f11,f20,f12,f30,f32,positive MP
4.28453311886329,f11,f12,f30,f31,f33,positive MP
4.28725694800601,f11,f22,f30,f31,f33,positive MP
4.29240045657061,f11,f21,f22,f30,f31,positive MP
4.29294156986821,f11,f20,f30,f31,f32,positive MP
4.29762750038546,f11,f12,f21,f30,f33,positive MP
4.30165238516563,f20,f12,f21,f30,f33,positive MP
4.30669047850074,f20,f12,f21,f31,f33,positive MP
4.30845075862404,f20,f22,f31,f32,f33,positive MP
4.30900591072161,f12,f22,f30,f31,f32,positive MP
4.31287186083312,f11,f12,f21,f22,f30,positive MP
4.31794950687935,f02,f12,f21,f31,f32,positive MP
4.32031423971561,f22,f30,f31,f32,f33,positive MP
4.32313265221754,f11,f20,f21,f31,f32,positive MP
4.32592200780523,f11,f12,f22,f30,f33,positive MP
4.32644250628378,f11,f20,f12,f32,f33,positive MP
4.32688894696776,f11,f20,f12,f21,f32,positive MP
4.32800792555611,f11,f12,f21,f22,f31,positive MP
4.3306169234845,f12,f22,f31,f32,f33,positive MP
4.3312853563416,f02,f12,f21,f22,f31,positive MP
4.33178283427571,f11,f12,f21,f31,f33,positive MP
4.3354898678744,f11,f20,f31,f32,f33,positive MP
4.34340824518457,f20,f22,f30,f32,f33,positive MP
4.35378808320965,f02,f12,f21,f22,f32,positive MP
4.35509432091157,f11,f21,f30,f31,f33,positive MP
4.35556135458821,f11,f12,f21,f30,f31,positive MP
4.35612222188256,f11,f21,f22,f30,f32,positive MP
4.35656726506138,f20,f21,f22,f31,f32,positive MP
4.3566050806292,f02,f20,f21,f31,f33,positive MP
4.35889171032838,f02,f20,f12,f21,f31,positive MP
4.36090635813897,f02,f20,f30,f31,f33,positive MP
4.36101525321432,f02,f12,f21,f30,f32,positive MP
4.36299120543411,f02,f20,f21,f30,f31,positive MP
4.36307979781405,f11,f12,f21,f30,f32,positive MP
4.36471301903851,f02,f20,f12,f30,f31,positive MP
4.36573796084673,f02,f21,f22,f31,f32,positive MP
4.36883839472989,f20,f12,f30,f31,f33,positive MP
4.37214667132563,f11,f20,f12,f22,f32,positive MP
4.37351197318066,f02,f20,f12,f31,f33,positive MP
4.37458972318765,f02,f21,f22,f32,f33,positive MP
4.37790243721237,f11,f21,f22,f31,f33,positive MP
4.37921563280556,f20,f21,f31,f32,f33,positive MP
4.38081443294942,f02,f12,f21,f30,f31,positive MP
4.38209314489313,f02,f12,f21,f22,f30,positive MP
4.38765344240169,f02,f12,f21,f32,f33,positive MP
4.39433767712875,f02,f20,f12,f22,f31,positive MP
4.3959711987984,f02,f12,f22,f31,f33,positive MP
4.39944093247271,f02,f12,f22,f32,f33,positive MP
4.39959803272281,f11,f20,f12,f21,f33,positive MP
4.40100549295773,f02,f12,f31,f32,f33,positive MP
4.40385341755588,f02,f20,f21,f22,f31,positive MP
4.40663997529771,f02,f12,f21,f31,f33,positive MP
4.40842529190866,f02,f20,f12,f30,f33,positive MP
4.41048555165285,f02,f12,f30,f31,f33,positive MP
4.41199620434355,f02,f21,f22,f30,f32,positive MP
4.41327173264525,f11,f20,f22,f31,f32,positive MP
4.41403871399641,f02,f20,f22,f31,f33,positive MP
4.41591934885785,f02,f12,f30,f32,f33,positive MP
4.41743883420829,f02,f20,f21,f22,f30,positive MP
4.41833801309438,f02,f12,f22,f30,f32,positive MP
4.42037869680155,f02,f12,f22,f30,f33,positive MP
4.42043515421637,f20,f12,f21,f30,f31,positive MP
4.4216871069368,f11,f12,f22,f31,f33,positive MP
4.42199060025198,f02,f20,f12,f21,f30,positive MP
4.42490600681105,f02,f20,f12,f22,f30,positive MP
4.43118023694149,f02,f21,f22,f31,f33,positive MP
4.43404347451038,f20,f21,f22,f30,f32,positive MP
4.43548764230692,f11,f12,f21,f31,f32,positive MP
4.43652467035769,f02,f20,f22,f30,f33,positive MP
4.44195001305486,f02,f21,f22,f30,f31,positive MP
4.44289498959024,f11,f02,f30,f31,f24,positive MP
4.45090033111386,f11,f20,f12,f21,f22,positive MP
4.45324245718959,f11,f20,f12,f22,f33,positive MP
4.45984578212941,f11,f02,f21,f23,f32,positive MP
4.46063415601788,f02,f20,f12,f21,f32,positive MP
4.46119812126069,f11,f20,f21,f30,f32,positive MP
4.46165270458594,f20,f22,f30,f31,f32,positive MP
4.46248201897594,f02,f12,f21,f30,f33,positive MP
4.46293834080982,f11,f21,f22,f31,f32,positive MP
4.46425718127589,f11,f12,f30,f31,f32,positive MP
4.46632744508105,f11,f20,f12,f22,f31,positive MP
4.47206723873702,f11,f20,f21,f31,f33,positive MP
4.47533125988513,f11,f20,f12,f22,f30,positive MP
4.47833451606474,f11,f20,f12,f30,f33,positive MP
4.47877707680666,f02,f20,f12,f32,f33,positive MP
4.47884959341184,f11,f20,f12,f31,f33,positive MP
4.4823156675023,f11,f02,f21,f23,f30,positive MP
4.48571016435392,f11,f21,f22,f30,f33,positive MP
4.48634516805205,f02,f20,f12,f21,f33,positive MP
4.4869375522316,f11,f02,f32,f24,f33,positive MP
4.48757445303479,f11,f20,f12,f21,f30,positive MP
4.4923313640161,f02,f20,f12,f22,f33,positive MP
4.49372219998507,f20,f21,f30,f32,f33,positive MP
4.49418333248097,f02,f21,f22,f30,f33,positive MP
4.49633388827094,f02,f20,f12,f21,f22,positive MP
4.49943723041852,f11,f20,f12,f21,f31,positive MP
4.50111785329761,f11,f20,f30,f32,f33,positive MP
4.50249861732995,f11,f20,f21,f30,f31,positive MP
4.50531540167315,f02,f20,f22,f30,f31,positive MP
4.50703149029499,f11,f12,f30,f32,f33,positive MP
4.51801991396948,f02,f22,f30,f31,f32,positive MP
4.51910829813168,f11,f02,f30,f32,f24,positive MP
4.51925256769105,f02,f22,f30,f32,f33,positive MP
4.51988825444386,f20,f30,f31,f32,f33,positive MP
4.51990977987598,f02,f20,f12,f31,f32,positive MP
4.52059127485056,f02,f20,f21,f30,f33,positive MP
4.52074274138958,f02,f20,f12,f30,f32,positive MP
4.52996825145138,f11,f20,f30,f31,f33,positive MP
4.53236785872735,f02,f20,f21,f32,f33,positive MP
4.53666903495841,f02,f20,f21,f22,f33,positive MP
4.53992490368215,f02,f12,f30,f31,f32,positive MP
