disp f1,disp f2,disp f3,disp f4,disp f5,disp f6
4.71206698004306e-07,5.49422302717753e-07,4.74192198202159e-07,5.31219377834239e-07,4.71247345792086e-07,4.85374909676954e-07
3.47284149398024e-07,5.6518847916623e-07,3.45346819464968e-07,5.49660799769246e-07,3.47102004985271e-07,5.35771241076318e-07
4.14851816925624e-07,5.64059578228947e-07,4.09868719577144e-07,5.43030793834234e-07,4.0698585639831e-07,5.20988744852284e-07
5.66369294578066e-07,5.45153644464987e-07,5.66559475319699e-07,5.20625896305736e-07,5.60528440279354e-07,4.59889805918811e-07
5.66365995785728e-07,5.45149824905565e-07,5.66569580924527e-07,5.20686233277344e-07,5.60571978714592e-07,4.59968669961843e-07
4.6348745621299e-07,5.49743957176581e-07,4.66586395356223e-07,5.32029347151397e-07,4.63697967544938e-07,4.87265439170318e-07
3.91339282385065e-07,5.53208130205998e-07,3.95782582338245e-07,5.40589456597402e-07,3.94465615274162e-07,5.07221819480852e-07
3.80215563188226e-07,5.53724849697104e-07,3.84791531818528e-07,5.41942037151902e-07,3.83635060943688e-07,5.10343176649493e-07
2.81829862839054e-07,5.65947350118094e-07,2.8122810192257e-07,5.55076369536093e-07,2.85341198773934e-07,5.47991505953905e-07
2.97830801422737e-07,5.65784037186199e-07,2.96885651345616e-07,5.53764292822138e-07,3.0039581708069e-07,5.44979077951639e-07
4.23210476517525e-07,5.63925453635167e-07,4.17557478521989e-07,5.42208381856151e-07,4.13761930697975e-07,5.19101342107557e-07
4.88328427571237e-07,5.62673249630626e-07,4.78937146455484e-07,5.35144816974366e-07,4.69726917810203e-07,5.03133465586373e-07
4.92702646140434e-07,5.62587237840326e-07,4.83047364859887e-07,5.34625951048954e-07,4.73435434899052e-07,5.01880879730154e-07
5.61453089322317e-07,5.61838886708203e-07,5.4715519469034e-07,5.29353883763273e-07,5.31914707673292e-07,4.89504134306848e-07
5.6145335093852e-07,5.61786195233759e-07,5.47112038734028e-07,5.29151824049202e-07,5.31751695654288e-07,4.89125055013129e-07
3.22106434671138e-07,5.56280297811207e-07,3.27330280716609e-07,5.48019461022828e-07,3.26952901327604e-07,5.24853708957066e-07
9.00788899875638e-08,5.63779556217956e-07,9.30162140589775e-08,5.63267489640815e-07,9.02280838770572e-08,5.6347778674692e-07
3.82398624021344e-08,5.65117687643735e-07,3.78407851024821e-08,5.64574159366911e-07,3.5692421517408e-08,5.67377924983876e-07
3.58604495639448e-07,5.65036378264928e-07,3.56394388035501e-07,5.48604053434525e-07,3.57657909785925e-07,5.33314094344224e-07
3.07386926203458e-07,5.56843968927368e-07,3.12708034903385e-07,5.49364155907322e-07,3.12380148283179e-07,5.28140629806771e-07
2.5071716292935e-07,5.58991396112161e-07,2.56270897115785e-07,5.54121946704674e-07,2.56108065062196e-07,5.39985323380794e-07
