rho,Ex,Ey,Ez,Gxy,Gyz,Gxz,vxy,vyz,vxz
393.894150480384,13725036184.2114,900328092.518531,912016864.635608,697821023.051312,78632308.4023675,1474317391.83262,0.227089009424525,0.867918554563691,0.804690019981696
417.74742345699,14552097702.3178,944191031.984176,659332532.206896,763233104.63419,96973273.6251456,783400738.460073,0.370588465645452,0.217036740366544,0.646360886992109
417.414246529389,14359787413.3217,947446635.572395,1174152901.85394,763135216.102053,97427888.2094908,851461804.789968,0.219759258736712,0.21697991559605,0.375496910001202
403.793738143368,14091918360.827,923595236.937806,659333051.597787,727527136.112989,91219290.0005739,1091901342.0564,0.264790097435962,0.216979638640971,0.771314822800518
412.845737022602,14095743151.3952,942579179.019614,659332532.206924,762170434.267377,97427503.2997409,510656867.978257,0.386208251966944,0.303883991838095,0.266684008884134
409.665760933042,13814486039.5502,938485846.873685,701148902.869206,744558072.732525,97427888.2106305,1010350917.64654,0.219759258736694,0.332300361290895,0.290062322349009
381.573926657141,13319617591.1198,891698667.986566,659332532.206907,690342693.370596,96315359.6679386,510645373.989322,0.361784527691507,0.313555429845255,0.56828046092279
416.625157601211,14163075022.727,948003387.935515,659332532.207014,759879841.028056,97427345.8348179,963213315.639563,0.249127084709657,0.29937615398298,0.385077970698559
388.19191375727,13453650065.2762,902342504.275998,659332532.206882,703985893.091742,97384968.3194044,642600188.951778,0.360010858828744,0.27415860438828,0.497031312341791
389.26125017036,13372272617.7039,904614354.109829,659332532.206995,702196901.73666,97426167.7012982,819076525.428876,0.261639527266112,0.516945094991319,0.485172979055276
404.932487891404,13688150172.4638,926817152.625047,671482930.795659,728631107.071527,97427820.7426037,1316094652.05355,0.298686803408893,0.216979638640943,0.403049297473301
395.210022753121,12987178949.9652,911621430.111023,727961782.326311,694886614.966104,97427888.210627,1981692090.76362,0.219759258736695,0.402997959087037,0.268245324920214
398.735818913077,13548360324.7292,924810170.738094,659332532.206886,719245642.110811,71554037.7346528,1270521686.93595,0.222106562507669,0.223946834847506,0.478586917209622
413.329603102774,13941850079.1939,944155967.411583,659332532.206894,751361599.350133,88558492.2397575,1046154785.7018,0.341295229826862,0.216979638640931,0.227660822614558
422.390287124678,14364410493.2333,955224684.823013,659332532.214575,773930435.68244,97427888.2106316,874834927.235984,0.319958865350577,0.463377311060817,0.360694549295275
397.408485378525,13767431047.0724,916233767.827995,1302421297.99315,722301407.31492,70112524.1101784,1055393932.30442,0.219759258736704,0.217190055398938,0.580105445649026
407.957525211756,14056325517.3808,941734959.476682,659332532.20687,744719441.370554,87072856.90466,597995114.045668,0.219759258736695,0.344915902794287,0.511376960035049
396.598841597306,13431455663.4659,916299043.214472,659332532.206894,711101173.782131,72220807.5099283,1563479333.94943,0.219759576355294,0.246977335630125,0.531519607066926
405.989125666249,13712785305.6413,930015747.623526,659332532.206935,730759180.13644,97427885.5817446,1269251567.34675,0.226864583540776,0.397546695566218,0.405501133626166
410.211677563382,13914087316.2807,935916635.599609,662906108.220855,751664194.18457,97427888.1742546,1176259300.26797,0.389706818178026,0.216979638640931,0.491308045372971
389.001406984993,13451568452.579,901460515.196854,1229245400.61049,703604546.723436,97395876.6423728,747057537.60535,0.21975925873671,0.582354594389945,0.422877766332893
406.897048101972,14141220559.7916,932006629.11808,659361783.039138,737899518.04673,80948192.0133806,1060435106.77483,0.21975925873673,0.305928178921757,0.73287328466743
413.444887017299,14289092471.2318,943520455.522668,672933043.089954,761311251.248578,93622724.3871951,511303492.621499,0.344629764163064,0.216979638641081,0.460607295420317
403.233864757548,13814568608.3917,930577560.334409,851298993.126692,738742362.544514,69250701.3737217,945700257.485892,0.219759259141984,0.216979638640943,0.451254679157266
436.097632295744,15037546311.3907,974277190.656394,761567090.978004,803657663.296844,97427888.2106309,833738553.72388,0.309572033213205,0.217479120750729,0.517440717630406
389.168150506074,13460552444.1512,899719858.958335,1317390370.19727,702379343.285807,97427888.2106301,930570500.067736,0.285511730557629,0.216979642392416,0.504561818426334
386.589228758709,13746661405.7747,882117855.279077,989246831.992087,700092861.397742,91581149.6981015,1045585543.91646,0.639043176712574,0.216979638640944,0.907033687936061
366.262886147096,12520752753.3594,870479522.825597,898066062.749218,651317145.172214,97427888.2106298,996139173.764365,0.222572567417025,0.216996660251031,0.43628267253819
419.65386579776,14050256242.7065,940402981.302167,883427507.331294,744839667.958645,97037067.2706069,2042581495.08858,0.242103226371208,0.502135815243386,0.5074094562392
418.782867775073,14179378896.1966,945072668.133584,659332532.207042,763045594.146539,97427812.4802584,1084209568.07283,0.388865865332061,0.498680511896773,0.346420534967992
399.777955642763,13441711024.9416,906795040.098779,1837224022.30664,712149214.129553,97427888.2106313,1614856774.15683,0.253207156355184,0.867918553727574,0.31077888941834
419.412904738987,14152578344.0903,952350136.418155,659332532.206874,759945201.377918,73323664.4773329,1357194507.70432,0.219759258736835,0.581641110590208,0.4573329484812
405.068086561523,13961415020.0338,925661800.779439,659333288.632014,735354573.920918,96775046.3251373,916667608.127638,0.359510998352643,0.314597926139453,0.536571649618095
407.21721690361,13858303156.721,933417522.14695,659655980.208086,738716947.618096,97427888.2106317,984523115.594203,0.24647392165446,0.322548415613633,0.403886625244852
403.648025382729,13779676429.7294,920125745.638788,659332532.206933,720646857.197517,97422270.9765043,1439179054.30191,0.31317875431015,0.462817930286587,0.596783274081916
410.210760086937,13895294387.0256,931948158.303206,659332532.220355,744031208.004917,97427888.2106299,1267244552.07018,0.431092495768977,0.217570093205934,0.395459120856765
403.421600688991,13628385970.665,928294195.877563,659332532.206871,738350554.996769,92468424.9553774,950439608.808787,0.219759284160108,0.319794620471047,0.22687180923096
