rho,Ex,Ey,Ez,Gxy,Gyz,Gxz,vxy,vyz,vxz
401.381330344067,14089915239.715,1099013388.69777,605866355.307745,859484829.622615,901754575.34176,42269745.719145,0.467,0.372,0.435
422.962285519397,16673843681.2178,850763094.371676,658102536.033246,886882218.409596,783833184.910345,40436963.2662739,0.483000562587355,0.505116366157798,0.555470510799992
347.199388758656,18366096679.6788,1178736284.24114,602046072.687364,920915897.914509,883271667.255601,41744990.7159877,0.536568878283581,0.424416083020578,0.496647869984188
428.333971625051,12388576400.3454,1177838876.76796,704636826.601775,901504507.510613,995058490.918517,45342270.6946586,0.452829308812493,0.382932018575996,0.400753198036499
437.039872398741,12473703181.5944,981543094.266751,556821552.945987,606428072.48934,1031461176.3545,43644317.8604535,0.431744847494775,0.422975105691542,0.360549035779864
397.277509441324,13749718404.6022,1134094636.70831,624821405.074886,785149712.784052,899044685.957766,41572806.2975062,0.496313930327592,0.412669482888269,0.483253388446226
366.715918479543,14198913543.4199,965580300.059821,538403091.720039,858896140.262821,1039960214.62208,39016387.4728388,0.484343390555895,0.363608260235509,0.483604992038429
357.668322786238,14135788430.7655,1159736848.07973,672548625.439939,992207499.413458,909503454.592284,35964831.4043658,0.432334504199965,0.332509159520497,0.537244889244089
376.672220129518,15143949087.2338,1077866336.76079,659704271.281557,793747198.044762,775304329.44566,36257398.8520799,0.489798655590459,0.36540164417378,0.426471673280381
458.349789987641,14500755151.1812,1120753088.31674,702059701.404546,790342201.079586,964573000.770476,45799642.158214,0.45561850294435,0.380022927214219,0.384285788980531
355.304648987418,14237682825.6612,1178390073.84339,762512571.498011,802166588.174146,918647236.193512,41921043.8807773,0.376727829736359,0.355670459073626,0.356931470396702
435.112435156189,12838685562.6987,1110013725.07105,572875179.490445,885571981.470227,847619852.931432,44340816.6728672,0.501528257872329,0.435682225526914,0.426555626194515
315.551742064462,12906941811.0959,1247885118.97089,540908073.618016,942077356.923531,912940822.814071,48342625.8109334,0.375425970029653,0.364645625993762,0.382458721391199
518.103343546605,15252641667.1041,1250564255.33471,541754773.691204,819208031.334538,877184521.698558,46912758.6481251,0.454023380738817,0.398097342243674,0.345745990953865
387.178452059172,12929488806.5119,925692710.418153,636642830.341056,883720932.114633,904773639.041344,36632322.9651512,0.519653889398552,0.385026674074443,0.421990627680515
402.300083890662,13720765892.5285,906662706.099024,588559724.002687,788030139.16775,813454198.752949,37381665.3257334,0.442082882994943,0.29750195062515,0.476943979884476
422.255571882173,14061696166.5073,1095191999.78928,557508309.115821,947039284.237549,889741628.1756,39249444.8859508,0.530109715385525,0.363638516714844,0.409377237163645
389.590609358827,12895194349.4762,975909788.685155,758908178.004966,1001772336.27896,929486699.033915,36955938.380277,0.426582642973091,0.36543293095059,0.469426598680846
347.917159678898,10807152165.2061,939755656.062223,626072654.596268,893121078.225436,942484973.602384,41719035.8031873,0.475578280776753,0.35428710778177,0.472497940102726
346.725456520041,14731048027.9016,1005739091.53172,585576682.392713,906995719.613352,995455050.441055,37545515.424395,0.525872761715946,0.396557324846948,0.432047848420893
393.545515931671,13783309736.8009,1065701455.28958,607262612.155368,863893157.898412,976245165.401049,48724237.3458732,0.488804904146476,0.364198663811939,0.462195780533312
408.735730601949,12638981499.1687,1203334138.82349,624470203.888466,871102910.830575,948217149.390521,43374703.6038647,0.423032614496381,0.365961038571698,0.428646623406579
380.027386925897,16459984947.0374,1002769561.06723,576553629.20242,798289118.771479,795869441.11037,41457154.1667894,0.454200920262147,0.428918697536576,0.424167423700653
358.665790800515,16349172981.8164,1234706280.01566,591954061.215013,730032687.966669,861660058.561231,41610586.9264184,0.479892387458603,0.362284712377115,0.454288853211328
417.11123225768,12327719260.7866,994831214.137317,560965230.504541,815838681.554594,872846532.359833,42322452.0399167,0.325537418156426,0.354999055359577,0.489046505677997
358.565927683629,15405530306.6123,1137514135.78101,604108993.673633,875166316.632931,760624933.199104,41912399.4876326,0.541904294573155,0.375658537216612,0.436799752186798
371.913152828893,14046498955.3057,1124548636.46759,631699742.843338,827442483.83641,880432175.065403,50823835.6382312,0.361534869577828,0.454935379312997,0.44968402097667
441.521904563233,11745121599.9637,1034167800.11217,589019383.163527,895816602.007359,751143463.239194,44263332.0241487,0.410360035775203,0.374462269801396,0.46337748115677
414.50890681685,15615336670.7522,1209582610.18302,566430045.506335,881578416.390173,816594874.564138,36682579.2497702,0.510189371094156,0.372001854385599,0.432611027214491
437.952277744157,14927678629.656,1137500966.58035,681614870.798963,939398823.059953,923375336.746902,39351606.890855,0.436572444930262,0.416346189583763,0.364885378092515
400.399473877095,11344006085.9487,1211167486.80007,658074846.851781,859584708.935098,895366797.234568,31760286.8077723,0.494140747468966,0.290441420977268,0.334111306661016
404.589720241959,12753513573.216,1144236758.92456,646882162.883147,933205640.670374,839428984.981428,44169253.5054586,0.471699577459714,0.402729803943081,0.458322832976777
437.42089543631,13904015902.1184,1082835751.58316,666923955.312593,676959864.293461,856253265.359009,36898975.2885881,0.449133289713553,0.396130868548209,0.470919130992016
360.643387391746,13426181725.5464,1114072605.82312,588183335.336182,885425676.57716,937818531.104874,38338821.8566471,0.458742026581105,0.292686080911191,0.484823234407554
376.130801688567,12393700830.2126,1071104527.99074,519309448.418096,857692149.022955,851196352.756434,51475160.9461232,0.520166333588292,0.279115822081537,0.454197721530151
345.262686284319,13730544653.1179,1117081616.47114,651169044.3851,836016858.543962,1043898162.26774,40236836.6078868,0.482294816042746,0.396728109287347,0.43870570378337
