f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31
4.88989478231302e-07,4.32110089191411e-07,4.89050243625732e-07,4.89379815278248e-07,4.89278586550665e-07,4.29830173925009e-07,4.88958660088234e-07,4.88754004186491e-07,2.53501376822455e-07,4.88702116129556e-07,4.8919421860173e-07,4.41791569322843e-07,4.69086171840487e-07,4.87974467337688e-07,4.85842445785957e-07,4.9019233143784e-07,1.69965802344671e-07,4.89362187035725e-07,4.42051923683526e-07,2.21078686320718e-07,4.89326102077913e-07,4.89953947002883e-07,3.54419929278229e-07,4.89398265210649e-07,4.89987281402906e-07,4.22709598025204e-07,4.89215756067157e-07,4.8861224586621e-07,4.74521043118651e-07,4.89988713853037e-07,4.89549932104044e-07
4.64798524511875e-07,4.36993928239502e-07,4.69892817886527e-07,4.30736853817686e-07,4.24122259016014e-07,3.59595716359074e-07,4.48438173064641e-07,4.80702535878171e-07,1.96543909511547e-07,4.31571981387217e-07,4.78455670812228e-07,3.38376060354043e-07,3.72185413168138e-07,4.21986974574175e-07,4.35755825848355e-07,3.88639277151872e-07,9.33117196188182e-08,4.88378124935476e-07,3.99216860890719e-07,2.44950862061767e-07,4.79124991491229e-07,3.98993354517611e-07,2.65677535148334e-07,4.47607086425719e-07,3.89306897813558e-07,4.38093809235118e-07,4.69578524661088e-07,3.42449911700396e-07,3.25507512758626e-07,3.9998419553333e-07,4.39916627686037e-07
4.40512469395968e-07,4.41853794348628e-07,4.50478677720938e-07,3.72179938000809e-07,3.58905502081671e-07,2.89374595132596e-07,4.07847002309805e-07,4.72572147992783e-07,1.39982782742334e-07,3.74002709050888e-07,4.67235651478755e-07,2.36414784748058e-07,2.75752868353136e-07,3.56153015485753e-07,3.84766904040239e-07,2.8781500080611e-07,4.54793176742985e-08,4.87173845493925e-07,3.56273209412155e-07,2.68350499935239e-07,4.6839840550843e-07,3.08147561292936e-07,1.79051121122669e-07,4.04329345325303e-07,2.88389205106838e-07,4.528998816087e-07,4.4913515510858e-07,2.11025633151922e-07,1.95472176462549e-07,3.08834954592613e-07,3.88899077428398e-07
4.15827651329011e-07,4.46613141219961e-07,4.29988126419107e-07,3.13983814097312e-07,2.93435362898031e-07,2.19209393569493e-07,3.66959452592032e-07,4.64110848000813e-07,8.50835235153303e-08,3.14592119874015e-07,4.53996807808011e-07,1.40551152381188e-07,1.81283558005662e-07,2.90962827610275e-07,3.29994603964871e-07,1.90046511786878e-07,1.18497070491809e-07,4.85046188266754e-07,3.12874242382131e-07,2.89768772639173e-07,4.55468485742779e-07,2.17783124742605e-07,1.01297073875671e-07,3.54818404736871e-07,1.86476468295002e-07,4.65281800846505e-07,4.25311624610713e-07,1.41398455048766e-07,1.45012965762081e-07,2.12885858051583e-07,3.32077343673718e-07
3.91077623545805e-07,4.51350657738905e-07,4.09321582235439e-07,2.55935094432311e-07,2.2806254098762e-07,1.50074385185973e-07,3.2608100240762e-07,4.55613863595213e-07,3.63287265997055e-08,2.5503464173422e-07,4.40414420829122e-07,5.50004799977414e-08,9.42198332597449e-08,2.26187396079422e-07,2.74793311756705e-07,9.97069970971341e-08,1.91448253435308e-07,4.82776343746391e-07,2.696045326155e-07,3.10668180917865e-07,4.42168768086813e-07,1.31930414192926e-07,3.39362357848482e-08,3.04499085565695e-07,9.36083276336558e-08,4.77157512887304e-07,4.01077737433679e-07,8.29497059463702e-08,1.04281116246759e-07,1.23454967423165e-07,2.74713889241704e-07
3.65488868883095e-07,4.55807392429766e-07,3.86391418930454e-07,1.99782286973193e-07,1.63941413112874e-07,9.41897137229118e-08,2.85319590352782e-07,4.46657906530141e-07,6.66039576772906e-08,1.9358787885911e-07,4.22413382407069e-07,1.02095021284709e-07,1.02406694771517e-07,1.66746557530818e-07,2.14074325965958e-07,1.04918894307642e-07,2.63543215160408e-07,4.78677687331375e-07,2.27997328797583e-07,3.24893958865127e-07,4.2411271274946e-07,1.04107489499199e-07,1.00252775620257e-07,2.43782407148772e-07,1.17071714571821e-07,4.82522391770964e-07,3.71565845738386e-07,1.6827782650011e-07,1.88662513066821e-07,1.17861192173459e-07,2.1038282753592e-07
3.39900114220386e-07,4.60264127120626e-07,3.63461255625469e-07,1.43629479514075e-07,9.98202852381278e-08,3.83050422598509e-08,2.44558178297944e-07,4.3770194946507e-07,9.68791887548756e-08,1.32141115984001e-07,4.04412343985016e-07,1.49189562571678e-07,1.10593556283289e-07,1.07305718982214e-07,1.5335534017521e-07,1.10130791518151e-07,3.35638176885508e-07,4.7457903091636e-07,1.86390124979665e-07,3.3911973681239e-07,4.06056657412106e-07,7.62845648054711e-08,1.66569315455667e-07,1.83065728731849e-07,1.40535101509986e-07,4.87887270654625e-07,3.42053954043093e-07,2.5360594705385e-07,2.73043909886884e-07,1.12267416923752e-07,1.46051765830135e-07
3.13498008562308e-07,4.6434810937153e-07,3.38330451172044e-07,9.38183162137738e-08,7.80536075775844e-08,6.9157137111427e-08,2.05197698477399e-07,4.28677237645428e-07,1.43664657242295e-07,9.0642166962346e-08,3.81900870929799e-07,2.04258058195332e-07,1.57435682665596e-07,7.02929224874265e-08,1.02099099311889e-07,1.57117417333284e-07,3.86620239049244e-07,4.69012920980315e-07,1.49436162398399e-07,3.43797252979769e-07,3.83301861114596e-07,1.15827519740828e-07,2.2516751929038e-07,1.21832260434757e-07,2.01388712856291e-07,4.86065226840348e-07,3.09824916354343e-07,2.87820551490374e-07,3.00912537948877e-07,1.68333470921152e-07,9.9346936367105e-08
2.86831681303705e-07,4.68311000916399e-07,3.12484756185835e-07,4.60672713360646e-08,7.00460089476305e-08,1.28186153550824e-07,1.66292319295173e-07,4.19630190460859e-07,1.95813568300373e-07,5.56233763634567e-08,3.57924158064687e-07,2.61916937293449e-07,2.16835187118264e-07,4.05660003590682e-08,5.39168838377369e-08,2.17674796385576e-07,4.30743658209457e-07,4.62970100595488e-07,1.13993831147481e-07,3.45372963132202e-07,3.5902065264816e-07,1.77254655844731e-07,2.81258378690657e-07,6.04309100670083e-08,2.74388746833543e-07,4.81908471162558e-07,2.76713198657411e-07,3.05430645557117e-07,3.10422678351433e-07,2.44430063842632e-07,5.83680866113559e-08
2.59746448456295e-07,4.72002838654075e-07,2.85500508282697e-07,3.16962857235359e-08,8.64196296584485e-08,1.86192408672246e-07,1.29240698103959e-07,4.10860142567847e-07,2.45324341633271e-07,5.62008456991859e-08,3.31497208450326e-07,3.04527400702712e-07,2.61818185576523e-07,3.3022717761126e-08,4.78644496423105e-08,2.63790540749896e-07,4.59127969677518e-07,4.56530944187332e-07,8.26688064847704e-08,3.40298294463407e-07,3.32288185214747e-07,2.25601429093209e-07,3.22929196665017e-07,4.7448552603103e-08,3.30696526247159e-07,4.74413451807726e-07,2.43721919265037e-07,2.93936830731122e-07,2.88693318443183e-07,3.04648357396664e-07,5.64205867529952e-08
