x,y,z,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30
0,0,0,4.88988096677416e-07,4.32109615896111e-07,4.89046649654781e-07,4.89381312355966e-07,4.89277585250079e-07,4.88752387644289e-07,4.88695534303032e-07,4.89187321198774e-07,4.41805697739573e-07,4.85829489881282e-07,4.90201678610154e-07,4.89356793344021e-07,2.2106940683738e-07,4.89699193647324e-07,4.89377131967338e-07,4.89978283770897e-07,4.22694755377627e-07,4.89202086270919e-07,4.88663104806387e-07,4.74575658567155e-07,4.8996849407202e-07,4.89530551775144e-07,4.81527788376111e-07,4.89624308430475e-07,4.81116298150886e-07,4.86102433236885e-07,4.89857045387504e-07,3.42524288266334e-07,4.89083601126062e-07,4.26697788573466e-07
0,0,0.00355,4.88990859785188e-07,4.32110562486712e-07,4.89053837596683e-07,4.8937831820053e-07,4.89279587851252e-07,4.88755620728693e-07,4.8870869795608e-07,4.89201116004685e-07,4.41777440906112e-07,4.85855401690631e-07,4.90182984265526e-07,4.89367580727428e-07,2.21087965804056e-07,4.89701598663751e-07,4.8941939845396e-07,4.89996279034914e-07,4.22724440672782e-07,4.89229425863395e-07,4.88561386926033e-07,4.74466427670148e-07,4.90008933634053e-07,4.89569312432945e-07,4.81450911901915e-07,4.89644244401051e-07,4.8107552997465e-07,4.86151405992126e-07,4.89925153488733e-07,3.42586574346859e-07,4.89082155273169e-07,4.2640828279004e-07
0,0.00953923591336174,0,4.45264220739102e-07,4.40936560321272e-07,4.54419753099803e-07,3.83390422919604e-07,3.71514648575249e-07,4.74199788649817e-07,3.85438794500729e-07,4.69775130157639e-07,2.54903654868171e-07,3.9530178723442e-07,3.06666507305289e-07,4.87576741286515e-07,2.64209894716259e-07,3.5385696076087e-07,4.13838985755098e-07,3.08025447925779e-07,4.50494262296257e-07,4.53706316841379e-07,2.24523529999009e-07,2.05284383613905e-07,3.27309148944782e-07,3.99822455369262e-07,2.17617283528242e-07,4.64899144187004e-07,2.39460725677378e-07,4.7106725761925e-07,3.44038830689759e-07,3.28100641271195e-07,2.78609928103454e-07,1.15117120314053e-07
0,0.00953923591336174,0.00355,4.45267622860786e-07,4.40938053244019e-07,4.54429162253942e-07,3.83382622530605e-07,3.71510978571901e-07,4.74203221795664e-07,3.85447522068958e-07,4.69794870558296e-07,2.54846033908722e-07,3.95326567361114e-07,3.06617234180644e-07,4.87590377848134e-07,2.64242250364414e-07,3.53837076507901e-07,4.13887935329682e-07,3.0800278316808e-07,4.5053683188683e-07,4.5373918907778e-07,2.24343366562978e-07,2.05093408581943e-07,3.27313794479964e-07,3.99859547785029e-07,2.17447453703016e-07,4.64915900034865e-07,2.39322426484471e-07,4.71132391496625e-07,3.4408141449175e-07,3.28193701710948e-07,2.78522036221882e-07,1.14777521275838e-07
0,0.0207303737973048,0,3.92926224839979e-07,4.51029231427262e-07,4.10982836008607e-07,2.59989515003432e-07,2.32697680461632e-07,4.56262311357592e-07,2.59488626171921e-07,4.41725148214551e-07,5.16208527982236e-08,2.79210336823488e-07,9.93576792442606e-08,4.83075477213172e-07,3.09641526440551e-07,1.93284578311034e-07,3.08934716975018e-07,9.19855539081951e-08,4.76770190513478e-07,4.03237754865384e-07,7.6746479172049e-08,9.8140519916111e-08,1.23957430314002e-07,2.79429741705635e-07,8.86299539359077e-08,4.33462845949312e-07,5.53977146235104e-08,4.39740804749737e-07,1.4990390062108e-07,2.89239929805497e-07,4.6044617285095e-08,2.042461786273e-07
0,0.0207303737973048,0.00355,3.92920952501119e-07,4.51029069029458e-07,4.10968678737509e-07,2.59982367405274e-07,2.32678759571181e-07,4.56257575972611e-07,2.59446159568201e-07,4.41700872522885e-07,5.15853348898543e-08,2.79136785718264e-07,9.93043455313182e-08,4.83068561980789e-07,3.09642348643936e-07,1.93210421833164e-07,3.08823620278196e-07,9.18458178963496e-08,4.76770793737948e-07,4.03175678120907e-07,7.68418424172829e-08,9.82472150092199e-08,1.2375957108658e-07,2.79279683963185e-07,8.87768286877042e-08,4.33428009402818e-07,5.55506695029834e-08,4.39665877732332e-07,1.4963610956386e-07,2.89115612714289e-07,4.58937774942101e-08,2.04427703178112e-07
0,0.0329607816961018,0,3.33623704958933e-07,4.6135615648268e-07,3.57833401202876e-07,1.29872444752561e-07,8.41093332161803e-08,4.35508813541516e-07,1.17081922498031e-07,3.99988158906133e-07,1.6068533159089e-07,1.38468778642376e-07,1.11359121876476e-07,4.73579094343031e-07,3.42584710319629e-07,3.49356257447197e-08,1.68170673734534e-07,1.46234741261973e-07,4.89208195776351e-07,3.34820756106819e-07,2.74467528907136e-07,2.93664167895577e-07,1.10851460736532e-07,1.30270024271869e-07,2.97821617044226e-07,4.01877342766331e-07,2.57963974887553e-07,3.81198521972583e-07,9.17148359375888e-08,2.01295283723529e-07,1.91242855762093e-07,3.02400132704245e-07
0,0.0329607816961018,0.00355,3.33627760200077e-07,4.61357687068501e-07,3.57844123915707e-07,1.29849094119783e-07,8.40861409407756e-08,4.35503070745761e-07,1.17066725717493e-07,4.00008793093089e-07,1.60789026527386e-07,1.38465220918369e-07,1.11458383290685e-07,4.73568980297922e-07,3.42631105933472e-07,3.48802808411388e-08,1.68185234479039e-07,1.46341941551817e-07,4.89197290103425e-07,3.34814476471601e-07,2.74589402218604e-07,2.93804414171502e-07,1.10940177422663e-07,1.30285459206643e-07,2.97962009381124e-07,4.01817177869693e-07,2.58100837417347e-07,3.81185449799628e-07,9.1783593357563e-08,2.01365558743264e-07,1.91357245295937e-07,3.02208397735626e-07
0,0.0453684567642975,0,2.70937563070656e-07,4.70673207923524e-07,2.970840488283e-07,1.76033556492666e-08,6.52599720154585e-08,4.14240384703636e-07,3.4729360968682e-08,3.4364285364111e-07,2.96271838814666e-07,2.51761620151359e-08,2.53752670423497e-07,4.59374266096176e-07,3.46316616125573e-07,1.02880111147771e-07,2.38384197403753e-08,3.17861191357115e-07,4.79444511543528e-07,2.57005282497892e-07,3.15956492900295e-07,3.16130284998805e-07,2.89734574709671e-07,3.38944817303883e-08,3.44239401924246e-07,3.82625213219259e-07,3.19478950921742e-07,3.0039797143186e-07,2.87616759955721e-07,6.44771053279948e-08,2.7656921484523e-07,1.32043955470511e-07
0,0.0453684567642975,0.00355,2.70932676194368e-07,4.70673580283366e-07,2.97070745018488e-07,1.75996551773923e-08,6.528492795653e-08,4.14233588167433e-07,3.47659830241118e-08,3.43619051541117e-07,2.96306255295707e-07,2.52120075236467e-08,2.53796899600994e-07,4.59361338377465e-07,3.46307962070996e-07,1.02935590869156e-07,2.38171921783279e-08,3.179511257309e-07,4.79416508479784e-07,2.56943427672095e-07,3.15900561421428e-07,3.16053606024506e-07,2.89852271403139e-07,3.39843587190832e-08,3.44181718219092e-07,3.82595109347551e-07,3.19439447094354e-07,3.00304128631379e-07,2.8777401341527e-07,6.4333122673993e-08,2.76564066061804e-07,1.31651295368874e-07
