f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15
4.0560275309106e-06-8.80464169268179e-07i,-1.57034840145653e-05-4.90560555046092e-07i,-3.82328116509456e-06-1.90624569051004e-06i,-8.99192964630094e-06+1.8308369063179e-06i,2.00732001728923e-05+5.18825338726091e-07i,1.09992941506643e-06-7.52891540377719e-07i,-1.15056413488609e-05-7.65843580086758e-08i,9.5208742944358e-07+1.09799155934995e-06i,-9.74227494912394e-06+1.2306001011031e-06i,5.41181298603305e-06+6.29119823478589e-06i,1.66818638460691e-05-6.05195773125404e-07i,-4.362559423851e-08-1.24610754065426e-06i,-1.18373848232821e-06-1.05129313646675e-06i,-8.41208546758643e-06-7.65970732923024e-08i,-5.78049996686539e-08+4.1745739668026e-07i
6.74505767072006e-06-7.54810581313631e-07i,-2.67028054839434e-05-4.00342480960971e-07i,-4.53502708453867e-06+1.35468738135078e-07i,-1.29969532481686e-05+1.3846904527343e-06i,3.18473949950304e-05+5.64938553536216e-07i,-2.62658927066818e-06-7.30150766818857e-06i,-1.63972181255777e-05-7.20115880318661e-07i,1.61798938571518e-06+4.25847052926768e-07i,-1.26806551480533e-05+2.17844698046149e-06i,2.68710193978452e-06+5.10151076759865e-06i,2.06799142517627e-05+3.34336533199516e-07i,-3.37885928299038e-07-1.58518562451646e-06i,-7.26225429000864e-06-4.51014113157669e-07i,-3.80618963750568e-06+3.26522366927722e-07i,4.09184525561621e-08+5.44973297486135e-07i
7.94742753160068e-06-7.58061623198023e-07i,-2.81141857399206e-05-5.16886890422561e-07i,-1.90023405341929e-05-2.27764034705349e-07i,-7.24921825572939e-06+7.4241304909218e-06i,3.6613858681073e-05+8.2914416676291e-07i,-2.06932967474697e-05+2.08381332892334e-08i,3.55913615311882e-06+6.79443558566415e-07i,1.32079247138167e-06+2.03426027186128e-07i,-1.54856546019869e-05+1.72773322987013e-06i,1.36558228106715e-05+1.35630626312659e-05i,2.84561522429646e-05-1.45998001815047e-06i,-1.53880374229298e-05-2.98521992604982e-07i,-5.26532935570272e-08+6.33835579550996e-07i,-1.03134097315465e-07+3.90475915051906e-07i,4.44886257748065e-06+8.42153162516526e-08i
7.66325216453019e-06-9.87604569818814e-07i,-3.05801312038804e-05-7.14749353777526e-07i,-1.38411277097846e-05+1.21632051899111e-06i,-5.37616625298925e-06+2.88000365544889e-06i,3.55308666914897e-05+7.71432033393309e-07i,3.04784006000897e-06-9.7403994814626e-07i,-2.07040511946155e-05-2.7659639515453e-07i,2.55152648654393e-06-2.07059877154994e-07i,-1.86169804850981e-05+8.67686766997276e-07i,3.01980793786864e-05+5.26152715455073e-07i,5.83297868318996e-06-8.68576597947045e-07i,-1.77408685040197e-05-3.57838534997918e-07i,-6.26058667652931e-06+8.14424232094101e-06i,-3.4740895405928e-07+4.11629105658469e-07i,-1.03533189242881e-06+1.03245419586361e-06i
6.7899345189793e-06-1.59424654215648e-06i,-2.78275188785093e-05-6.88203377451162e-07i,-4.66858394906896e-06+2.91089633198226e-07i,1.68705302955748e-05-3.37962262113906e-07i,-1.45564111015798e-05-4.06132876619878e-07i,1.62967664900719e-05+9.72941819010307e-08i,1.84133520503929e-06-9.80581910492742e-07i,-1.36605862835025e-05-1.9592488798968e-07i,-2.45735128806579e-06+1.72578515501488e-07i,-7.82991419606848e-07+3.58722081095762e-07i,3.95321380319423e-06+1.61115545418228e-07i,-1.09284197949176e-05+4.9783486251345e-06i,1.36729013053642e-05+4.25417165576809e-06i,3.80997534816206e-06-4.3170123045173e-07i,-2.2492424191993e-08-4.60999941398236e-07i
4.52104312382529e-06-8.32165420856301e-07i,-1.61005673947429e-05-5.06704675696239e-07i,-3.3245503564022e-06-1.02169599857015e-06i,-1.06545295988683e-05+1.54165952402459e-06i,2.08562017995682e-05+6.0969252806951e-07i,1.69261380837931e-06-1.43412617932127e-06i,-1.17961169621895e-05-2.82469449907925e-07i,7.7576718744408e-07+6.10996893357991e-07i,-8.82954515426791e-06+1.64960667665371e-06i,3.14067394122359e-06+3.87938383864481e-06i,1.52402756848886e-05+8.74058658579613e-08i,-7.71511052652701e-08-1.20038472229397e-06i,-5.57604743274041e-06-1.04144379281908e-06i,-3.69566361582087e-06+1.05770194225575e-06i,2.99377383709317e-08+5.79545507894858e-07i
5.25175038895857e-06-9.29510507498323e-07i,-2.22342350293524e-05-4.7526981339859e-07i,-9.08242303899184e-06+3.01468123049543e-07i,-4.14880030982037e-06+2.83381540171463e-06i,2.59754368267907e-05+5.29723411212512e-07i,9.37442255952942e-07-8.77665478096413e-07i,-1.43281886772208e-05-7.50322581956578e-08i,1.94212152875931e-06+7.58185116735734e-07i,-1.28259797304695e-05+9.58669295711225e-07i,2.0169599204553e-05+7.1591203233366e-07i,3.85823767480779e-06-1.1344594175072e-06i,-3.0036823191271e-07-1.18358616500799e-06i,-7.57772497957765e-06-4.31832620420901e-07i,-3.93744568628695e-06+3.24640558117759e-07i,8.01181219957238e-08+8.22088542111839e-07i
3.33468619377739e-06-9.0266356876687e-07i,-1.35080625889505e-05-4.67439547754954e-07i,-2.37867588307398e-06+1.63939266127098e-07i,-6.53767731832443e-06+1.28110446921554e-06i,1.67717562856484e-05+5.20227816431414e-07i,2.86230680886294e-07-7.17592747349188e-07i,-8.88016449063434e-06+6.94670307281945e-08i,3.82182473199435e-07+2.06927018953356e-06i,-2.91770701374722e-06-2.55491458000736e-06i,-5.88275204775045e-06-9.01352461095841e-08i,1.17969226172817e-05+3.05656746219027e-07i,1.0013096127332e-05-3.90518398566283e-06i,-4.88580016003088e-08-9.27261287652822e-07i,-6.44379141385639e-06-1.55602743361971e-07i,-3.22266179982213e-08+3.30234706853233e-07i
3.70066675699715e-06-7.45639289552488e-07i,-1.61185736344456e-05-3.55868549139346e-07i,-6.04213750388537e-06+5.18636540617756e-08i,-3.10000102163411e-06+2.31409028806984e-06i,1.81457903332575e-05+3.73229353378947e-07i,3.51213389450385e-07-4.85847940161246e-07i,-9.45189337038633e-06+6.99472481691227e-08i,1.23388231144085e-06+1.19739820691816e-06i,-8.28349511526123e-06+7.09608947605801e-07i,1.25565348090407e-05+6.37225611908987e-07i,2.68998513081751e-06-1.2273652751281e-06i,-1.25911671881784e-07-8.54977081899097e-07i,-1.17196434608236e-06-5.63531770574833e-07i,-5.62576274493715e-06-3.24105102690051e-08i,-6.37707593853217e-08+3.02447948862675e-07i
5.88612427595041e-06-1.16119736198581e-06i,-2.35937769887531e-05-6.01473064366303e-07i,-3.89560123197817e-06+4.18619842177618e-07i,2.04133535296713e-05-2.95652770175891e-06i,-1.12342168319382e-05-5.16223452482669e-06i,7.09220968845098e-06-2.72244206996518e-07i,1.38651755543067e-06-1.00322667835169e-06i,-1.22594912597608e-05-2.38172388012977e-07i,-7.52431504309116e-07+5.5204383729546e-07i,2.99461741090871e-06+1.50087301871156e-07i,-7.38342351619413e-07-1.76935074698557e-07i,-6.07122847044498e-06+6.23826871377221e-06i,1.07109766855867e-05+4.59585093798056e-06i,1.8741390943639e-08-5.09396777053479e-07i,-3.87590828235921e-06+5.46449108792795e-07i
4.55990238099404e-06-8.79327947155405e-07i,-1.70555588809802e-05-4.93606987418065e-07i,-3.08792962943923e-06+2.8412694701523e-07i,-1.10466916129891e-05+1.26733401225376e-06i,2.36728816187353e-05+6.13870900591796e-07i,1.02454449455853e-06-8.69479302508051e-07i,-8.47320014834723e-06-6.55329931923956e-06i,-1.30334448628113e-05-6.4601828160847e-07i,4.17627693452616e-06+5.37183405256779e-08i,-7.46045416341272e-08-2.76062424611205e-07i,-2.42507058237033e-06-2.48934255755814e-07i,-8.63120764736212e-06+1.84135967510966e-06i,1.88238733327315e-05+6.72970579398736e-07i,-1.15635034607205e-05-2.31885011534632e-07i,-1.90100162392226e-07+8.54319786338881e-07i
3.16403963385775e-06-7.54587303865404e-07i,-1.16131786278265e-05-4.23769897695735e-07i,-2.1200346830199e-06+4.60155553276958e-07i,-7.72712983681476e-06+1.52070378289357e-06i,1.59925251843853e-05+7.60493299413326e-07i,-9.75057342974255e-06+6.54100735421864e-08i,1.35009340748793e-06+1.21771124865953e-06i,6.02269991407039e-07+3.098257545592e-07i,2.70203256998258e-06+4.15465149464622e-08i,-8.30004899830201e-06+1.61063236183636e-06i,1.46696911526112e-05+7.57193166467038e-07i,3.01451753537868e-08-1.54417537502706e-06i,-1.18118086201098e-06-1.59924060535595e-06i,-8.08247728401633e-06-1.1938256086062e-07i,-2.97532746557832e-08+3.89168419621886e-07i
