f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15
3.20140488305173e-06-9.57768036391691e-07i,-1.37436427957542e-05-5.46754311876274e-07i,-8.44864384888709e-06+5.55203984395965e-07i,-2.42768311482376e-06+3.33598493385265e-06i,1.6035920571579e-05+5.90667851262332e-07i,7.16938804655762e-07-1.22756679294299e-06i,-7.03910215610391e-06-2.34421113241659e-07i,3.06735798105823e-07+7.20032804795222e-07i,-3.57764575550656e-06+9.55068186376659e-07i,5.79655676644726e-06+6.53343513110924e-07i,1.36826275927361e-06-9.05769988267126e-07i,-2.44366344800178e-06-1.22507693984841e-06i,-2.83087348721772e-06-2.25548048331451e-07i,-2.07876169689925e-07+4.19364266411645e-07i,6.67552546695396e-07+8.6016255136424e-08i
3.20390911237968e-06-9.42274648758599e-07i,-1.37371840631046e-05-5.43178784411734e-07i,-8.39884962656732e-06+6.10733783629442e-07i,-2.31178695106743e-06+3.17345710995801e-06i,1.60262461157857e-05+5.9520871082936e-07i,6.67332863993434e-07-1.36779560322318e-06i,-7.02022165246214e-06-2.56528397292413e-07i,3.23083263226465e-07+6.52337145127627e-07i,-3.57917404486911e-06+9.50428212770469e-07i,5.79219775255976e-06+6.3996387841121e-07i,1.33580542511108e-06-8.70473064337123e-07i,-2.84842699175866e-06-2.50228658778172e-07i,-2.51219116445705e-06+6.98561619265617e-07i,-1.6705919254596e-07+3.80314159479278e-07i,6.63317160633293e-07+8.17538179139581e-08i
3.20626331464939e-06-9.27848105892173e-07i,-1.3732188004435e-05-5.39894346224057e-07i,-8.35365500144653e-06+6.60868905268637e-07i,-2.22232881612142e-06+3.04179112006817e-06i,1.6017717544617e-05+6.00285341671889e-07i,5.90200731376929e-07-1.55324582030866e-06i,-6.99795663213883e-06-2.83249415180573e-07i,3.36078516865891e-07+5.94015701619712e-07i,-3.58060846712361e-06+9.45768670884691e-07i,5.78822506447225e-06+6.27819665178882e-07i,1.30626636056534e-06-8.40417514395393e-07i,-2.84159544971597e-06-2.55017539756761e-07i,-1.27530354482478e-06+1.20924100882874e-06i,-1.37176293172041e-07+3.48781223116694e-07i,6.58812742046632e-07+7.83079199117349e-08i
3.20848269506129e-06-9.14354263883481e-07i,-1.37287416904447e-05-5.37770248585761e-07i,-8.31121176134626e-06+7.05839931578841e-07i,-2.15129254572973e-06+2.93494392459867e-06i,1.60101852695763e-05+6.05168295709869e-07i,4.64423196424601e-07-1.8042786659841e-06i,-6.96975569519687e-06-3.17648081204657e-07i,3.46663381403863e-07+5.42981825993984e-07i,-3.58195248372333e-06+9.41171674567033e-07i,5.78449650803152e-06+6.16878344509592e-07i,1.27908551140743e-06-8.14852449794767e-07i,-2.840654421342e-06-2.50888356047091e-07i,-6.58363667664767e-07+1.00284425401655e-06i,-1.1461302034836e-07+3.23228851619771e-07i,6.53981531130581e-07+7.52925066588474e-08i
3.21058024348546e-06-9.0171808619748e-07i,-1.37269390857129e-05-5.35386566989779e-07i,-8.27029358140899e-06+7.48045085255937e-07i,-2.09341664914059e-06+2.84834611384302e-06i,1.60035209451266e-05+6.10445236589246e-07i,2.43876140754489e-07-2.15339388925612e-06i,-6.92998218657399e-06-3.63391293144109e-07i,3.55480450578254e-07+4.97652795201101e-07i,-3.58320951829622e-06+9.36562286772753e-07i,5.78090080910796e-06+6.06941359657026e-07i,1.25382721668998e-06-7.93205537247513e-07i,-2.84230887728932e-06-2.47851957638595e-07i,-3.93056531182153e-07+7.9164604518333e-07i,-9.71060387503663e-08+3.02431437607045e-07i,6.48873514023588e-07+7.25149687604345e-08i
3.21256721354673e-06-8.89879955828367e-07i,-1.37268815490422e-05-5.3379698659213e-07i,-8.23003865037446e-06+7.87137285119411e-07i,-2.04514387403458e-06+2.77850462288132e-06i,1.59976141516631e-05+6.1591105933465e-07i,-1.84133736799474e-07-2.64651391540106e-06i,-6.8648031480215e-06-4.26599796704578e-07i,3.62976391671738e-07+4.56843605216981e-07i,-3.58438081579759e-06+9.31939493560114e-07i,5.77734820116906e-06+5.97741238452799e-07i,1.2301482956226e-06-7.74999328758976e-07i,-2.84403641830517e-06-2.46433215664393e-07i,-2.63315866668315e-07+6.40130515093128e-07i,-8.31862092982562e-08+2.8544583349143e-07i,6.43549970646114e-07+7.0005707095578e-08i
3.21445343613369e-06-8.7873370504375e-07i,-1.37286791529448e-05-5.33061224110733e-07i,-8.18982327971942e-06+8.24653095717308e-07i,-2.00399504491871e-06+2.72282123168258e-06i,1.59923689824805e-05+6.22002368378469e-07i,-1.12765184147396e-06-3.29167604345813e-06i,-6.73637160318093e-06-5.07865405481875e-07i,3.69467577207785e-07+4.19562227897078e-07i,-3.58546675857727e-06+9.27221053723803e-07i,5.77376287508394e-06+5.8925220696687e-07i,1.2077725302491e-06-7.59864121127317e-07i,-2.84517486238769e-06-2.4625892859568e-07i,-1.91577276724463e-07+5.33465744112735e-07i,-7.18694157654958e-08+2.71550360022701e-07i,6.38045733274857e-07+6.72775587657278e-08i
3.21624745766244e-06-8.68225267938812e-07i,-1.37324518608771e-05-5.3227186934393e-07i,-8.14916963214491e-06+8.60334834793824e-07i,-1.96821210021284e-06+2.67906479830952e-06i,1.59877020873487e-05+6.27682901969703e-07i,-3.35546576183927e-06-3.53853156443567e-06i,-6.45018539952723e-06-5.40060973697256e-07i,3.75177028361716e-07+3.85012621329736e-07i,-3.58646598444767e-06+9.22319964022125e-07i,5.77007996254938e-06+5.81368589599119e-07i,1.18647498660886e-06-7.4746820282285e-07i,-2.84562100761247e-06-2.46951969587175e-07i,-1.47976347331367e-07+4.56552074921447e-07i,-6.24750178449128e-08+2.60196185929843e-07i,6.3239254303823e-07+6.46874968161989e-08i
3.21795676127594e-06-8.58331309971125e-07i,-1.37383304044641e-05-5.31916478370914e-07i,-8.10769787525606e-06+8.95461761435008e-07i,-1.93649299531066e-06+2.64580003839388e-06i,1.59835397131287e-05+6.33997293047938e-07i,-6.08209178699029e-06-4.86957209430499e-07i,-6.10362405096088e-06-1.65997958960202e-07i,3.80259381284603e-07+3.52517091715663e-07i,-3.58737373813815e-06+9.17298112561599e-07i,5.76624172786425e-06+5.74006750906394e-07i,1.16606719251002e-06-7.37574366941228e-07i,-2.8454207108588e-06-2.48335961957164e-07i,-1.19490502152889e-07+3.9950372839195e-07i,-5.45192261475216e-08+2.50963142478279e-07i,6.266057612428e-07+6.23981115025296e-08i
3.21958806743654e-06-8.48956666724656e-07i,-1.37464579238645e-05-5.32313758100027e-07i,-8.06508905591054e-06+9.30404132397541e-07i,-1.90787556032039e-06+2.62161741456111e-06i,1.59798169010106e-05+6.40535068950224e-07i,-6.36350843749477e-06+2.74638714947478e-07i,-3.86945380185649e-06+3.12484078394344e-06i,3.84815553116521e-07+3.21488563111915e-07i,-3.58818421709524e-06+9.12056058847034e-07i,5.76219503034566e-06+5.67102316443368e-07i,1.14638930804509e-06-7.29977297172132e-07i,-2.84465119238423e-06-2.5022696746715e-07i,-9.97951545727331e-08+3.56114059897005e-07i,-4.76484161110518e-08+2.43528641302834e-07i,6.2066950563133e-07+5.96725119848573e-08i
