err [%],used f1,used f2,used f3,Mech params
4.06341760967559,f12,f31,f33,positive MP
4.08796390566132,f12,f30,f33,positive MP
4.10083637308597,f12,f30,f31,positive MP
4.10159812860241,f21,f31,f33,positive MP
4.120615188501,f12,f21,f31,positive MP
4.16392674802387,f22,f30,f31,positive MP
4.1688195094649,f12,f21,f30,positive MP
4.17718587614521,f21,f30,f33,positive MP
4.18081849221845,f12,f22,f30,positive MP
4.19131542736082,f20,f21,f31,positive MP
4.19514472060141,f20,f22,f31,positive MP
4.20497879360524,f30,f31,f33,positive MP
4.2070067035147,f21,f22,f31,positive MP
4.2175349242046,f20,f21,f22,positive MP
4.21930745556838,f12,f22,f31,positive MP
4.22826489893311,f20,f31,f33,positive MP
4.27597001006332,f12,f30,f32,positive MP
4.28000481312186,f12,f31,f32,positive MP
4.30100206456276,f22,f31,f32,positive MP
4.316797600719,f21,f22,f30,positive MP
4.31743360622318,f22,f30,f32,positive MP
4.33142523287746,f02,f12,f22,positive MP
4.34178546462566,f12,f21,f33,positive MP
4.35999572089047,f20,f22,f30,positive MP
4.37133647972372,f02,f22,f32,positive MP
4.3847239075397,f20,f12,f33,positive MP
4.38606323503828,f02,f12,f32,positive MP
4.38638874011633,f20,f12,f21,positive MP
4.39313877667928,f12,f22,f32,positive MP
4.39374276262819,f20,f30,f33,positive MP
4.40046166460078,f20,f21,f30,positive MP
4.40202924965384,f11,f21,f30,positive MP
4.41118917618439,f02,f20,f12,positive MP
4.4115411928987,f02,f22,f30,positive MP
4.41448843022374,f11,f12,f21,positive MP
4.42656875965114,f11,f21,f31,positive MP
4.43134225518035,f02,f30,f32,positive MP
4.43194728184004,f11,f12,f30,positive MP
4.43968444031605,f02,f20,f21,positive MP
4.44660289760994,f02,f21,f33,positive MP
4.44731945618126,f02,f20,f33,positive MP
4.4494031000714,f02,f12,f21,positive MP
4.45467497251747,f11,f30,f31,positive MP
4.46184301852525,f02,f20,f22,positive MP
4.52518444776407,f02,f12,f30,positive MP
4.53422229647919,f02,f12,f33,positive MP
4.53887010600498,f20,f21,f33,positive MP
4.57115503384831,f11,f12,f33,positive MP
4.57415059570977,f30,f31,f32,positive MP
4.60619253506041,f11,f12,f31,positive MP
4.65144312651949,f11,f20,f31,positive MP
4.66788815032154,f11,f20,f12,positive MP
4.72651290272594,f11,f20,f30,positive MP
4.73228216763243,f11,f31,f33,positive MP
4.7340749275105,f20,f12,f31,positive MP
4.74293554640334,f02,f22,f31,positive MP
4.76066069844484,f02,f21,f22,positive MP
4.77000234687725,f02,f30,f33,positive MP
4.78750780544724,f21,f30,f31,positive MP
