err [%],used f1,used f2,used f3,used f4,used f5,used f6,used f7,used f8,Mech params
3.95688094871248,f11,f02,f12,f21,f30,f31,f24,f33,positive MP
3.95911131873168,f11,f02,f12,f21,f22,f30,f24,f33,positive MP
3.9621330096157,f11,f02,f12,f21,f31,f32,f24,f33,positive MP
3.96423408539253,f11,f02,f12,f21,f22,f31,f24,f33,positive MP
3.96577554399043,f11,f02,f21,f22,f30,f31,f24,f33,positive MP
3.96875342293833,f11,f02,f12,f21,f30,f32,f24,f33,positive MP
3.97032420941395,f11,f02,f21,f30,f31,f32,f24,f33,positive MP
3.97515947551872,f11,f02,f21,f22,f31,f32,f24,f33,positive MP
3.97622568898418,f11,f02,f12,f21,f22,f30,f31,f24,positive MP
3.97901899015922,f11,f02,f12,f21,f22,f32,f24,f33,positive MP
3.98231659120105,f11,f02,f21,f22,f30,f32,f24,f33,positive MP
3.9880294206062,f11,f02,f20,f12,f21,f31,f32,f24,positive MP
3.98962514226757,f11,f02,f20,f12,f21,f30,f32,f24,positive MP
3.99006436584429,f11,f02,f20,f12,f30,f31,f32,f24,positive MP
3.99389874688552,f11,f02,f20,f21,f30,f31,f32,f24,positive MP
3.99667500258571,f11,f02,f20,f12,f22,f31,f32,f24,positive MP
3.99770874467119,f11,f02,f20,f12,f31,f32,f24,f33,positive MP
3.9988600080087,f11,f02,f20,f12,f22,f30,f32,f24,positive MP
4.0017313535846,f11,f02,f20,f12,f30,f32,f24,f33,positive MP
4.00256713704935,f11,f02,f12,f21,f30,f31,f32,f24,positive MP
4.00259335389688,f11,f02,f20,f21,f22,f31,f32,f24,positive MP
4.00286929923848,f11,f02,f20,f21,f22,f30,f32,f24,positive MP
4.00302232799836,f11,f02,f20,f12,f21,f22,f32,f24,positive MP
4.00451157546848,f11,f02,f20,f21,f31,f32,f24,f33,positive MP
4.00520358964002,f11,f02,f20,f22,f30,f31,f32,f24,positive MP
4.00622866278346,f11,f02,f20,f21,f30,f32,f24,f33,positive MP
4.00648169564168,f11,f02,f20,f30,f31,f32,f24,f33,positive MP
4.00651299463524,f11,f02,f20,f12,f21,f32,f24,f33,positive MP
4.00783363741922,f11,f02,f20,f12,f21,f30,f31,f24,positive MP
4.01209345841489,f11,f02,f21,f22,f30,f31,f32,f24,positive MP
4.01345171147279,f11,f02,f20,f12,f22,f32,f24,f33,positive MP
4.01383918398698,f11,f02,f20,f22,f31,f32,f24,f33,positive MP
4.01451034244012,f11,f02,f20,f12,f22,f30,f31,f24,positive MP
4.01537939024347,f11,f02,f20,f12,f30,f31,f24,f33,positive MP
4.0165466446636,f11,f02,f20,f22,f30,f32,f24,f33,positive MP
4.02054380583615,f11,f02,f20,f21,f22,f32,f24,f33,positive MP
4.02136615525652,f11,f02,f20,f21,f22,f30,f31,f24,positive MP
4.02143857820232,f11,f02,f20,f12,f21,f22,f31,f24,positive MP
4.02282708796786,f11,f02,f20,f21,f30,f31,f24,f33,positive MP
4.02405510152087,f11,f02,f20,f12,f21,f22,f30,f24,positive MP
4.02593871392801,f11,f02,f12,f21,f22,f31,f32,f24,positive MP
4.02725642464435,f11,f02,f20,f12,f21,f30,f24,f33,positive MP
4.02791393597623,f11,f02,f20,f12,f22,f31,f24,f33,positive MP
4.03144989969632,f11,f02,f20,f22,f30,f31,f24,f33,positive MP
4.03177675223988,f11,f02,f20,f12,f21,f31,f24,f33,positive MP
4.03294040291595,f11,f02,f20,f12,f22,f30,f24,f33,positive MP
4.03550037784893,f11,f02,f12,f21,f22,f30,f32,f24,positive MP
4.03779901556238,f11,f02,f20,f21,f22,f31,f24,f33,positive MP
4.0388183019136,f11,f02,f21,f22,f23,f30,f31,f33,positive MP
4.04050844875681,f11,f02,f20,f21,f22,f30,f24,f33,positive MP
4.04146195272329,f11,f02,f20,f12,f21,f23,f30,f31,positive MP
4.04377515076882,f11,f02,f20,f12,f21,f22,f23,f31,positive MP
4.04591092059005,f11,f02,f12,f21,f23,f30,f31,f33,positive MP
4.0460290520435,f11,f02,f21,f22,f23,f30,f32,f33,positive MP
4.04650610150362,f11,f02,f12,f21,f22,f23,f30,f33,positive MP
4.04922211015048,f11,f02,f20,f12,f21,f22,f23,f30,positive MP
4.04946411482103,f11,f02,f12,f21,f23,f30,f32,f33,positive MP
4.05021545022299,f11,f02,f21,f23,f30,f31,f32,f33,positive MP
4.05097686283609,f11,f02,f20,f12,f21,f23,f31,f32,positive MP
4.05256247803048,f11,f02,f20,f12,f21,f22,f23,f32,positive MP
4.05442062474539,f11,f02,f20,f12,f21,f23,f32,f33,positive MP
4.05564236127382,f11,f02,f20,f12,f21,f23,f30,f32,positive MP
4.05580232210653,f11,f02,f20,f12,f21,f23,f31,f33,positive MP
4.05812878046683,f11,f02,f20,f21,f23,f30,f31,f33,positive MP
4.05849494956286,f11,f02,f20,f12,f23,f30,f31,f33,positive MP
4.05987562407453,f11,f02,f21,f22,f23,f31,f32,f33,positive MP
4.06267016178075,f11,f02,f20,f12,f23,f31,f32,f33,positive MP
4.06315843391577,f11,f02,f20,f12,f21,f23,f30,f33,positive MP
4.06447208524644,f11,f02,f20,f12,f22,f23,f32,f33,positive MP
4.06463717983831,f11,f02,f20,f12,f21,f22,f24,f33,positive MP
4.06489729642467,f11,f02,f20,f12,f22,f23,f31,f33,positive MP
4.06703892410469,f11,f02,f12,f21,f23,f31,f32,f33,positive MP
4.06747542406169,f11,f02,f20,f21,f22,f23,f31,f33,positive MP
4.06869626284706,f11,f02,f20,f21,f23,f31,f32,f33,positive MP
4.0696185665031,f11,f02,f12,f21,f22,f23,f31,f33,positive MP
4.07017599074958,f11,f02,f20,f21,f22,f23,f32,f33,positive MP
4.07104042685717,f11,f02,f20,f12,f23,f30,f32,f33,positive MP
4.071978732333,f11,f02,f20,f21,f23,f30,f32,f33,positive MP
4.07271175387298,f11,f02,f20,f12,f22,f23,f30,f33,positive MP
4.07338879074846,f11,f02,f20,f21,f22,f23,f30,f33,positive MP
4.07724491802449,f11,f02,f12,f21,f22,f23,f32,f33,positive MP
4.0815901966287,f11,f02,f20,f12,f21,f22,f23,f33,positive MP
4.08812847461761,f11,f02,f20,f21,f22,f23,f30,f31,positive MP
4.08877529737877,f11,f02,f20,f12,f22,f23,f30,f31,positive MP
4.09239359163902,f11,f02,f20,f12,f22,f23,f31,f32,positive MP
4.09501798774891,f11,f02,f20,f21,f22,f23,f31,f32,positive MP
4.09752193251052,f11,f02,f20,f22,f23,f30,f31,f33,positive MP
4.09826342338782,f11,f02,f20,f21,f22,f23,f30,f32,positive MP
4.09949822430832,f11,f02,f20,f12,f22,f23,f30,f32,positive MP
4.10238897853853,f11,f02,f20,f22,f23,f31,f32,f33,positive MP
4.10918005994262,f11,f02,f20,f22,f23,f30,f32,f33,positive MP
4.11179695248945,f11,f02,f20,f12,f23,f30,f31,f32,positive MP
4.11234208345575,f11,f02,f20,f21,f23,f30,f31,f32,positive MP
4.11687551370687,f11,f02,f12,f22,f30,f31,f24,f33,positive MP
4.12043362089674,f11,f02,f20,f23,f30,f31,f32,f33,positive MP
4.12777228347438,f20,f12,f21,f22,f30,f31,f32,f33,positive MP
4.14004176392986,f11,f02,f12,f30,f31,f32,f24,f33,positive MP
4.14466309262729,f11,f02,f20,f12,f22,f23,f24,f33,positive MP
4.14653605622066,f11,f02,f22,f30,f31,f32,f24,f33,positive MP
4.14732629571046,f11,f02,f20,f12,f21,f23,f24,f33,positive MP
4.1484824985333,f11,f02,f20,f22,f23,f30,f31,f32,positive MP
4.16709994014671,f11,f02,f20,f12,f21,f22,f23,f24,positive MP
4.18118667195905,f11,f20,f12,f22,f30,f31,f32,f33,positive MP
4.19086946756127,f11,f20,f12,f21,f22,f30,f31,f32,positive MP
4.19451559852056,f11,f02,f20,f12,f23,f31,f24,f33,positive MP
4.19515955755302,f11,f20,f12,f21,f30,f31,f32,f33,positive MP
4.19854161224743,f11,f02,f12,f22,f30,f32,f24,f33,positive MP
4.20965597615304,f11,f20,f12,f21,f22,f31,f32,f33,positive MP
4.22115343803235,f11,f02,f20,f12,f21,f23,f31,f24,positive MP
4.2265182758142,f11,f02,f20,f12,f23,f32,f24,f33,positive MP
4.23033249057364,f11,f02,f20,f21,f22,f23,f24,f33,positive MP
4.23638093945109,f11,f02,f21,f22,f23,f30,f31,f32,positive MP
4.23897885673985,f11,f02,f20,f12,f23,f30,f24,f33,positive MP
4.24206235101438,f11,f02,f20,f12,f21,f23,f32,f24,positive MP
4.24229983303243,f11,f02,f20,f12,f22,f23,f31,f24,positive MP
4.25068849142873,f11,f20,f12,f21,f22,f30,f32,f33,positive MP
4.2558302535077,f11,f02,f12,f22,f31,f32,f24,f33,positive MP
4.25962055658043,f11,f02,f12,f21,f23,f30,f31,f32,positive MP
4.26102547831535,f11,f02,f20,f12,f21,f23,f30,f24,positive MP
4.26579112345344,f11,f02,f12,f21,f22,f23,f30,f32,positive MP
4.26666306298484,f11,f02,f20,f12,f22,f23,f32,f24,positive MP
4.27375621146728,f11,f02,f20,f22,f23,f31,f24,f33,positive MP
4.28527531016321,f11,f02,f20,f12,f22,f23,f30,f24,positive MP
4.28717986874858,f11,f02,f20,f21,f23,f31,f24,f33,positive MP
4.29160457737932,f11,f12,f21,f22,f30,f31,f32,f33,positive MP
4.30053594335649,f11,f02,f12,f21,f22,f23,f31,f32,positive MP
4.3035409578602,f11,f02,f12,f22,f30,f31,f32,f24,positive MP
4.30358241912335,f11,f20,f21,f22,f30,f31,f32,f33,positive MP
4.30624252200713,f11,f02,f20,f21,f22,f23,f31,f24,positive MP
4.30655347126882,f02,f20,f12,f21,f30,f31,f32,f33,positive MP
4.30825193345151,f11,f02,f20,f22,f23,f32,f24,f33,positive MP
4.3097779932967,f11,f02,f12,f21,f22,f23,f30,f31,positive MP
4.31583047672737,f11,f02,f20,f21,f23,f32,f24,f33,positive MP
4.31893308208746,f11,f02,f20,f22,f23,f30,f24,f33,positive MP
4.32150047401135,f02,f20,f12,f21,f22,f30,f31,f32,positive MP
4.32554436610675,f11,f02,f20,f12,f23,f31,f32,f24,positive MP
4.327131241913,f11,f02,f20,f21,f23,f30,f24,f33,positive MP
4.33075999375776,f11,f02,f20,f21,f22,f23,f32,f24,positive MP
4.33251255113274,f11,f02,f21,f22,f23,f31,f24,f33,positive MP
4.33374856850281,f02,f20,f21,f22,f30,f31,f32,f33,positive MP
4.33612946820964,f02,f20,f12,f21,f22,f30,f31,f33,positive MP
4.34595816266221,f11,f20,f12,f21,f22,f30,f31,f33,positive MP
4.34677362131619,f11,f02,f20,f21,f22,f23,f30,f24,positive MP
4.34974182808987,f02,f20,f12,f21,f22,f31,f32,f33,positive MP
4.35425440258992,f02,f20,f12,f22,f30,f31,f32,f33,positive MP
4.35629755015213,f02,f12,f21,f22,f30,f31,f32,f33,positive MP
4.36378489156063,f11,f02,f20,f12,f23,f30,f31,f24,positive MP
4.37428087448617,f02,f20,f12,f21,f22,f30,f32,f33,positive MP
4.38276625300123,f11,f02,f20,f23,f31,f32,f24,f33,positive MP
4.38912398882101,f11,f02,f20,f12,f23,f30,f32,f24,positive MP
4.39429588005928,f11,f02,f20,f23,f30,f31,f24,f33,positive MP
4.39962913326527,f11,f02,f20,f22,f23,f31,f32,f24,positive MP
4.41047564092793,f11,f02,f20,f21,f23,f31,f32,f24,positive MP
4.4168881020908,f11,f02,f20,f22,f23,f30,f31,f24,positive MP
4.42378535723278,f11,f02,f20,f23,f30,f32,f24,f33,positive MP
4.42884772248733,f11,f02,f20,f21,f23,f30,f31,f24,positive MP
4.4354047217948,f11,f02,f21,f23,f31,f32,f24,f33,positive MP
4.43940890946068,f11,f02,f20,f22,f23,f30,f32,f24,positive MP
4.44489613272467,f11,f02,f20,f12,f22,f30,f31,f32,positive MP
4.44647152981666,f11,f02,f21,f22,f23,f32,f24,f33,positive MP
4.44857040548098,f11,f02,f21,f22,f23,f30,f24,f33,positive MP
4.44945231075856,f11,f02,f20,f21,f23,f30,f32,f24,positive MP
4.46052216595588,f11,f02,f12,f21,f23,f31,f24,f33,positive MP
4.46314451156227,f11,f02,f21,f23,f30,f31,f24,f33,positive MP
4.4691883661789,f11,f02,f20,f12,f22,f31,f32,f33,positive MP
4.49425426334671,f11,f02,f20,f12,f21,f22,f31,f32,positive MP
4.49943530896054,f11,f02,f12,f21,f22,f30,f31,f32,positive MP
4.50258307369365,f11,f02,f12,f21,f22,f31,f32,f33,positive MP
4.51765102160484,f11,f02,f20,f12,f22,f30,f32,f33,positive MP
4.51894116201105,f11,f02,f12,f21,f22,f30,f31,f33,positive MP
4.52101151277325,f11,f02,f12,f21,f22,f30,f32,f33,positive MP
4.53579995526515,f11,f02,f21,f23,f30,f32,f24,f33,positive MP
4.53683936188178,f11,f02,f22,f23,f30,f31,f32,f33,positive MP
4.54884470698596,f11,f02,f20,f12,f21,f22,f30,f32,positive MP
4.55191739971011,f11,f02,f12,f21,f23,f32,f24,f33,positive MP
4.55482186292202,f11,f02,f20,f12,f30,f31,f32,f33,positive MP
4.5549793797592,f11,f02,f12,f21,f30,f31,f32,f33,positive MP
4.55862337070776,f11,f02,f12,f21,f23,f30,f24,f33,positive MP
4.5654489659659,f11,f02,f20,f23,f30,f31,f32,f24,positive MP
4.57146378602936,f11,f02,f12,f21,f22,f23,f24,f33,positive MP
4.57331018327256,f11,f02,f20,f12,f22,f30,f31,f33,positive MP
4.57887877065102,f11,f02,f20,f12,f21,f22,f32,f33,positive MP
4.57897155662383,f11,f02,f20,f22,f30,f31,f32,f33,positive MP
4.58394010057479,f11,f02,f12,f23,f30,f31,f32,f33,positive MP
4.59811968625963,f11,f02,f20,f12,f21,f30,f31,f32,positive MP
4.59897341126302,f11,f02,f20,f12,f21,f31,f32,f33,positive MP
4.61627490980164,f11,f02,f20,f21,f22,f30,f31,f32,positive MP
4.61970921181027,f11,f02,f20,f21,f22,f31,f32,f33,positive MP
4.6216506716883,f20,f12,f21,f22,f23,f30,f31,f33,positive MP
4.62285690572786,f02,f12,f21,f22,f30,f31,f24,f33,positive MP
4.62453463658841,f11,f02,f20,f12,f21,f22,f30,f31,positive MP
4.62869154496507,f11,f02,f20,f12,f21,f22,f31,f33,positive MP
4.62998495750323,f11,f02,f21,f22,f23,f31,f32,f24,positive MP
4.63520963523712,f11,f02,f12,f22,f23,f30,f32,f33,positive MP
4.65230608549428,f20,f12,f21,f22,f23,f31,f32,f33,positive MP
4.65779882152423,f11,f02,f20,f12,f21,f30,f32,f33,positive MP
4.66348147968731,f11,f12,f21,f22,f23,f30,f31,f33,positive MP
4.66955983609433,f12,f21,f22,f23,f30,f31,f32,f33,positive MP
4.6710116124945,f11,f20,f12,f23,f30,f31,f32,f33,positive MP
4.67188137070335,f11,f20,f12,f22,f23,f30,f31,f32,positive MP
4.67442576992434,f11,f20,f12,f21,f23,f30,f31,f33,positive MP
4.67572735412712,f20,f12,f22,f30,f31,f32,f24,f33,positive MP
4.67600060101901,f20,f12,f21,f22,f30,f31,f32,f24,positive MP
4.67797786673449,f02,f12,f21,f22,f30,f32,f24,f33,positive MP
4.67929999365208,f12,f21,f22,f30,f31,f32,f24,f33,positive MP
4.67952013019899,f11,f20,f12,f21,f22,f23,f30,f31,positive MP
4.68439358629611,f11,f02,f20,f21,f22,f30,f32,f33,positive MP
4.68599568740838,f11,f20,f12,f21,f23,f30,f31,f32,positive MP
4.68625803650031,f20,f12,f21,f30,f31,f32,f24,f33,positive MP
4.69062564794718,f11,f20,f12,f22,f23,f30,f31,f33,positive MP
4.69116741987624,f11,f02,f21,f22,f23,f30,f31,f24,positive MP
4.69210407512807,f11,f02,f20,f12,f21,f22,f30,f33,positive MP
4.69500521190353,f11,f02,f12,f22,f30,f31,f32,f33,positive MP
4.70001172541769,f11,f02,f21,f22,f30,f31,f32,f33,positive MP
4.70124606408982,f02,f20,f12,f21,f22,f30,f24,f33,positive MP
4.71204965406799,f02,f12,f21,f22,f31,f32,f24,f33,positive MP
4.71382949336502,f11,f12,f21,f23,f30,f31,f32,f33,positive MP
4.71950395116689,f11,f02,f21,f22,f23,f30,f32,f24,positive MP
4.72472744878366,f20,f12,f21,f22,f23,f30,f32,f33,positive MP
4.73078434326598,f02,f12,f22,f30,f31,f32,f24,f33,positive MP
4.73197990757509,f11,f02,f20,f21,f22,f30,f31,f33,positive MP
4.73452267344973,f11,f02,f20,f12,f21,f30,f31,f33,positive MP
4.73579744059867,f11,f12,f22,f23,f30,f31,f32,f33,positive MP
4.73671056705338,f02,f20,f12,f21,f22,f31,f24,f33,positive MP
4.74086295444673,f11,f02,f21,f23,f30,f31,f32,f24,positive MP
4.74226689531884,f11,f02,f12,f22,f23,f30,f31,f33,positive MP
4.74235710091574,f20,f12,f22,f23,f30,f31,f32,f33,positive MP
4.74286580925819,f02,f12,f21,f22,f30,f31,f32,f24,positive MP
4.74473043493522,f11,f02,f12,f21,f23,f31,f32,f24,positive MP
4.75196721576814,f11,f12,f21,f22,f23,f30,f31,f32,positive MP
4.75715313621116,f02,f20,f12,f22,f30,f31,f24,f33,positive MP
4.77354270204814,f20,f12,f21,f22,f23,f30,f31,f32,positive MP
4.77468038486561,f11,f02,f20,f21,f30,f31,f32,f33,positive MP
4.78179675888326,f02,f20,f12,f21,f22,f30,f31,f24,positive MP
4.8067010950728,f11,f02,f12,f21,f23,f30,f32,f24,positive MP
4.80811827637765,f02,f20,f12,f22,f31,f32,f24,f33,positive MP
4.8141175144861,f02,f20,f12,f22,f30,f32,f24,f33,positive MP
4.81529044198869,f02,f12,f21,f30,f31,f32,f24,f33,positive MP
4.81551956785535,f20,f12,f21,f22,f30,f31,f24,f33,positive MP
4.82726347078667,f11,f02,f12,f21,f22,f23,f31,f24,positive MP
4.83337083923696,f20,f12,f21,f22,f31,f32,f24,f33,positive MP
4.83400702275532,f11,f02,f12,f21,f23,f30,f31,f24,positive MP
4.83691678812309,f02,f20,f12,f21,f22,f30,f32,f24,positive MP
