f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15
3.22556941505504e-06-8.70248615589322e-07i,-1.386524068006e-05-5.05141626852393e-07i,-9.23110877442972e-06+3.41001215248417e-07i,-3.24364981818314e-06+4.29589779446822e-06i,1.73004458578567e-05+5.91834399461504e-07i,7.25213606718752e-07-1.72232486453864e-06i,-8.10466485742841e-06-3.08327513205076e-07i,3.88687902599383e-07+5.60979929255131e-07i,-4.17382903422265e-06+9.82180807174122e-07i,6.86494690984382e-06+7.1166985189725e-07i,1.67835622241445e-06-1.0610837379393e-06i,-3.4562340785746e-06-2.45602773857292e-07i,-2.14115357867806e-06+1.47154570046504e-06i,-1.56712313214092e-07+3.66722324969424e-07i,8.46954901880369e-07+8.47611839258664e-08i
3.21493202174227e-06-8.70243391762486e-07i,-1.37331666623554e-05-5.05135863885136e-07i,-9.07072168276644e-06+3.4474972395461e-07i,-3.2227924743857e-06+4.278036878462e-06i,1.68531800691856e-05+5.91789577082615e-07i,6.68932872805324e-07-1.71664094859459e-06i,-7.74260072035306e-06-3.07676102824308e-07i,3.64028954948918e-07+5.60457087345808e-07i,-3.91842123381716e-06+9.80186844417269e-07i,6.44302676245538e-06+7.09500245555939e-07i,1.59352945033195e-06-1.05605961828524e-06i,-3.22093774230273e-06-2.43485612397709e-07i,-2.09895021248108e-06+1.32991222251438e-06i,-1.52304708875279e-07+3.65552133952866e-07i,7.82747041595209e-07+8.52731681130156e-08i
3.20436359744525e-06-8.70238164895834e-07i,-1.36035858014089e-05-5.05129802994379e-07i,-8.91611585882542e-06+3.48525288019537e-07i,-3.20299429851855e-06+4.26004723035966e-06i,1.64283310263768e-05+5.91742460693321e-07i,6.16300268362418e-07-1.71074447449121e-06i,-7.4110142130035e-06-3.0700028642331e-07i,3.41412371926017e-07+5.59911603953122e-07i,-3.69025622115819e-06+9.78077715285651e-07i,6.06935997567385e-06+7.07211149087191e-07i,1.51979251465274e-06-1.05076269762983e-06i,-3.01519159386108e-06-2.41552757464782e-07i,-2.05196322889571e-06+1.20268204261265e-06i,-1.48871943542345e-07+3.64305930814016e-07i,7.27466854010274e-07+8.56715963859481e-08i
3.19386345955044e-06-8.70232868450952e-07i,-1.34764281954412e-05-5.05123496946937e-07i,-8.76698239137174e-06+3.52326144525132e-07i,-3.184179171209e-06+4.24193635466605e-06i,1.60242518826822e-05+5.91693239063312e-07i,5.66913447914117e-07-1.70464070909785e-06i,-7.10619784027885e-06-3.06300842499141e-07i,3.20567164281899e-07+5.59343581936401e-07i,-3.48510150878924e-06+9.75854959399403e-07i,5.73607939131999e-06+7.04805492066521e-07i,1.4552492765737e-06-1.04520071316525e-06i,-2.83372043774398e-06-2.39785184991585e-07i,-2.00194995442699e-06+1.08847416164666e-06i,-1.46226175681298e-07+3.62985019624501e-07i,6.79373404084316e-07+8.61033101347073e-08i
3.18343094962782e-06-8.70227538213633e-07i,-1.33516265243612e-05-5.05116997041605e-07i,-8.62303377812862e-06+3.56150572895676e-07i,-3.1662766756573e-06+4.22371165099814e-06i,1.56394532537039e-05+5.91642017845414e-07i,5.20430656035001e-07-1.69833504151604e-06i,-6.82502247828784e-06-3.05578528826968e-07i,3.01268503016955e-07+5.58753130965259e-07i,-3.29956057830673e-06+9.73520220493252e-07i,5.43693911800306e-06+7.02286264600847e-07i,1.39840428910511e-06-1.03938166094089e-06i,-2.67243647779161e-06-2.38164500745938e-07i,-1.95024657941746e-06+9.85948969813813e-07i,-1.44222750659505e-07+3.61590769772351e-07i,6.3714891361232e-07+8.64480223637143e-08i
3.17306540496108e-06-8.70222152607215e-07i,-1.32291159422673e-05-5.05110287756361e-07i,-8.48400211223511e-06+3.59996864471537e-07i,-3.14922162857167e-06+4.20538043074234e-06i,1.52725848336201e-05+5.91588896769331e-07i,4.7655977756843e-07-1.69183297069653e-06i,-6.5648288328893e-06-3.04834068589177e-07i,2.83328300744866e-07+5.58140366987696e-07i,-3.13087628146028e-06+9.71075228350404e-07i,5.16691736494715e-06+6.99656536263531e-07i,1.3480621064861e-06-1.03331377265151e-06i,-2.52812259977527e-06-2.36673514895287e-07i,-1.89785557037339e-06+8.93850747245595e-07i,-1.42748386839714e-07+3.60124612807539e-07i,5.99779643686807e-07+8.67428285443372e-08i
3.16276617547037e-06-8.70216719187396e-07i,-1.31088339659319e-05-5.05103372836205e-07i,-8.34963744821798e-06+3.63863341346633e-07i,-3.13295360119377e-06+4.18694989295605e-06i,1.49224195342273e-05+5.91533953119544e-07i,4.35049668536522e-07-1.68514009491341e-06i,-6.32334245395033e-06-3.04068176934638e-07i,2.66588008773842e-07+5.57505411124498e-07i,-2.97678722623819e-06+9.68521798572747e-07i,4.92193058179337e-06+6.96919441055594e-07i,1.30325553620057e-06-1.02700549108224e-06i,-2.39821196368474e-06-2.35296520115881e-07i,-1.84551855583997e-06+8.11028485211743e-07i,-1.4171304484141e-07+3.58588039066943e-07i,5.66471097464311e-07+8.68472482818206e-08i
3.15253262795244e-06-8.70211235865791e-07i,-1.29907203594948e-05-5.05096221934642e-07i,-8.21970631818311e-06+3.6774837016152e-07i,-3.11741656223649e-06+4.1684271247641e-06i,1.458783974538e-05+5.91477259301095e-07i,3.95683236667044e-07-1.67826209747666e-06i,-6.09860655279917e-06-3.03281564925834e-07i,2.50913044685073e-07+5.56848391413588e-07i,-2.83542120351006e-06+9.65861816269613e-07i,4.69862413796057e-06+6.940781799003e-07i,1.26319356919137e-06-1.02046544427542e-06i,-2.28063138010318e-06-2.34019376996066e-07i,-1.79377540788313e-06+7.36442948567833e-07i,-1.41044206293668e-07+3.56982594124378e-07i,5.36596466457398e-07+8.7109437536094e-08i
3.14236413012221e-06-8.7020569105916e-07i,-1.28747170376908e-05-5.0508889020494e-07i,-8.09399041086255e-06+3.71650310247826e-07i,-3.10255848391839e-06+4.14981909698706e-06i,1.42678253854235e-05+5.91418897489943e-07i,3.58271868875774e-07-1.67120474070729e-06i,-5.88892841904779e-06-3.02474927806258e-07i,2.36188435508577e-07+5.56169439591683e-07i,-2.70521496815954e-06+9.63097238429144e-07i,4.49421665116464e-06+6.91136008973956e-07i,1.22722296830749e-06-1.01370242151384e-06i,-2.17368792033492e-06-2.32829487834156e-07i,-1.74301122520961e-06+6.69165409832013e-07i,-1.40682768602032e-07+3.55309875262454e-07i,5.09649043703013e-07+8.74306780321478e-08i
3.13226004825957e-06-8.70200114402407e-07i,-1.27607679746158e-05-5.05081320324757e-07i,-7.97228536591519e-06+3.75567584204728e-07i,-3.08833102551957e-06+4.13113266818173e-06i,1.39614434975232e-05+5.91358904110897e-07i,3.2265091329879e-07-1.66397385201121e-06i,-5.69283632618775e-06-3.01648952381021e-07i,2.22315377485262e-07+5.55468693389459e-07i,-2.58485307190318e-06+9.60230087015041e-07i,4.30638258090641e-06+6.88096236890707e-07i,1.19479950897982e-06-1.00672534599791e-06i,-2.07598544088539e-06-2.31715708147707e-07i,-1.6934932065945e-06+6.08371657284702e-07i,-1.40580046974692e-07+3.53571527756634e-07i,4.8521567011794e-07+8.75697133633215e-08i
