beta,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15
4.9e-06,-7.12788679137401,-1.82005136709209,4.59474591952661,-5.68745062964528,11.9478635012385,-0.362916735651558,28.5688269295396,3.08368494894239,40.5255087651988,43.0195515681162,14.8517633012697,49.902232558011,30.477227930912,-5.28143530507022,56.0103862776486
5.36666666666667e-06,-6.31249957128873,-1.59773489898586,4.0036628185226,-5.04151420895857,10.3538389993718,-0.60301521087023,24.2938178501026,2.14286954513105,33.9495733566676,35.9182440075051,11.8896090610615,41.4048660799718,26.2726137433227,-4.82614176638513,46.0313348724863
5.83333333333333e-06,-5.50327224157946,-1.38095567353593,3.4351068553657,-4.39841070754922,8.83795445393696,-0.746416759898703,20.3752954660291,1.40704062188856,28.0904273968337,29.631094074496,9.41098095317043,33.9726437952151,22.2861079649487,-4.30763466219322,37.4466586362777
6.3e-06,-4.70006187694957,-1.16947210394783,2.88795655344207,-3.75846572480605,7.39455699407886,-0.807391802747462,16.7699328646809,0.845798555470416,22.8365028131085,24.0252692285912,7.32633360527041,27.415304538557,18.5165460895584,-3.74458353803467,29.9876612535499
6.76666666666667e-06,-3.90273221238516,-0.963057822258123,2.36116066401218,-3.1219762427098,6.01852756777295,-0.797922967769238,13.441156828637,0.434125107296426,18.0982489862785,18.9952878503317,5.56541899924069,21.5854246424891,14.9583296427715,-3.15063127746051,23.4458134424829
7.23333333333333e-06,-3.1111546129992,-0.761500022865446,1.85373318086535,-2.48921213736543,4.70521957025387,-0.728131061199658,10.3578814172848,0.151272836691045,13.8029562548221,14.4563206324269,4.07243915021062,16.3669879846027,11.6030400796313,-2.53594247739018,17.663471205008
7.7e-06,-2.32520657293433,-0.56459853587935,1.36474823300152,-1.86041926089502,3.45040526089391,-0.606611283897186,7.49351573374193,-0.0200853744491989,9.89097399244545,10.3393685789408,2.80258351592168,11.6674321280534,8.44059650921552,-1.90822208402316,12.5121328720259
8.16666666666667e-06,-1.54477136068053,-0.372164917812941,0.893335496718392,-1.23582090825703,2.25022950048304,-0.440700407259152,4.82517969267118,-0.0945137669913052,6.31290412033077,6.58773236763028,1.71951097677232,7.41199720439549,5.46007037293551,-1.27340114426509,7.90399535347486
8.63333333333333e-06,-0.769737874426303,-0.184021355953294,0.438676341539264,-0.615619875457127,1.10116958028888,-0.236690182127343,2.33307862260041,-0.0843279573407587,3.02748889751245,3.15438672841564,0.793489300197297,3.53963544018097,2.65024657288549,-0.636108212977535,3.7575777485338
9.1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
