Ex,Ey,Ez,Gxy,Gyz,Gxz,vxy,vyz,vxz,alpha,beta
12014362393.5136,745363617.826865,691595188.551945,650667054.555085,23233317.0823324,1748568934.32424,0.275120771326207,0.70546835226437,0.333260161109754,17.1,6.3e-06
12311013316.8103,763767657.773208,708671612.960635,666732907.753976,23806979.2325134,1791743475.91249,0.281913876791052,0.722887323925219,0.341488807063082,17.5222222222222,6.45555555555556e-06
12607664240.1069,782171697.71955,725748037.369325,682798760.952867,24380641.3826945,1834918017.50075,0.288706982255896,0.740306295586067,0.349717453016409,17.9444444444444,6.61111111111111e-06
12904315163.4035,800575737.665892,742824461.778015,698864614.151757,24954303.5328755,1878092559.089,0.295500087720741,0.757725267246916,0.357946098969736,18.3666666666667,6.76666666666667e-06
13200966086.7002,818979777.612235,759900886.186705,714930467.350649,25527965.6830566,1921267100.67725,0.302293193185586,0.775144238907765,0.366174744923063,18.7888888888889,6.92222222222222e-06
13497617009.9968,837383817.558577,776977310.595395,730996320.54954,26101627.8332376,1964441642.26551,0.30908629865043,0.792563210568613,0.374403390876391,19.2111111111111,7.07777777777778e-06
13794267933.2934,855787857.50492,794053735.004085,747062173.748431,26675289.9834187,2007616183.85376,0.315879404115275,0.809982182229462,0.382632036829718,19.6333333333333,7.23333333333333e-06
14090918856.5901,874191897.451262,811130159.412775,763128026.947322,27248952.1335997,2050790725.44201,0.32267250958012,0.827401153890311,0.390860682783045,20.0555555555556,7.38888888888889e-06
14387569779.8867,892595937.397604,828206583.821465,779193880.146213,27822614.2837808,2093965267.03027,0.329465615044964,0.844820125551159,0.399089328736372,20.4777777777778,7.54444444444444e-06
14684220703.1833,910999977.343947,845283008.230155,795259733.345104,28396276.4339618,2137139808.61852,0.336258720509809,0.862239097212008,0.4073179746897,20.9,7.7e-06
