f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15
4.43724955389378e-06-8.70995172213186e-07i,-1.79293217818631e-05-5.05330485573144e-07i,-1.08811905002104e-05+3.12870197956391e-07i,-3.43135089464834e-06+4.44111133249536e-06i,1.91858763027286e-05+5.92301488291214e-07i,6.73914107589999e-07-1.71578809422351e-06i,-7.6895208109061e-06-3.07864420804441e-07i,3.47300106599912e-07+5.60365369647546e-07i,-3.52820253543007e-06+9.75815330282133e-07i,5.7288101867893e-06+7.04879509324603e-07i,1.44228694784611e-06-1.0448419301647e-06i,-2.74779747590804e-06-2.38976429275135e-07i,-1.97544052908888e-06+1.03365994167096e-06i,-1.44309803052863e-07+3.62220112982683e-07i,6.39784164001627e-07+8.62347092598318e-08i
4.07735298258489e-06-8.70847398980774e-07i,-1.66390628488124e-05-5.05304635303676e-07i,-1.02541226110965e-05+3.22466867235891e-07i,-3.35234769608976e-06+4.39310251436744e-06i,1.82097852562034e-05+5.92175897401752e-07i,6.31212387406725e-07-1.71139160926785e-06i,-7.44363803743041e-06-3.07303190175524e-07i,3.34048863107088e-07+5.59961147897668e-07i,-3.4535126610407e-06+9.75057812623287e-07i,5.62741655143149e-06+7.04037370572497e-07i,1.42577067365873e-06-1.04300574409375e-06i,-2.71316000043422e-06-2.38617342727795e-07i,-1.96409023918159e-06+1.01167874936686e-06i,-1.44083282845646e-07+3.61924867258604e-07i,6.34796273379754e-07+8.65132251628356e-08i
3.77186420065004e-06-8.70686176382355e-07i,-1.55218376003761e-05-5.05264452081185e-07i,-9.69866281697455e-06+3.32349996353891e-07i,-3.28556726137753e-06+4.34360043002734e-06i,1.73276657854155e-05+5.92034180504647e-07i,5.90757427683022e-07-1.70687954012983e-06i,-7.21270920007737e-06-3.06725141973246e-07i,3.21402679463125e-07+5.59544589109177e-07i,-3.38164037544724e-06+9.7428816822787e-07i,5.52946917031629e-06+7.03181827839075e-07i,1.40985200385348e-06-1.04114382217321e-06i,-2.67936048151957e-06-2.38263885662232e-07i,-1.9526969938813e-06+9.90206581486311e-07i,-1.43874431349685e-07+3.61626444899066e-07i,6.29880653610494e-07+8.64364796879261e-08i
3.50934261796154e-06-8.70511572133669e-07i,-1.45450115935678e-05-5.05212031043128e-07i,-9.20322511031945e-06+3.42482735621238e-07i,-3.22863036906046e-06+4.29279697172774e-06i,1.65265453194931e-05+5.91877377710408e-07i,5.52347433668977e-07-1.70225408731423e-06i,-6.99540409438445e-06-3.06130671682771e-07i,3.09314809861037e-07+5.59115740403052e-07i,-3.3124252300625e-06+9.73506456468536e-07i,5.43479381091831e-06+7.02312986960939e-07i,1.39450219520586e-06-1.03925644944069e-06i,-2.646368527458e-06-2.37915895383642e-07i,-1.94127005954654e-06+9.6923083331232e-07i,-1.43682618623568e-07+3.6132486059314e-07i,6.25039166333088e-07+8.64719731064265e-08i
3.28134500106515e-06-8.70323714837399e-07i,-1.36836715482817e-05-5.05148896801044e-07i,-8.75857917855377e-06+3.52828941675937e-07i,-3.17964483671169e-06+4.24087904251408e-06i,1.5795734089739e-05+5.91706343839132e-07i,5.15805350933247e-07-1.69751748422363e-06i,-6.79054591452235e-06-3.0552016985947e-07i,2.97743255598271e-07+5.58674650512866e-07i,-3.24571876859848e-06+9.72712737618658e-07i,5.34322779414723e-06+7.01430952092642e-07i,1.37969423886912e-06-1.0373439127541e-06i,-2.61415520229915e-06-2.37573213171119e-07i,-1.92981811365251e-06+9.48739138886602e-07i,-1.43507240282529e-07+3.61020129122464e-07i,6.2026836316342e-07+8.63851984220772e-08i
3.08150418476367e-06-8.70122724868743e-07i,-1.29184693806853e-05-5.05076119312061e-07i,-8.35728162344432e-06+3.63353540636131e-07i,-3.1370920606326e-06+4.18802739550609e-06i,1.51263441569541e-05+5.91521694399788e-07i,4.80975198627447e-07-1.69267199942433e-06i,-6.59708976308457e-06-3.04894002813265e-07i,2.86650178575336e-07+5.58221369228734e-07i,-3.18138342716616e-06+9.71907073544676e-07i,5.2546190522665e-06+7.00535824675984e-07i,1.36540273174131e-06-1.03540650199151e-06i,-2.58269293955803e-06-2.37235681901592e-07i,-1.91834927710274e-06+9.28719376145072e-07i,-1.43347716213338e-07+3.60712265431039e-07i,6.15570388451786e-07+8.66523487778786e-08i
2.90492792609404e-06-8.69908530888177e-07i,-1.22341504294565e-05-5.04994634609051e-07i,-7.99326445542171e-06+3.74022537417365e-07i,-3.0997441103985e-06+4.13441565570144e-06i,1.45109251245219e-05+5.91324064099505e-07i,4.47719035115243e-07-1.68771992570266e-06i,-6.41410467366534e-06-3.04252571860514e-07i,2.7600139946032e-07+5.57755949197798e-07i,-3.1192915539198e-06+9.71089525071275e-07i,5.16882527802451e-06+6.99627716741175e-07i,1.35160375887832e-06-1.03344450826957e-06i,-2.55195546175609e-06-2.3690315016346e-07i,-1.90687114527458e-06+9.09159670520078e-07i,-1.43203489299214e-07+3.60401284550746e-07i,6.10938286554312e-07+8.65756730296168e-08i
2.74779521337108e-06-8.69681311663318e-07i,-1.16185253057622e-05-5.04904895107229e-07i,-7.6615323186167e-06+3.84803494150172e-07i,-3.06660209556675e-06+4.08020951169989e-06i,1.39431848044934e-05+5.91113768428492e-07i,4.1591442900978e-07-1.6826635892909e-06i,-6.24075849484373e-06-3.03596240403518e-07i,2.65765967321531e-07+5.57278442704834e-07i,-3.05932453232141e-06+9.70260158860789e-07i,5.0857131540289e-06+6.98706727759291e-07i,1.33827478488456e-06-1.03145822650168e-06i,-2.52191770605715e-06-2.36575466668246e-07i,-1.89539081373493e-06+8.90048399524128e-07i,-1.43074024319757e-07+3.600872016726e-07i,6.06374215219366e-07+8.66317426890657e-08i
2.60707826682219e-06-8.69441025303668e-07i,-1.10617367926791e-05-5.04807557862236e-07i,-7.35793635122229e-06+3.95665357802788e-07i,-3.0368496408057e-06+4.02556607043848e-06i,1.34177725717696e-05+5.90891278960304e-07i,3.85452345739714e-07-1.67750533600194e-06i,-6.0763051200663e-06-3.02925390632081e-07i,2.55915788051926e-07+5.56788905344392e-07i,-3.00137199615348e-06+9.69419034956326e-07i,5.00515765363755e-06+6.97772971763332e-07i,1.32539455711797e-06-1.02944795172955e-06i,-2.49255575475507e-06-2.36252486879316e-07i,-1.88391491096272e-06+8.71374191588707e-07i,-1.42958806872863e-07+3.59770032068624e-07i,6.01875359525093e-07+8.66425339265522e-08i
2.48034684596065e-06-8.69187763117399e-07i,-1.05557275472667e-05-5.04702870222131e-07i,-7.07900296003112e-06+4.0657886147156e-07i,-3.00981719790799e-06+3.97063340068909e-06i,1.29301096012952e-05+5.90656830877988e-07i,3.56235366432991e-07-1.67224753654962e-06i,-5.92007364639976e-06-3.02240393764186e-07i,2.46425303036188e-07+5.56287392754343e-07i,-2.94533112468596e-06+9.6856622278371e-07i,4.92704140735969e-06+6.96826550697115e-07i,1.31294301422322e-06-1.02741398265139e-06i,-2.46384677038615e-06-2.35934066291641e-07i,-1.87244961783893e-06+8.53125930993055e-07i,-1.42857342285736e-07+3.59449791169088e-07i,5.97440996581356e-07+8.66970743963554e-08i
