alpha,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15
13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.5666666666667,-2.19171318951353,-1.54739352660721,-0.0249215555813383,4.45105150594601,0.68860368149673,4.96933499720363,2.69337543103631,4.91675998731668,3.98978837681753,4.22905735750231,5.22053235634564,4.75192726400501,5.11903391398973,5.98280756907952,5.27419549967096
15.8333333333333,-4.01882883337512,-2.92281497519155,-0.0480688069329496,8.80283990029452,1.27103943519073,9.85851426776643,5.17779091374471,9.74183181768129,7.78647386493201,8.27301451254752,10.333740703269,9.34549617798241,10.1017829338805,11.9143835072723,10.4197144490367
17.1,-5.55288143370453,-4.15718244864174,-0.0679844323456645,13.0498862735823,1.76346491843115,14.6738941110862,7.47344102506397,14.4837995487387,11.4028962517407,12.1429707012063,15.3457555555131,13.7882259348714,14.9532849948781,17.796809768965,15.4518634139747
18.3666666666667,-6.84720342482446,-5.27451261910677,-0.0840873268612451,17.187638988107,2.17874919737738,19.4204199507749,9.59771661021666,19.149795895064,14.8504338751698,15.8487825852812,20.2618159893389,18.086760520011,19.6779148817723,23.6316091898232,20.3684894250445
19.6333333333333,-7.94241913793549,-6.29373692964286,-0.0963337861178024,21.2124391359255,2.52728723724217,24.1019569447515,11.5657304263205,23.7458014838466,18.1392772337748,19.3993068802104,25.086466919148,22.2470653834292,24.2795576729632,29.4199021478823,25.1865232166937
20.9,-8.87005471023506,-7.22996799856966,-0.10499941743779,25.1214687223688,2.81758727416713,28.7215404939204,13.390724077169,28.2768762626189,21.2786383052143,22.8025844656817,29.8237080617157,26.2745740366697,28.7617365352342,35.1625234597413,29.8889420672549
22.1666666666667,-9.65497548091354,-8.09540438201898,-0.110539381183686,28.912688497236,3.05669861097748,33.2815672513371,15.0843847771093,32.7473371327991,24.2769106942553,26.0659794633882,34.4771055063407,30.1742960317556,33.1277049573694,40.860107915464,34.4925005444386
23.4333333333333,-10.3170812380831,-8.89998738989915,-0.113496539742713,32.5847748504051,3.25053004694968,37.7839427774561,16.6570977917803,37.1609004178289,27.1417963928952,29.1962886798853,39.0498789594304,33.9509001167042,37.3805168841142,46.5131561871667,38.9943045552549
24.7,-10.8725033088787,-9.65188930335644,-0.114443306280363,36.1370538065066,3.40408657800923,42.2301946726397,18.118146075384,41.5207912138234,29.8804040051499,32.1998247135834,43.5449668469306,37.608774839918,41.523075649125,52.1220817837089,43.3997727146344
