beta,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15
4.9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.36666666666667e-06,0.8779677687032,0.226437751497989,-0.565117392664049,0.684889153139299,-1.42389899370348,-0.240973006587982,-3.32507434463865,-0.91267149042773,-4.67953147176922,-4.96527047019092,-2.57911080776199,-5.6686056858765,-3.222488900374,0.480680360974115,-6.3964019596764
5.83333333333333e-06,1.7493028786209,0.447235611415856,-1.10869724283581,1.36677454983657,-2.77799767680886,-0.384896879437625,-6.37287564893222,-1.62648854460749,-8.84898512564199,-9.36127777413958,-4.73722143370797,-10.6266521124902,-6.27781575057723,1.02809902790801,-11.89903318894
6.3e-06,2.61415922449253,0.662639645063128,-1.6318117617473,2.04531095566542,-4.06734560602782,-0.44609401694012,-9.17710330461748,-2.17094140026174,-12.587754428021,-13.2808991017417,-6.55229791836911,-15.0010627832055,-9.16687304828915,1.62254545556666,-16.6801234488238
6.76666666666667e-06,3.47268352960155,0.872880416792888,-2.13546601779875,2.72018347935984,-5.29651549214243,-0.436590692808178,-11.7662037230791,-2.57029989077156,-15.9595649046136,-16.7978877393854,-8.08550433628943,-18.8901842436293,-11.8939515609251,2.24961604356297,-20.8733364567223
7.23333333333333e-06,4.3250143014962,1.07817467717827,-2.62060270290264,3.39110597012995,-6.46965802157047,-0.366544577162245,-14.1643553473775,-2.84469080990244,-19.0161578102,-19.9715567714428,-9.38542329801562,-22.3714110197994,-14.4655034066747,2.89857942476508,-24.5797193299652
7.7e-06,5.17128344829523,1.27872630684178,-3.08810701544244,4.05781774991781,-7.59054972071941,-0.244582177901654,-16.3922404047038,-3.01092294569106,-21.7999813997756,-22.850150647837,-10.4910707846441,-25.5064916495897,-16.8892547543736,3.56130103101913,-27.8816394494464
8.16666666666667e-06,6.01161666059185,1.47472724261932,-3.53881104664284,4.72008205812272,-8.66263428122341,-0.0780669897785197,-18.4676548770884,-3.0831248587086,-24.3461880661348,-25.4733138239036,-11.4340885564377,-28.3452985512888,-19.1735814399913,4.23151910474386,-30.8353771001885
8.63333333333333e-06,6.84613356720429,1.66635859350046,-3.97349746533632,5.37768386927136,-9.68905844355809,0.126686319379023,-20.405994931662,-3.0732437512806,-26.6841374190227,-27.8739266083588,-12.2403640980208,-30.9285567844282,-21.3270789081762,4.90434700637028,-33.4931601516078
9.1e-06,7.67494842651214,1.8537913213799,-4.39290317991855,6.0304282596702,-10.6727034599515,0.364238618556004,-22.2206483576274,-2.9914384128485,-28.8385426399075,-30.0794898994122,-12.9312453499837,-33.2898527970217,-23.3582736345761,5.57592413069254,-35.9017034788748
