f1,f2,f3,f4
0,0,0,0
0.8034082675,0.683155375,0.313185625,0.379284315
0,0,0,0
0.9890335475,0.99645513,0.995516305,0.9946554325
0,0,0,0
0,0,0,0
0,0,0,0
0.99745019,0.9997067475,0.99992193,0.9999569875
0,0,0,0
0,0,0,0
0,0,0,0
0.9994178425,0.9999721375,0.9999793525,0.999997135
0,0,0,0
0,0,0,0
0,0,0,0
0.9998390725,0.99998893,0.9999974025,0.9999966825
0,0,0,0
0,0,0,0
0,0,0,0
0.9999043375,0.999997825,0.9999996,0.9999994575
0,0,0,0
0,0,0,0
0,0,0,0
0.9991144475,0.9999985325,0.999999645,0.9999996725
0,0,0,0
0,0,0,0
0,0,0,0
0.999839065,0.99999924,0.9999995425,0.9999998
0,0,0,0
0,0,0,0
0,0,0,0
0.9997188575,0.9999995775,0.999999695,0.9999997575
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.9995605375,0.9998709525,0,0.9921477425
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
