f11,f11 peak N,f02,f02 peak N,f12,f12 peak N,f20,f20 peak N,f21,f21 peak N,f03,f03 peak N,f22,f22 peak N,f13,f13 peak N,f30,f30 peak N,f23,f23 peak N,f31,f31 peak N,f04,f04 peak N,f14,f14 peak N,f32,f32 peak N,f24,f24 peak N,f33,f33 peak N,f05,f05 peak N,f15,f15 peak N,f40,f40 peak N,f41,f41 peak N,f34,f34 peak N,f25,f25 peak N
1.12230043234881e-05,1,4.32072018977423e-05,2,9.44096330678256e-06,4,2.4448439792356e-05,3,5.61156379879515e-05,5,3.74393310293459e-06,6,3.35531208554378e-05,7,3.36134534484353e-06,8,2.99602483257858e-05,9,1.07547094277143e-05,11,5.02681550522456e-05,10,1.18491473055913e-06,12,7.89068732469325e-06,13,2.31376716399539e-05,14,6.07999109965757e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.66082832900867e-06,1,5.35165985603991e-06,2,3.38635225723016e-06,4,3.37702625772466e-06,3,7.05926865103593e-06,5,7.48659551330534e-07,6,4.3605065373979e-06,7,1.35304459197652e-06,8,4.29365325419546e-06,9,3.15946918148768e-06,11,7.44189959576387e-06,10,1.28090340242529e-06,12,1.22955947883495e-06,13,4.22461513720019e-06,14,4.44784472013266e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.55452881097342e-06,1,4.46031352780191e-06,2,2.59593132209897e-06,3,2.98201779595625e-06,4,4.65393428014227e-06,5,7.15825297148308e-07,6,2.02475126470767e-06,7,1.04743076313827e-06,8,1.37351976102197e-06,9,2.36373750702688e-06,11,2.38759004960895e-06,10,1.08862927389641e-06,12,8.58651651950367e-07,13,9.78670923242581e-07,14,3.21752896376179e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.18989430274336e-06,1,3.02680728651793e-06,2,2.25892024417024e-06,4,2.03353196765222e-06,3,3.22477383643255e-06,5,7.64403618040541e-07,6,1.49085634712352e-06,7,5.56179621227397e-07,8,1.044784103541e-06,9,1.48543892970922e-06,11,1.72664858552241e-06,10,7.70760296508116e-07,12,7.79274821527531e-07,13,6.46963074981734e-07,14,2.71840406786182e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.34210330880894e-06,1,3.51202817764598e-06,2,7.81825421369301e-07,3,2.22315188312782e-06,4,4.36814589677612e-06,5,7.59709121080565e-07,6,2.15850025540175e-06,7,1.99188172932958e-06,8,1.37257053248747e-06,10,3.58542112227243e-07,9,2.58659866223931e-06,12,1.54420119514101e-06,11,1.5220082589491e-06,13,1.55156918737501e-06,14,3.72562955284177e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.95741913570075e-06,1,2.46163448643399e-05,2,3.98707173128114e-06,3,1.22929275318955e-05,4,2.49800791126538e-05,5,1.29325143680031e-06,6,1.08715108917365e-05,7,1.50044769872831e-06,8,5.11544806175861e-06,10,2.49216954445164e-06,9,9.94089728752426e-06,11,2.99875829576218e-06,12,9.84133236509395e-07,13,4.95112484361204e-06,14,3.53912790048671e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.35133440446937e-06,1,2.7184541839328e-05,2,4.74820857086583e-06,3,1.23700688048032e-05,4,2.73901923415293e-05,5,1.57045204102387e-06,6,1.19377057129388e-05,7,1.29423186334281e-06,8,7.56504839288772e-06,9,6.02937756351604e-06,10,1.19323453768633e-05,11,1.06296689281017e-06,12,2.35977831724799e-06,13,3.80640325310304e-06,14,4.53401313671616e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.0951733222265e-06,1,1.83381294917754e-05,2,8.21679515167531e-06,3,8.9865855441991e-06,4,1.25873635436135e-05,5,8.63312789864825e-07,6,4.16337768877089e-06,7,8.29352191025303e-07,8,2.22126909793397e-06,9,3.88698290993183e-06,11,3.95782040952639e-06,10,9.53857560661156e-07,12,1.06560419542721e-06,13,1.32930384791618e-06,14,3.47797640433981e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.45874085906819e-06,1,8.02463785187541e-06,2,1.74410601320812e-06,3,4.26449664724918e-06,4,7.95770185017537e-06,5,8.82352361442938e-07,6,3.38482992117884e-06,7,1.01900101316548e-06,8,1.88940048473101e-06,9,2.42732925603404e-06,10,3.11772687837404e-06,11,1.42822165397691e-06,12,1.00430076526667e-06,13,1.49503638188046e-06,14,3.60311673462401e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.54481021764676e-06,1,8.9183441515503e-06,2,1.56592165522506e-06,3,4.83693877419716e-06,4,1.03228937492651e-05,5,8.31731405798427e-07,6,4.99672297023137e-06,7,1.61335341944588e-06,8,3.10132823135791e-06,10,1.04945098883739e-06,9,5.10469513451924e-06,12,3.04945004209855e-06,11,1.24108074004064e-06,13,2.77474090217072e-06,14,3.40939527310523e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
