f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15
1.11820803998001e-05+9.57551031245509e-07i,-4.32037686463498e-05+5.44674751525229e-07i,-2.44481865448011e-05+1.11278708928622e-07i,-8.45779846473181e-06+4.19492947378081e-06i,5.61129429269442e-05+5.4996624653943e-07i,3.66703212058273e-06+7.54924172261011e-07i,-3.35530145025493e-05+8.4480360606943e-08i,3.1667399730781e-06+1.12712043287778e-06i,-2.99389294533757e-05+1.13003669345016e-06i,5.02560842293404e-05+1.10154904114626e-06i,1.04211623389798e-05+2.65765881542298e-06i,-2.95894133451618e-07+1.14737508273665e-06i,-7.79370638202389e-06+1.23332367482137e-06i,-2.31372376170523e-05+1.41719336678168e-07i,-2.94202954577275e-07+5.32078508527787e-07i
1.35999344599225e-06+9.53293535746398e-07i,-5.32634704704158e-06+5.1989455586739e-07i,-3.35831128453407e-06+3.55037549469007e-07i,-2.41893207576858e-06+2.36984160290634e-06i,7.04163398128816e-06+4.98662973426464e-07i,3.67635428142365e-07+6.52177365271915e-07i,-4.36045170100466e-06+2.18683766060049e-08i,-1.10249780354422e-07+1.34854538440822e-06i,-4.16908886545947e-06+1.02672113992318e-06i,7.38079395975055e-06+9.51709050676848e-07i,2.35300129692762e-06+2.10846636336162e-06i,1.15765020026659e-07+1.27566139178189e-06i,-6.88072347585186e-07+1.01900586675519e-06i,-4.22407317780995e-06+6.76671705299458e-08i,-1.48647288795749e-08+4.4453601246632e-07i
1.22137950905324e-06+9.61661020844305e-07i,-4.42880597565374e-06+5.29220555445854e-07i,-2.59055594701309e-06+1.66970998828046e-07i,-2.75004769584196e-06+1.15311222610556e-06i,4.62465116773066e-06+5.21254122948503e-07i,1.42317522663858e-07+7.01535158620212e-07i,-2.02288356870273e-06+8.6946830924451e-08i,-5.7311802599398e-07+8.76725117610523e-07i,-9.65920144027306e-07+9.76501310434407e-07i,2.34532798941946e-06+4.4723916089418e-07i,2.34935590656383e-06+2.60349431378844e-07i,4.09809106005892e-07+1.00854855739269e-06i,-3.91976543818282e-07+7.63961418196867e-07i,-9.7252289269981e-07+1.09526248795799e-07i,1.22735665225193e-07+2.97423742845438e-07i
8.6516771148701e-07+8.16904696217027e-07i,-2.98955583124162e-06+4.73411323911086e-07i,-1.9109184207516e-06+6.95444500083012e-07i,-1.72920149638926e-06+1.453472687878e-06i,3.18491018288534e-06+5.05483355901238e-07i,-6.5530080690161e-08+7.61589587506427e-07i,-1.48443331336345e-06+1.38240319499409e-07i,-1.90951541324141e-07+5.22372740420656e-07i,-6.39625049106039e-07+8.2610751090162e-07i,1.65365776718056e-06+4.96720572283782e-07i,1.40520790030362e-06+4.81580284916203e-07i,-9.15754803729876e-08+7.65300833703803e-07i,-6.8617524713698e-07+3.69368078863442e-07i,-6.37554318341665e-07+1.09935033332035e-07i,1.73033334221341e-07+2.09658465152072e-07i
9.70591621171477e-07+9.26926748145519e-07i,-3.4751315234775e-06+5.07742863182054e-07i,-7.65949723904552e-07+1.56754616996839e-07i,-1.8946938387655e-06+1.16298733991339e-06i,4.33685708619561e-06+5.21890016609805e-07i,1.60994785970186e-07+7.42454461595739e-07i,-2.15499269096582e-06+1.23003473338373e-07i,-1.92763554180748e-06+5.01810762735892e-07i,3.24312206707316e-07+1.5288570509045e-07i,-1.18880520698058e-06+6.86070001172465e-07i,-1.06379168465576e-06+1.1193322039199e-06i,2.56307030492562e-06+3.48085121064758e-07i,8.65242040434234e-07+1.25214430149822e-06i,-1.54006266093718e-06+1.88610560676302e-07i,-2.31927318538148e-08+3.71840359346907e-07i
6.90524733758844e-06+8.50435321786866e-07i,-2.46117732845078e-05+4.74394637512993e-07i,-3.98701573395911e-06+2.11311983499933e-08i,-1.22353051331322e-05+1.18885474452621e-06i,2.49746050502544e-05+5.22929305212675e-07i,1.04771009453489e-06+7.58157527559909e-07i,-1.0871301579258e-05+6.74614109523616e-08i,6.89736890331368e-07+1.33251878738541e-06i,-1.14152217310654e-06+2.21536366463803e-06i,-5.11544698827924e-06+3.31400887375577e-09i,9.93577657934946e-06+3.19033926656616e-07i,9.07409025645173e-07+2.85817427330458e-06i,-1.73362635919362e-07+9.68743321870942e-07i,-4.94829785170204e-06+1.67288935298626e-07i,-6.21569724254105e-09+3.53858203335494e-07i
7.3019946432496e-06+8.50289219200816e-07i,-2.71805904833826e-05+4.63482457947225e-07i,-4.61478505065078e-06+1.11769565121004e-06i,-1.22425687870209e-05+1.77147162851345e-06i,2.73845189868991e-05+5.57455255723793e-07i,1.08020303284716e-06+1.13994781502656e-06i,-1.1936737120272e-05+1.52067781771992e-07i,1.08500643523076e-06+7.05547412722668e-07i,-7.44577572358975e-06+1.33805121753041e-06i,3.69253931470454e-06+4.76639771869616e-06i,1.19305454049559e-05+2.07249928918263e-07i,-7.72946261037394e-08+1.06015289274047e-06i,-2.18781204898346e-06+8.84325813756759e-07i,-3.80255765972703e-06+1.71058380925016e-07i,3.11982361764084e-08+4.52326675422341e-07i
6.04062938821646e-06+8.13593523940111e-07i,-1.83323598156349e-05+4.5997483324215e-07i,-8.02054009858878e-06+1.78512159012328e-06i,-8.82070386387347e-06+1.71869226130098e-06i,1.25777082309118e-05+4.92926604216472e-07i,4.50865438937757e-07+7.36226411585221e-07i,-4.1621696990968e-06+1.00285468916071e-07i,1.43706722828379e-07+8.16806852672281e-07i,-1.97397852069806e-06+1.01855054133758e-06i,3.92184273625702e-06+5.32439617357379e-07i,3.88696061219944e-06+1.31659147892012e-08i,8.31219993054627e-08+9.50228908875074e-07i,-6.88110014097629e-07+8.13644215742135e-07i,-1.32929681828085e-06+4.32307681865009e-09i,1.2380441563699e-07+3.25016407832325e-07i
2.28056016444118e-06+9.18940666428131e-07i,-8.00795282376898e-06+5.17208107092389e-07i,-1.69638156718731e-06+4.05210271113461e-07i,-4.0267148408252e-06+1.40410086713083e-06i,7.93769804799429e-06+5.63886899255644e-07i,2.96401796304659e-07+8.31078615349535e-07i,-3.38296040834745e-06+1.12483202573521e-07i,-1.50316018148537e-07+1.00785324304694e-06i,-1.35930450730042e-06+1.31229777418639e-06i,5.91573603643515e-07+2.35413848120092e-06i,3.11113497532825e-06+2.02632804415281e-07i,5.54307249881022e-07+1.31626766488351e-06i,-3.06604064522077e-07+9.5635452356005e-07i,-1.48735992987967e-06+1.51308367695112e-07i,7.93038666982643e-08+3.51476028713168e-07i
2.40525166395545e-06+8.31157913322652e-07i,-8.90661643803029e-06+4.57215519531177e-07i,-1.55339155814479e-06+1.97700018683111e-07i,-4.69433019867887e-06+1.16586478251276e-06i,1.03093418410253e-05+5.28777990749134e-07i,3.43606444098406e-07+7.57437616550351e-07i,-4.99656138956275e-06+4.01835982525537e-08i,-2.66941807720716e-07+1.5911163776822e-06i,1.03591488514905e-06+1.68011096950203e-07i,-2.99369956834706e-06+8.09938079791402e-07i,4.92044044757793e-07+3.00949135524149e-06i,5.08496984308651e-06+4.48323667995786e-07i,2.27474719329356e-07+1.220056005012e-06i,-2.76854806465208e-06+1.85280025610994e-07i,-1.45782520823102e-08+3.40627708574842e-07i
3.64061858086299e-06+8.45519902220271e-07i,-1.44673691285863e-05+4.79569478290016e-07i,-7.28607445931999e-06+4.17178471729353e-07i,-2.93420693792547e-06+2.75667469566632e-06i,1.76508354342366e-05+5.55459437128684e-07i,1.04119522852372e-06+1.12723888876679e-06i,-1.009526210356e-05+1.69985528529427e-07i,1.02072981435321e-06+5.98908573824084e-07i,-8.61386604085124e-06+1.06597933755913e-06i,1.41966938971937e-05+8.57802445975933e-07i,3.01062319417643e-06+1.64764170635038e-06i,-1.62077545384945e-07+1.24979728128518e-06i,-6.3103323561129e-06+4.51752257537339e-07i,-2.0978693361933e-06+5.74008677254601e-07i,8.8938327065277e-08+7.45379497229048e-07i
8.62765736329375e-07+9.48999330695056e-07i,-3.2009943423733e-06+5.18574626512389e-07i,-2.02616042209396e-06+1.61014215687453e-07i,-2.20789349418538e-06+1.11168639329943e-06i,4.09470210776428e-06+5.02725022811848e-07i,1.77682167228483e-07+6.814627249704e-07i,-2.29426781765571e-06+6.22380985631557e-08i,-7.69641435951395e-07+1.04186533445279e-06i,-1.75125202280489e-06+1.11628598559595e-06i,3.64215329843754e-06+1.42255643902222e-06i,3.87911552025246e-06+2.82842215761775e-07i,6.67172992620268e-07+1.45184730677408e-06i,-2.28976672153712e-07+9.29993220804724e-07i,-1.89044768908435e-06+1.42833059716765e-07i,5.39458804053061e-08+3.85202960248062e-07i
1.13480592593293e-06+8.37553029912531e-07i,-4.25406957197022e-06+4.70991759384574e-07i,-2.58947830589882e-06+1.24837937565395e-07i,-2.92661195523641e-06+1.22378562886395e-06i,5.49651103826778e-06+5.09029704446291e-07i,2.36512072925174e-07+7.98385132390571e-07i,-3.27809265856949e-06+1.10673991039818e-07i,5.22767419703087e-08+7.86236211259841e-07i,-2.78109168256441e-06+1.13389870304049e-06i,5.76691640373482e-06+1.24791113795546e-06i,5.86597263106796e-06+3.51025593381195e-07i,2.83990437495109e-08+1.0121464521125e-06i,-1.03602912877766e-06+9.45104839510258e-07i,-2.31658448715937e-06+9.16311519506161e-08i,6.65534098091786e-08+4.31290668516754e-07i
9.88051580563891e-07+9.29662086705903e-07i,-3.75657961705955e-06+5.07768559044409e-07i,-2.50584936938305e-06+6.70086868569184e-08i,-2.76356944124124e-06+1.09980668543301e-06i,5.15455362373731e-06+4.79543078729468e-07i,2.7795055067043e-07+6.38800542472495e-07i,-3.16195341689888e-06+1.10259080654728e-08i,-1.07726427466838e-06+1.48701225035795e-06i,-3.07102142999571e-06+1.13472219421456e-06i,4.54936831114756e-06+3.29328263851264e-06i,6.26340018278065e-06+1.04109776052732e-07i,1.45056718076024e-06+2.54492949373385e-06i,-1.08021147451376e-07+9.26166671817985e-07i,-3.67745224227746e-06+1.61324843253892e-07i,-2.67894736813693e-08+3.87760062154146e-07i
3.68182035865938e-06+8.63705776343303e-07i,-1.17179079273418e-05+4.78951050914624e-07i,-4.84682318460716e-06+2.21682089859916e-07i,-3.25117434671266e-06+3.11331994245715e-06i,8.34569336452349e-06+5.35058617884541e-07i,1.19685061936592e-07+8.86224074659057e-07i,-2.74706780268421e-06+1.30178377323452e-07i,4.0942951963009e-08+6.4368966231692e-07i,-1.22263240302543e-06+9.29326557968911e-07i,2.38319323910949e-06+6.46829196773267e-07i,1.6557100195454e-06+8.94333766722727e-07i,-1.30863949719173e-07+8.49314733087714e-07i,-8.0337191601625e-07+4.47176324637933e-07i,-7.0532912532185e-07+1.80548859915759e-07i,1.86250270071107e-07+2.36016498946996e-07i
1.76607067527518e-06+8.17013954891691e-07i,-6.71103592346814e-06+4.60620979364458e-07i,-1.43372087437332e-06+5.157020352117e-08i,-3.97099049759613e-06+1.33258885364152e-06i,9.07552670196809e-06+5.69327309139069e-07i,3.78400494787507e-07+1.27586315866886e-06i,-5.6278359430234e-06+1.98533112181103e-07i,3.91478607041731e-07+6.56874137055354e-07i,-4.10932376236454e-06+1.9165057058425e-06i,-2.23463011596752e-06+3.66394662820294e-06i,9.50468084952336e-06+3.25384856014908e-07i,-1.87942385807992e-08+1.13631402707356e-06i,-1.53150282795761e-06+1.08368794593645e-06i,-4.74830784312072e-06+5.82685261847847e-08i,-1.60861646333374e-09+4.24305288608722e-07i
