f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15
4.05602752971429e-06-8.80464185637045e-07i,-1.57034840149084e-05-4.90560550166437e-07i,-3.82328116505137e-06-1.90624568755585e-06i,-8.99192964740315e-06+1.83083690676962e-06i,2.00732001729412e-05+5.18825355183537e-07i,1.09992941511694e-06-7.52891540692408e-07i,-1.15056413489276e-05-7.65843610937823e-08i,9.52087429510534e-07+1.09799155917088e-06i,-9.74227494904602e-06+1.23060010120564e-06i,5.41181298591084e-06+6.2911982342891e-06i,1.66818638463296e-05-6.05195771547035e-07i,-4.36255942372937e-08-1.24610754063815e-06i,-1.18373848228554e-06-1.05129313646049e-06i,-8.41208546752704e-06-7.65970730960528e-08i,-5.78047154018382e-08+4.17463720833415e-07i
7.53651829761999e-06-1.03505385929097e-06i,-2.83489289404517e-05-5.57570730027243e-07i,-4.93247203664667e-06+2.48649627852651e-07i,-1.6160031594812e-05+1.26181787735575e-06i,3.57225778597667e-05+5.71191938285492e-07i,1.21615400157382e-07-1.01416055842079e-06i,1.29702116232279e-06-1.8347737985602e-06i,-1.77083011140462e-05-3.12421674969541e-07i,4.42732109783223e-06-3.18451517338044e-08i,-3.96636612204328e-08-9.62296384807881e-07i,-4.93265544826992e-06+3.66358324819409e-08i,-6.74214604642085e-06+2.11054015379491e-06i,1.91102320237682e-05+6.36330880174989e-07i,-1.0674863063011e-05-1.85114419844909e-07i,-9.65708130306114e-08+5.99727328374007e-07i
6.49704959422601e-06-8.68892862116108e-07i,-2.47090816422737e-05-4.83880381404913e-07i,-4.51840145112858e-06-5.06614247143114e-07i,-1.39937315640135e-05+1.31388611799792e-06i,3.0951648404735e-05+5.1016496384707e-07i,1.62149833048464e-06-7.05365878873368e-07i,-1.68661647492938e-05-2.72165117093756e-08i,1.28996711005269e-06+1.62801132714986e-06i,-1.29223232781479e-05+1.78461638219332e-06i,4.21639791697753e-06+3.68499831218163e-06i,2.13909077616877e-05+1.79885564946425e-07i,9.07947839776596e-07-4.48057026197832e-06i,-2.63510957044053e-07-9.79006016195629e-07i,-1.18534653237075e-05-1.7399488141454e-07i,-1.12162440351797e-07+3.72168566626089e-07i
3.09971002087767e-06-3.64460991462542e-06i,-1.50976397360326e-05-1.25732819645179e-06i,-2.74701090615461e-06+1.88186882145609e-07i,-7.76800562456062e-06+1.77740459591387e-06i,1.07144834563093e-05+1.53073085614746e-06i,8.35915511629555e-06-2.55579081229228e-07i,1.14893218512396e-06-7.07892474509215e-07i,-9.35193064114294e-06-2.18805569594929e-07i,-9.78400869307777e-07+2.57348565532436e-07i,-1.52185368392156e-06+4.60129194718713e-07i,2.90556707442762e-06+1.52935243659747e-07i,-6.73484167513453e-06+1.0823456444888e-06i,1.28611015200374e-05+5.61607984546367e-07i,2.13914767403115e-06-1.57149357946493e-06i,-7.152044638641e-06-6.10666783075054e-07i
3.75903729062815e-06-2.30737069458324e-06i,-1.46490437363e-05-9.5053924800249e-07i,-1.18828530983249e-05-8.76667065037063e-07i,-1.20631921838219e-05+1.12520854199768e-06i,1.97161571206151e-05+4.81696891220659e-07i,9.15701372897281e-07-2.46321235701335e-06i,9.46530348897034e-07-8.87185748350958e-07i,-1.0768582610541e-05-2.02678629250676e-07i,-1.94867348442776e-07+3.22736062176327e-08i,-8.66141047537595e-06+1.02408295976259e-06i,1.22859159009721e-05+7.50400252212306e-06i,1.65493087276483e-05-1.16627766521473e-06i,9.06373617864466e-06-8.26526251853829e-06i,-8.40753701374172e-06-1.04206324283772e-07i,1.73352558477804e-06+3.60493914868397e-07i
5.31735397168917e-06-1.15382968818929e-06i,-2.16201299400579e-05-6.0384184919753e-07i,-4.08975426758274e-06-6.93521121401878e-07i,-1.05800121518378e-05+1.89951836943361e-06i,2.70005139273101e-05+6.44494093137281e-07i,8.29947825520565e-07-9.14244201197624e-07i,-1.50500115143704e-05-1.65902554223173e-09i,1.39045328222725e-06+1.83351018977745e-06i,-1.32457066300613e-05+1.61114932315052e-06i,4.78112763408099e-06+4.83655888729952e-06i,2.14839154873691e-05-8.82106382779055e-08i,-3.41243256483012e-08-2.06571762166218e-06i,-8.66247922650842e-07-1.10556864137214e-06i,-1.13860640879258e-05-1.56609600377758e-07i,-8.42056247096771e-08+4.65145163995352e-07i
4.3767380322963e-06-8.70932378219034e-07i,-1.65187876099784e-05-5.97964568780668e-07i,-9.4304144640854e-06+1.00943495647724e-06i,-3.07916516386078e-06+2.78324552079412e-06i,2.09931159979238e-05+7.74146896164317e-07i,-1.24477757472828e-05+2.35364247222682e-07i,1.52361763890661e-06+2.12174559194728e-06i,1.11796681924199e-06+2.81472224407519e-07i,-1.08393271297385e-05+1.24863558664525e-06i,1.8420719091432e-05+7.87377374687855e-07i,3.33223207724782e-06-1.12927768021244e-06i,-1.09700850587206e-05-2.99305952629159e-07i,-1.08736271485561e-07+6.16820109747691e-07i,-1.55537045025618e-07+3.52380058298249e-07i,3.34906405827757e-06+9.97003059703959e-08i
3.76174304478741e-06-7.23835844099778e-07i,-1.44486918879196e-05-4.37846016719645e-07i,-8.70141274119889e-06-4.88482871669598e-08i,-4.6018536820239e-06+4.61764588570136e-06i,1.84502121278856e-05+6.05329594690395e-07i,-1.09234336546931e-05+2.22777740654419e-07i,1.08015790064626e-06+2.14842286407912e-06i,9.71926080417283e-07+2.95345596376366e-07i,-9.53196704710368e-06+1.19395259044077e-06i,1.62625881098831e-05+1.07845199831668e-06i,3.49833391153276e-06-2.68478938603236e-06i,-9.41061745267072e-06-2.56253158167834e-07i,-2.28919201650629e-07+1.0769988615938e-06i,-3.8017426238622e-07+3.58993512042936e-07i,2.93306473722589e-06+9.15618699510885e-08i
2.65238848514669e-06-7.70607185108865e-07i,-1.05547932826527e-05-4.48812630341704e-07i,-5.35347094589094e-06+5.58252148339523e-07i,-2.16340792811033e-06+2.4054309387063e-06i,1.30636373708466e-05+5.5442871856681e-07i,4.47359355827733e-07-2.01986519004334e-06i,-7.73392906694963e-06-3.02884205217123e-07i,8.00793892551332e-07+4.21757163200596e-07i,-6.95496883506505e-06+1.01983100182313e-06i,1.16589768590053e-05+7.44564592749158e-07i,2.37871238813705e-06-1.26067788340536e-06i,-2.35631310674175e-06-3.37009281498941e-06i,-6.44615497485662e-06-2.43272446333289e-07i,-7.06837797689488e-07+4.45334445050777e-07i,1.36916880164829e-06+1.17224413828133e-06i
4.3895939641158e-06-1.17942717897388e-06i,-1.6294386736929e-05-6.10233874831007e-07i,-3.11041969277623e-06-2.24312662359991e-07i,-1.05338940307585e-05+1.05996800813108e-06i,2.23971578439158e-05+4.7635260747859e-07i,5.69712714235669e-07-1.20688030081275e-06i,8.82821116239544e-07-1.41408343313884e-06i,-1.24077716396496e-05-2.51871941315821e-07i,-8.95240703171605e-08+2.57305101756392e-07i,3.71793440832002e-06-8.47008129187284e-07i,-9.09644946028403e-06+2.80341591475775e-07i,-1.94681725824249e-07+2.94839542350879e-06i,1.61392133284497e-05+3.29383029613312e-07i,-9.71593190687182e-06-1.60625595307274e-07i,-1.89432024956567e-07+6.8462097119085e-07i
