f1,f2,f3
0.54366,0.559075,0.58216
0.842375,0.81384,0.798245
0.94214,0.928195,0.61306
0.96239,0.942905,0.953765
0.97472,0.969205,0.963565
0.990325,0.944245,0.94498
0.982605,0.978465,0.98648
0.98268,0.994935,0.973971428571428
0.981025,0.98416,0.975525
0.99099,0.99433,0.9888
0.96994,0.994235,0.973755
0.945515,0.955176190476191,0.988655
0.97516,0.983835,0.98988
0.984945,0.99492,0.985585
0.985095,0.98937,0.98746
0.993335,0.98234,0.992715
0.98397,0.99392,0.971509523809524
0.99029,0.99165,0.9838
0.993775,0.963615,0.988475
0.9886,0.99216,0.98597
0.989435,0.977376190476191,0.972585
0.97737,0.99446,0.97504
0.993495,0.986645,0.96627
0.936585,0.994531578947368,0.98599
0.983755,0.99231,0.97751
0.98784,0.987695,0.993305
0.989405,0.94903,0.973545
0.99295,0.997331578947368,0.97251
0.98736,0.97107,0.986365
0.99132,0.99052,0.985875
0.971475,0.98881,0.958575
0.991055,0.97312,0.960335
0.98319,0.98532,0.927525
0.99132,0.969045,0.943665
0.99076,0.985075,0.97802
0.989915,0.97894,0.912628571428572
0.990885,0.98687,0.96926
0.98066,0.987545,0.991715
0.96477,0.990425,0.94719
0.950971428571429,0.978525,0.99306
0.982115,0.94654,0.928275
0.988345,0.992445,0.976494736842105
0.983815,0.95749,0.992536842105263
0.986815789473684,0.98541,0.965414285714286
0.98876,0.96495,0.958535
0.97757,0.972321052631579,0.979157894736842
0.99072,0.94453,0.939663157894737
0.95723,0.960695,0.98078
0.992355,0.978725,0.968394736842105
0.989942105263158,0.980935,0.981621052631579
