f11,f11 peak N,f02,f02 peak N,f12,f12 peak N,f20,f20 peak N,f21,f21 peak N,f03,f03 peak N,f22,f22 peak N,f13,f13 peak N,f30,f30 peak N,f23,f23 peak N,f31,f31 peak N,f04,f04 peak N,f14,f14 peak N,f32,f32 peak N,f24,f24 peak N,f33,f33 peak N,f05,f05 peak N,f15,f15 peak N,f40,f40 peak N,f41,f41 peak N,f34,f34 peak N,f25,f25 peak N
4.15049111616372e-06,1,1.57111444478326e-05,2,4.27214834698454e-06,3,9.17642428047791e-06,4,2.00799040067326e-05,5,1.3329255008358e-06,6,1.15058962281505e-05,7,1.45329141520753e-06,8,9.81968929220895e-06,9,8.29860801769446e-06,10,1.66928380843608e-05,11,1.2468709617918e-06,12,1.58317846535941e-06,13,8.41243419146742e-06,14,4.21437388461117e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.4741916678195e-05,1,7.33442828705121e-05,2,1.11374549788426e-05,4,1.05363168115036e-05,3,6.55516525938917e-05,5,5.69619405293573e-06,6,3.44544819083653e-05,7,8.43271629569842e-06,8,2.97920171591396e-05,9,8.66080732259814e-06,11,4.38988887960629e-05,10,6.46886827011926e-07,13,6.5862502199497e-07,14,2.51318194079966e-05,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.96892774971514e-06,15,NaN,NaN,NaN,NaN,NaN,NaN
7.83217833570179e-06,1,2.92978989294163e-05,2,5.09026484946543e-06,3,1.65704229400215e-05,4,3.61423139316836e-05,5,5.49192518526635e-06,7,1.94722393901042e-05,6,1.561750232366e-06,8,1.43422275921609e-05,10,4.54610586181702e-06,9,2.37406709653506e-05,11,1.43502171386768e-06,12,6.87984321618079e-06,13,6.60846578654093e-06,14,4.89328194254003e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.85277049772974e-06,1,2.41726577731504e-05,2,4.36508428065155e-06,3,1.61964671491167e-05,4,3.14119617801055e-05,5,4.40423611763774e-06,6,1.75393117406142e-05,7,1.11869729684744e-06,8,1.22698209534636e-05,10,4.15197683205511e-06,9,2.09531870988367e-05,11,1.41585194318222e-06,12,1.42426536121143e-06,13,1.15081621875272e-05,14,3.28856676633939e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.46469579004313e-06,1,3.84349082232441e-05,2,7.16483750622308e-06,4,1.7282476351738e-05,3,4.54274945663846e-05,5,1.56317698485361e-06,6,2.4123810016501e-05,7,3.50232991246773e-06,8,2.04620005487372e-05,9,6.64078001138451e-06,11,3.22166400879711e-05,10,1.37701857765977e-06,12,2.77378770756864e-06,13,1.53344720788368e-05,14,4.53733108837009e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.00340213870233e-06,1,2.01840241943661e-05,2,4.26333869164808e-06,4,1.26935149378962e-05,3,2.60700601424088e-05,5,1.64549178878938e-06,6,1.36126553494659e-05,8,1.80695063105394e-06,7,1.14080662228227e-05,9,4.22360927293114e-06,12,1.82723234167017e-05,11,2.59494292158953e-06,10,1.86367189878504e-06,13,1.00929233695513e-05,14,NaN,NaN,NaN,NaN,1.80324596407046e-06,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.62193666950156e-06,1,1.35988739340642e-05,2,3.37955256243275e-06,4,7.55843815622964e-06,3,1.72447069110251e-05,5,1.49211183475861e-06,6,1.03514862899059e-05,7,1.41570342547545e-06,8,9.02378603540714e-06,9,4.00190370691267e-06,11,1.51473636546836e-05,10,1.45342032830847e-06,12,1.6383220531118e-06,13,8.3824157346643e-06,14,5.13450320637473e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.55877856628663e-06,1,9.58373554883617e-06,2,1.76464036623851e-06,3,5.40186634635628e-06,4,1.32097598891775e-05,5,6.56243037563855e-07,6,7.46667485030042e-06,8,2.29073170149159e-06,7,7.07974377900889e-06,11,2.34308225958359e-06,9,1.22019259761962e-05,12,1.38404372930086e-06,10,4.99215971495141e-06,13,7.5283435995867e-06,14,3.42884302608931e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.33988280896736e-05,1,3.31938531103074e-05,3,9.4088865551253e-06,5,4.25017609282622e-05,2,6.28848299236887e-05,4,5.33184594439954e-06,9,3.55463920823704e-05,6,1.13755979333616e-06,10,3.30485688881988e-05,7,7.49049719632288e-06,12,5.9274766758493e-05,8,NaN,NaN,NaN,NaN,3.16172258681467e-05,11,NaN,NaN,7.8661700271957e-06,15,NaN,NaN,NaN,NaN,2.1074589805855e-06,13,3.50653672122144e-06,14,NaN,NaN,NaN,NaN
3.67195488764901e-06,1,1.22499354866188e-05,2,4.16270654230167e-06,4,9.0016083547197e-06,3,1.73158384478429e-05,5,1.8268151451058e-06,6,1.1004403398508e-05,8,3.97128775532584e-06,7,1.00260610649966e-05,9,5.17248853880699e-06,12,1.75197848200588e-05,11,5.52887588717715e-06,10,1.09426435826701e-06,13,1.12929386683776e-05,14,5.62823618415396e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
