f11,f11 peak N,f02,f02 peak N,f12,f12 peak N,f20,f20 peak N,f03,f03 peak N,f21,f21 peak N,f13,f13 peak N,f22,f22 peak N,f1t,f1t peak N
684.599546716804,1,789.303632666336,2,1331.48945573308,3,1552.22448221865,4,1640.1070021259,5,1785.36722839811,6,2182.91816421651,7,2313.11160229784,8,NaN,NaN
654.370510658681,1,754.433197821803,2,1278.19590527609,3,1461.8432647746,4,1567.12842979959,5,1693.20038526653,6,2065.77460323683,7,2219.45475119835,8,NaN,NaN
753.823466255207,1,787.781883188499,2,1387.3656948947,3,1537.40603360401,4,1653.62734375128,5,1792.44762199169,6,2214.88492588827,7,2326.07638748941,8,NaN,NaN
567.227399604399,1,695.281013672977,2,1145.15761813702,3,1553.62650260875,5,1432.08725453251,4,1713.9758852355,6,1897.45474222528,7,NaN,NaN,2046.34877624611,8
663.179381832564,1,849.189629673399,2,1336.46123719928,3,1651.19693666706,4,1700.14395201939,5,1857.74210046314,6,2187.56832024803,7,2348.00437758324,8,NaN,NaN
702.729441666083,1,853.240191039689,2,1409.12667333296,3,1762.34573824245,4,1775.92388021734,5,1989.66652154595,6,2381.35444317163,7,NaN,NaN,2492.08293410913,8
735.496228865393,1,768.059236772697,2,1377.84146983802,3,1508.82565919226,4,1631.2433789378,5,1777.65130211519,6,2198.94177282615,7,2347.82914571095,8,NaN,NaN
677.07703625965,1,688.899358887111,2,1282.82630248338,3,1424.35274514411,4,1481.38652384338,5,1676.18254088727,6,2011.1142504149,7,NaN,NaN,2190.2025422087,8
689.000410724409,2,649.561914240609,1,1294.40838257537,3,1504.03738080133,5,1451.07838141225,4,1755.55583226635,6,2035.8814073211,7,NaN,NaN,2066.73266225025,8
739.999166379453,2,591.162285662563,1,1327.38273339438,3,1492.06064696309,5,1343.78924270631,4,1744.22581736536,6,1943.22255443204,7,NaN,NaN,1995.6418655328,8
787.650601612378,1,948.062996712809,2,1527.00041598226,3,1567.05173481857,4,1949.09497343357,6,1856.63103739067,5,2578.61379985845,8,2516.56987919187,7,NaN,NaN
771.846565026649,1,789.898842419142,2,1430.85345826888,3,1601.20325636654,4,1691.22552282708,5,1872.50001481518,6,2304.44255617389,7,2441.20985320619,8,NaN,NaN
762.316828992429,1,865.487148423356,2,1412.54041881668,4,1350.34946493679,3,1784.09243357888,6,1649.35044269841,5,NaN,NaN,2260.15973105261,7,NaN,NaN
636.852527419683,1,764.685740712088,2,1212.61512665865,3,1309.16850050225,4,1548.8614033557,6,1504.44663597769,5,NaN,NaN,2007.20413520798,8,1966.45266651176,7
681.780865942757,1,775.592678642228,2,1329.52249448503,3,1578.50040845308,4,1627.22947231751,5,1812.71996459095,6,2194.53420227366,7,2337.65225606863,8,NaN,NaN
723.746969172591,1,843.474428892323,2,1393.37860125279,3,1594.55907188638,4,1703.01311373969,5,1832.82583353252,6,2194.70537368371,7,2366.00896308018,8,NaN,NaN
582.689505125361,1,770.296629177613,2,1211.13760712036,3,1488.79403204129,4,1571.73523399934,5,1678.43521292259,6,NaN,NaN,2139.25577515677,8,2114.8165063695,7
509.328469051253,1,680.776396373825,2,1063.7675635178,3,1411.39170061057,5,1386.44629377542,4,1555.40007912476,6,1855.37013419718,7,NaN,NaN,1884.31499479354,8
727.35194184368,1,759.195487719176,2,1391.90033703877,3,1458.59845808582,4,1620.15708796568,5,1746.33709312359,6,2171.66437855187,7,2374.08683303306,8,NaN,NaN
711.723812101563,2,695.961075625579,1,1319.9584892952,3,1458.3466112418,4,1527.46874418865,5,1730.70622884551,6,2124.42391288194,7,NaN,NaN,2199.53697278423,8
602.752034758745,1,748.207444170701,2,1202.18177765768,3,1281.47887950602,4,1556.45945993625,6,1498.6850956,5,2087.12770970309,8,NaN,NaN,2033.76213127508,7
598.381364479682,1,851.007649081143,2,1259.39216415388,3,1355.36005336043,4,1688.98431514178,6,1552.18668977738,5,2254.19818135921,8,2054.69217048671,7,NaN,NaN
673.016484730766,1,751.949620540513,2,1262.31306596572,3,1423.2069168455,4,1522.32094963083,5,1634.80738681625,6,1956.70657688774,7,2106.14923459565,8,NaN,NaN
588.291378985036,1,668.463954074345,2,1133.90907079103,3,1353.98330906658,4,1393.34108509166,5,1542.49054258285,6,1863.31514408646,7,1969.99155735945,8,NaN,NaN
688.062759199399,1,847.857675921683,2,1354.64658827068,3,1485.18924739705,4,1773.03402371342,6,1688.68423669328,5,2413.52680096246,8,2256.43424808455,7,NaN,NaN
761.180549317005,2,654.833372732624,1,1414.58878604951,3,1774.10499708999,5,1511.50197029449,4,2031.28874400728,6,2194.33132999087,8,NaN,NaN,2106.56977129372,7
721.100339691475,1,820.719210593343,2,1394.77602900548,3,1492.2443450183,4,1708.93634352861,5,1790.94012660416,6,2335.94572989634,7,2394.36502325491,8,NaN,NaN
559.867497990047,1,682.310690824122,2,1140.07438355038,3,1635.2333672429,5,1424.46709240406,4,1786.99166526818,6,1901.93414879765,7,NaN,NaN,1984.82191352141,8
694.112909614361,2,638.536408935269,1,1295.3625551882,3,1530.34002203971,5,1434.52644871399,4,1774.01803300022,6,2017.60255612824,7,NaN,NaN,2046.84623279061,8
707.701328394419,1,844.72832402462,2,1377.72859204358,3,1568.20126844969,4,1718.86428511662,5,1808.38869289871,6,2244.15281881239,7,2348.90662037631,8,NaN,NaN
732.963490001973,1,862.351402182716,2,1437.99110897573,3,1760.84591948717,4,1779.01995828105,5,1993.18370923181,6,2338.8695194315,7,2529.94231738706,8,NaN,NaN
692.303564959641,1,744.165984623109,2,1307.22963879553,3,1380.17500234424,4,1559.84347900019,5,1651.71315474558,6,2089.33234144829,7,2210.26487267135,8,NaN,NaN
