rho,Ex,Ey,Ez,Gxy,Gyz,Gxz,vxy,vyz,vxz,alpha,beta
397,14000000000,850000000,500000000,1150000000,34000000,350000000,0.467,0.372,0.435,50,1.25e-06
443.6124350343,14444314738.1528,710426615.098532,314825116.052653,1194703086.32237,40957686.6324285,324398538.551991,0.403863185874965,0.343296311178949,0.315745478459105,52.7142741760652,4.7130613468734e-06
421.27000720439,14382611928.212,1235478283.18458,539002978.541159,1668791959.3707,27853467.4236514,396072865.803086,0.436615711895811,0.427813253319203,0.499589974026802,22.4040030824219,2.01617477435091e-05
455.366990849686,12856150199.2493,1022618638.48617,568192512.940764,847655711.012756,37378469.4642601,284209210.365334,0.644024160183415,0.368971314644913,0.612914962729014,47.1357153710612,2.56046117842873e-07
358.009378426572,16143789543.5843,838336697.377406,360158499.693409,969916170.075698,36120900.7947838,263110836.92691,0.580825438746721,0.312414015874477,0.631713809981469,18.8661976791491,1.45721795880217e-06
373.447962494071,15404677189.3658,1050203330.33785,537560745.949466,1042742185.64359,40931652.3187862,419902611.813713,0.481033966668405,0.425126029563446,0.479891566121364,23.6230576993797,4.56266663769674e-07
404.024788846478,12923737855.4804,821988175.005373,574419709.235513,1450964425.48775,32317351.6227993,378671839.34188,0.439178299339149,0.393352511069489,0.482849772149461,58.2249164527227,8.38007695930981e-06
465.674703245423,11870048943.4159,693374798.514216,281265086.701547,1411763741.64854,41370201.7000523,343009376.582422,0.571897071759781,0.389084418347486,0.466623427168684,52.2495305777102,0.000191489016251299
350.683398301273,7509953210.58607,607605256.757703,363332067.970049,1025337327.26349,32568006.0346587,330878313.497674,0.530200795370237,0.408201756957424,0.516696152084856,19.2028349427775,5.21978486929989e-07
432.806679237983,7575264606.92683,864185843.680334,504434935.729697,1790310822.47326,33411678.8408126,305609231.846231,0.494530779273277,0.394859851226127,0.442617416524078,58.6092067231462,1.22311121642813e-06
356.022281540335,18659255597.7274,760983071.056157,482459784.742954,1408698919.55795,31449056.4522668,440069499.809021,0.426713547819515,0.466190573376457,0.503440136111292,33.0857880214071,3.74937160611242e-06
379.605788182595,12569639898.2129,1059003362.48118,462787856.998828,1478807686.84665,29481229.0011899,435099501.200757,0.406027255877003,0.388421734901735,0.540567738311572,79.0407217966913,0.000140909972846323
379.849447404007,16271292580.7726,773483786.004781,588235627.418677,1557056607.17552,20361616.816925,440024643.537677,0.637217738392287,0.376414833064559,0.624905417225378,19.9862822857452,3.32578757964956e-06
425.327669111793,15110927066.3207,937892207.93729,427864302.045258,1191400517.90378,20071341.295562,283492125.119414,0.371405906012783,0.420334786596427,0.433460093573179,14.7608221976689,2.92383214432667e-07
431.306732020255,14396968026.794,934652104.810274,610496236.279334,1201824087.02128,38682263.4374885,409759374.159795,0.603668561059157,0.416255034616886,0.58858030465084,80.1347605521952,9.65069971899056e-07
396.88665808227,17219534779.3224,881834355.684462,675616680.709622,1447309942.62629,36478347.4545518,281951377.897735,0.533161769387714,0.243416232168327,0.4615866209704,89.0752116325322,0.000176986305761441
433.680118212951,14934211063.0854,986353070.114628,553185669.453162,772016992.747521,30460504.6325548,457160184.668717,0.461911544002466,0.426165364802661,0.325543116885147,3.19910157625669,1.39691587556267e-05
389.780824227164,10711628319.2048,842024197.375926,262961938.297194,538206679.147481,23996151.6889229,263328430.707635,0.33004847579153,0.211535215573832,0.46634480475107,69.5163039444332,6.28605296699829e-06
400.696417774335,12676450301.9358,534931326.399962,494522676.830213,1426237248.35861,48775081.9272134,312356953.787716,0.277010070517153,0.387470316798786,0.475918917761516,94.7933121293169,3.52568588500074e-07
376.754109781742,9374310432.16465,714822746.947241,539731427.382462,1189688792.65424,27958751.8641046,417987808.587981,0.539664490647082,0.432206422259992,0.388712554619437,98.4398312240972,7.54825295535216e-05
442.929789637098,14185425895.6396,576217974.375188,453597344.062796,932134824.00659,29206264.2052669,398574624.000162,0.401996161033795,0.288754478400133,0.390485610272295,2.52281814930363,6.72434260969925e-05
400.09739721483,18635349072.0608,804701271.635413,483190169.430572,813235202.347915,22225267.1928405,377169477.877544,0.437872151722668,0.418848197183571,0.337923072371872,70.6917419322763,0.000199298879015485
385.868600996231,13205779302.3662,815468337.420945,586256487.232226,1309780071.78098,24477832.4873485,215889361.281168,0.338823937906127,0.240333081094182,0.441478301506557,20.8946673993135,0.000103870129404311
390.135320382911,9769717808.4093,786860555.000977,95995275.5074991,837499221.529868,21875292.6444224,261235557.825784,0.442101055765116,0.341742656426474,0.646453259876334,6.20452213196327,1.56950213687308e-06
343.882326853578,14106046583.2586,1031280938.0977,550531683.13867,948571688.642266,20140385.4116484,477751153.699982,0.706342489070496,0.383206555772043,0.327348200540946,29.3973053026484,3.46713122102877e-05
342.0067738959,7151361160.18828,939395286.292766,550092249.76837,1177353370.38595,38221817.3289105,444696052.164061,0.580299779290396,0.319123029953767,0.523084462973391,6.15906670539646,4.38083191271407e-05
382.961182807816,14162520843.4074,681498655.782116,306185690.652555,1199331077.13973,33471817.4391629,454914939.263047,0.56059895021071,0.469957325860908,0.353559653160931,79.8350864113952,0.00013491319097733
425.884609865554,11294275642.4672,1027784672.82618,358958711.23955,740464848.71779,40098259.6818125,281933266.983778,0.50389135157273,0.502807767841142,0.47862230413584,73.4957541696052,0.000163239618421662
418.48323471266,8606929863.4974,806832156.10036,437504347.277582,1260119374.92449,37502300.7139499,385480598.170188,0.424528597334641,0.316267700276099,0.370882197183289,38.8271631047802,9.04410491197375e-06
371.084990821261,15670295497.5269,834844574.369166,382712338.966398,1196392016.21206,31720445.5037362,314136143.321285,0.383953073546073,0.377714429973321,0.234233445574278,11.2283962156027,4.51142423173754e-05
367.849431033941,15892215814.3506,1057366187.97364,480391198.159119,1229867304.99547,39435897.0764424,342914423.682197,0.53014658928444,0.2545814694496,0.55575859267288,79.7830260211597,5.8055226257396e-06
414.822168464761,12728595346.3631,633126028.959658,115876432.589117,1330055211.8385,31563181.4677046,332732495.650545,0.514354427255784,0.240000593170265,0.355672830369372,12.533218110918,4.9145566646597e-07
